id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
89dbfecd3d23f837024a1865907655779f473fbe,-1,-1,-1,-1,-1,-1,-1,0.011
cde4df366257aae5d03f6403bddc207aa651e226,392,122,185,25,7,124,681,0.013
e920160de7ab49278e8e09a748150dd794295199,236,24,266,24,0,0,201,0.015
9551f3aeef0b61c91e64a8de8a4d45a85a177b0c,414,160,440,164,20,1460,1617,0.015
fac565e6d5fc40b8741544cd35970e313885d0dc,714,12,7,35,6,94,3,0.016
859ad255980ef3390621e0ef7991d8e39adec066,-1,-1,-1,-1,-1,-1,-1,0.017
60e8afac9b9e6e5aea1c75303e6d536024029fcd,943,31,489,27,4,18,746,0.018
c438c609ee880817f59c3647fe6f32ee84929c7f,-1,-1,-1,-1,-1,-1,-1,0.019
26c0ed01a73368bd21bf232f668548a2190b798f,-1,-1,-1,-1,-1,-1,-1,0.024
789bc24d000f8e7ce816851ed5ccb95e92a6d577,-1,-1,-1,-1,-1,-1,-1,0.028
3b25676c30ad53c02a777ea4ab93cbe4e65031ea,1314,196,995,289,0,0,1631,0.032
3637610642ba3b9a6db4f444670681f961f1f7ef,125,31,145,31,0,0,97,0.038
47b988345201524e68ef1ad446a94d2587343fd8,472,130,499,125,6,270,66,0.065
bc34b94e525f8f62b0ba3be4d4620ec32addd9fb,498,334,750,329,6,597,3611,0.067
932e907b18574e8900c6c08715ae1a8a35a000b8,114,173,255,166,1,5,22,0.068
12e9c43b310123b3e982b53fb94b87d13b470e1a,75,50,93,35,0,0,42,0.074
d9d37df5c5fcd0e078e3b01220e1520b07e7939c,635,10,653,29,1,36,1490,0.075
45f749ce1a1e6f99a19defe00574354c8283b2ed,202,4,112,4,1,0,48,0.078
09c5c0678fb16a9a49874088a9f7f80b9f1142f0,454,17,231,18,0,0,14,0.082
214de229b84e131a037b108d55a6b1efca616cf4,261,457,350,169,1,5,535,0.087
9fe7e965320502c5cf90779325541d05f027ba52,252,194,280,183,0,0,13926,0.090
afb888347e85cc8bd83cc88ce52662ea04d192b8,123,47,4,46,0,0,1,0.090
91deca56454c24a787d286e1cfa5e9afd7052443,1364,369,543,359,1,4,3133,0.090
54e946d07502c0780ab00df01fed1b670111c6b0,-1,-1,-1,-1,-1,-1,-1,0.091
9aa84d0d1e92b8941aa26504591e247df0d90a0c,2257,239,0,295,6,915,4786,0.094
7feff38aeb5a4093fcf8d0cdfa5d72c393bf4692,-1,-1,-1,-1,-1,-1,-1,0.103
fac9b9b94f1b61bd8998a2b1ec70eaaa61437c24,693,53,280,50,0,0,1094,0.104
85f0a05db532eaf6dda0050ca82ee6aad6ebb25e,314,89,80,90,0,0,4,0.109
2862cf5b46a4236601fefc975664a3defd9f18b7,244,16,31,21,1,20,222,0.114
61ccf5420a5939287a9218f8314c2c6bb32f8435,73,19,107,17,1,0,2,0.116
31dee713b5015a58dc3f1a80554c106876cc6971,93,88,66,86,0,0,7,0.121
f7a5b817a9ba621394de77f334a7e7c7a30da2d3,223,45,79,45,0,0,164,0.127
6ac56b0ed9f6fb3a6f234220f4d6fa0ecb980e5a,-1,-1,-1,-1,-1,-1,-1,0.129
707bef4599bf6188e615e2c482cca00ce6d6197c,-1,-1,-1,-1,-1,-1,-1,0.136
8ac13d76beb3ce8e1076e29c5c3caad403905987,404,1000,626,478,32,12068,72866,0.136
b0de6ac1f63a678b246885af2e1386ad4083153c,195,16,199,17,3,0,306,0.136
f23de139571a074efdeca7c8aabf2ac118b1549c,230,11,148,12,1,0,491,0.139
d8c350e795c589924eef5f653e9ceac89aac7499,215,68,379,66,0,0,48,0.148
8dc9fa106c26cff3f37c53145dd9b7aa7f200187,-1,-1,-1,-1,-1,-1,-1,0.149
038b6e246dea7c7deee15d671edecc868a455eef,435,309,1091,296,4,82,5470,0.150
301beaa7276523dbdaeedc87324623c15bc93f0b,1569,100,21,118,13,762,828,0.153
334637079ac87122d9df8651c38075b631e03c91,99,50,1046,48,2,0,144,0.154
48a8d0c6f39bb458f5620db77290dbf07bf98c32,300,661,202,297,3,2,507,0.154
a344b1cc5841530b1dcea524cf958d132e40a2e7,-1,-1,-1,-1,-1,-1,-1,0.154
f50d8ca792898a59159e97f2575e1df7a7275879,3112,143,23,172,1,541,797,0.156
394365b6bb897f8ff891283eccd72392e999e309,288,366,146,300,0,0,212,0.156
