id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
2dd49b418545c986f77f566be02dc362a30558ba,886,60,112,59,3,561,1395,0.012
01eb1a98025b1d68f433442d90c9d736c6fa8d34,-1,-1,-1,-1,-1,-1,-1,0.012
cfcc4d4513d12f4e27392d553c445a0aba6dabb0,140,456,200,160,4,1272,2851,0.013
63044d6ddc3fa71b69245f37600e64d8191d60fa,779,255,306,95,24,426,865,0.025
63b861b2c73a233008ddddd890149095b271d21b,5267,158,356,159,0,0,2518,0.027
708f9bbe5db4afa133bdd88d153e5ac9189737f4,323,234,76,57,13,241,1028,0.028
f312075bd181343e066cb2d19cc8ce46b6db81a0,776,340,583,329,14,353,1053,0.048
3ac33aee16c3a5f54305ac996583a3515b6b9b03,379,81,129,76,1,0,3,0.059
33b09bb7c60eb0b2d7bfd82d3f6d2b3e91a08bd8,385,119,24,5,2,3,530,0.089
9dae157e39e2e8e18490a2f98c0f3d356e505cde,509,65,136,63,1,42,447,0.092
5cd71b0b0ee0c9fcb5ccc89e4c1c0ddde6e7af8e,1666,1000,53,573,2,170,2585,0.094
483074bfa1e95d9a0a92d9011676175a71219949,-1,-1,-1,-1,-1,-1,-1,0.100
39ec05231f9edc9e4cc05cca9323001a3a3de68d,-1,110,417,106,0,0,14,0.111
2aa804ef614ad9e9eba1f26f03655141f89df934,461,184,294,167,4,219,50,0.116
a92dcf156e8c63663c83ced038054d726a704c12,153,508,79,479,5,401,91,0.119
d2f5002b9a7d328bc740809f2f31b2c623dd58ab,470,93,20,89,3,17,6,0.124
84cdb4765bf918f7723d295ae2817a9ea21a28c5,312,23,0,21,0,0,1707,0.139
a4c8908c548b96847d9cd83736054e68df6f1269,221,39,180,37,0,0,6,0.148
d39046604ffa3e7fa96e398720ad36d863991a76,2026,398,386,440,3,162,3041,0.152
5352deb1ce181103f79ba3dc0115670dba2f3eee,2917,445,524,682,0,0,3188,0.154
d2054fe2caf205098469ff92b62d9fef27e775a1,188,63,102,65,1,0,207,0.167
814085cd403feec33b56f356d2d0cd52c4a827d7,769,219,106,209,0,0,1192,0.179
f6e47ffcab7ab5ca61154ea08fb89ece8e5208e6,1687,189,203,208,1,346,720,0.180
a3b1380be3fa47d381ce752bf3601afef6b1ea7c,305,155,117,154,1,7,98,0.183
e332847fe066d119d7dbfe011a9812ed2a92ddd1,-1,213,285,210,0,0,65,0.187
48c0e74bb1d7f5933a6b9cafdee3e169d2687908,984,39,72,49,10,368,483,0.208
b549c9a759e66bc4141a2895fb64abda293de76e,327,265,31,254,2,77,202,0.220
0491d1f2ed1ce6a4d0f8c09bf8027fc9e3353019,-1,-1,-1,-1,-1,-1,-1,0.226
33a98188869c6cd2420788e918cb3cde13ed0c16,82,36,123,34,0,0,2,0.226
588ea031ca96a8e6dbecdb986c4a2faf5436f4e7,101,70,148,66,0,0,8,0.228
1fade6c5a56d9fd797902f51ab9573a1f9bdb5f6,69,12,642,11,0,0,0,0.237
880e4ff7c5f155c9951b9eb2ac0647ea336c4b23,152,86,216,86,1,2,21,0.240
951c098b1a89dcc8fdc166b5904e1815bfbb0c0e,72,15,498,15,0,0,3,0.248
76f8eb8dea79c13239699a5ac9a7f4cb678ca25c,238,40,122,40,1,0,0,0.252
19d70d7b8bc81052cc5b7d0a3fb8d19d4a5ff18d,-1,-1,-1,-1,-1,-1,-1,0.263
58538a2ec30074917cdfab8fbb2cea8403652f10,175,64,130,63,0,0,4,0.269
087111cf6d91ed2809eb136941aa55509dbad04a,49,21,70,21,0,0,0,0.272
b5250499529c280af2b1d28aef8c6b873ba30ed8,109,76,77,74,0,0,1,0.279
92d71bb3aed14b2eb3fbd04e8aed5b0d9668efcc,348,163,517,118,2,64,0,0.280
64acbf1cf45c3a3a96e74b9a6adf273dcd762aad,148,522,213,465,1,0,36,0.281
77b9ac2e7d6796ac38dc0ba8205e7a79b838722f,102,22,2357,12,0,0,0,0.291
ab4cd2b2e9652f3bf996d7f7e312413e438dd0c1,84,86,86,82,1,0,20,0.302
95f1fc6d22364fcbac5486a036460d39bc25c6bd,-1,-1,-1,-1,-1,-1,-1,0.307
3d52da29b3da14b3630160ddc2d849247bcb89ad,230,115,14,107,1,0,105,0.309
6c9eed303954de3c3f48b55a1f30f6aac4aaf79b,32,28,77,26,0,0,6,0.312
746a5ed3f414884b4e76dea524240a86112250a5,201,45,96,45,0,0,2,0.326
cd81eb3f6c39a538e86a6499cc528a3a966755ae,157,163,247,139,0,0,3,0.339
92d59e97db9e97be02cc8eb7aac951421c4c619d,172,142,101,136,0,0,169,0.358
6fc03beb73e86dd92ff3879cce100888c719b401,378,194,131,178,1,0,3,0.364
aff1ef4d4881bab9048f46b67f79007d2f34d564,77,44,29,45,0,0,6,0.372
ee38fd09abf1b0fe9da0353b12e88d3a7dd7cf1d,33,6,1,6,0,0,3,0.378
97fc92065e1f1ab7a1aaaa0a24c902b2642fee78,117,44,312,39,0,0,0,0.387
3f172e8bd0794a7916a242fe1121bbccb7f1ebd2,184,154,87,151,0,0,40,0.391
0da279fc7a898a6b5acf8f6fa7eef75958cbdd32,52,414,42,360,0,0,1,0.452
4c632ab5c4b705b2aac04774e2e5e5ac1671a5b8,81,152,50,137,1,0,5,0.454
71d1973c70548daa64f854e21498d18deafbf180,57,58,121,43,1,7,19,0.465
fb3fd4fa36b75c547f4d58082366fb5881cc1f46,17,14,12,13,0,0,2,0.466
59fb865663be972d8ea3ec5b1218f207e0203652,4375,269,71,612,7,88,530,0.501
8f66433c31f0890ee258b6df59e8c808fff53c87,118,105,42,99,0,0,30,0.502
b14cb6b2678980471035bbeb20e7c47170f46158,4993,36,282,36,0,0,294,0.503
227553f48d2f4e32aa4830cc059eede367f0b171,78,419,57,413,0,0,64,0.604
3459ceb55f6f915207c15f1369d61bbbcbf45882,20,206,145,197,0,0,3,0.614
e0019bb7345ff237200efce4360f45f7319b8cc6,-1,-1,-1,-1,-1,-1,-1,0.655
3de0214aa62f46523a8e655952d72f8ff50caed8,31,18,45,14,0,0,2,0.676
7d48177a9110b9b31d584bfc163fc28db314ca08,-1,-1,-1,-1,-1,-1,-1,0.682
40a98973d8590cb8743b65143f634c64caa5296d,71,27,18,27,0,0,6,0.683
77a77002c94f0907d4d80b201d64e7db2c5f2be5,123,37,8,27,1,0,7,0.704
8794930eb02223c5fe909678c2172754ada3e394,-1,-1,-1,-1,-1,-1,-1,0.705
7fe4d2ea42a7c076f1b20dcf9caec4e541eeb990,-1,-1,-1,-1,-1,-1,-1,0.756
353fecb6ce236f5f54b42a67a10c4b73610d071d,-1,-1,-1,-1,-1,-1,-1,0.801
5bbc2c395d0f5d8ab452f5f0c35cfc5dc64d6baf,-1,-1,-1,-1,-1,-1,-1,0.843
9b23eb5d3e13c13b751b2dfbb4366e71f97df29b,289,48,7,19,0,0,47,0.874
03186ad865d0cff1c36370f51229bc0cd82444e3,52,25,4,21,0,0,4,0.925
