id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
a8ff075893f298ae4a52df70da59f6fde51a1ffd,568,479,185,118,5,535,2319,0.006
ca6f492e16657195ce2eccf6f2ac96f1f6754efd,635,9,361,13,7,264,249,0.008
a1b2c409166ddbc9694a867ad054914d514a1a49,131,29,223,29,1,3,29,0.010
5e6c1d775a2adfeb9bf7ca75eda2fb77bbcc00d1,456,169,452,166,8,300,2197,0.010
8552d3f240edf273d1e5bb1a6c59e86bd6dc7f36,-1,281,1620,274,0,0,7552,0.015
a69fb3ee97dae11c632117b31d279ca63d710000,361,215,53,40,1,7,137,0.020
6f55825164737213a9203d8f26febd67bddaf61f,512,17,218,17,23,1553,83,0.036
43b452fdc22b30016c251564c0d8d965c8d965d7,-1,-1,-1,-1,-1,-1,-1,0.040
04de0ab7abc3a0d3a1e906b8f469b9ffec3d11cd,126,31,89,29,0,0,27,0.052
281431bf9f265f9fc2c3ebc2c3f03c93b5ce883a,715,47,137,29,18,495,1492,0.072
db1587ffe3ed2ebb6466f90347b5446a69a87c44,260,17,91,17,13,262,46,0.101
17b74ee503cd86424a4248e415cac328e06e1698,578,19,156,21,1,42,225,0.119
ada340531d4b20e9b588485f78d95631b02aabf0,68,28,130,28,1,6,1,0.123
e00e8fe1dcae66658ffb4a99b1c52df605f979c8,-1,-1,-1,-1,-1,-1,-1,0.125
4b99f7712326849ff1127a87a93aa0d20ba61838,103,27,106,13,0,0,15,0.132
125abeac7b563e78f08d8b0ff2bba9ab1f72f2f6,626,146,223,139,6,162,1126,0.155
76ced0c2ea47a410a640d8baca84c08672ae36bf,-1,-1,-1,-1,-1,-1,-1,0.164
4cea0faae9003790c6bcf61080f4727033a2bdca,255,414,73,398,5,7,1057,0.167
8532e6ea305ea632c99b33a766f60831c3f50364,330,38,88,17,0,0,0,0.200
b626fabe03ffe6edec193a365040053f9052a7e1,146,103,133,108,0,0,8,0.218
d9c3f0413b294df6b6ff5b978eeb904c3c4ef9bf,254,119,139,95,0,0,5,0.223
dd5bda9a4ff5052ea2707696552d2d4a300c990c,355,29,99,83,3,51,72,0.223
efdf948c0613a0505ebf2ecdad29e7c243e5a367,283,90,222,88,0,0,4,0.224
64a8b91889fe10fe9bd72b4b739960c2b7143358,363,61,172,58,11,1076,7,0.225
689a7af13bb63bea131cf54dcaab44593512fd6a,43,151,145,157,0,0,11,0.232
7101a1ccc847920378458f7284bf0e9d0f7f2fb2,117,84,106,79,0,0,3,0.234
a145e374d77bab1917f0861be7898ff9bbc92e59,112,16,98,18,1,0,9,0.238
b3e7c37640d605493b061e5e24981484a961de1d,95,276,132,263,1,0,1,0.243
bbc5593c7f9c243aca5d65ae223381aa5087b314,-1,-1,-1,-1,-1,-1,-1,0.246
e66d90ddd22e309f213dc1685397cc76e4a23e24,254,79,332,78,0,0,27,0.246
c93033dd737b035b2e0155556353cea107613285,123,33,575,33,0,0,34,0.247
8296dff7500cd7b742e40cec89ea5cb98cd8c203,74,52,174,51,0,0,6,0.248
82b720b0a91283217cefe00a8cb85e2ecb585bb8,115,222,77,215,0,0,15,0.250
