id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
75be2417d727fa034a2cbacab584381f2d67a7b1,267,20,89,19,0,0,1443,0.024
97bd23bb7be24dd74b8dd14780f9c8a8db0f069c,-1,-1,-1,-1,-1,-1,-1,0.051
d89cdf075beeaf15ef706c6bdd1f8cb0563b4597,253,63,306,61,2,13,418,0.062
051e07dff1376870cfda2eaf9cce106434555944,141,119,189,109,8,135,563,0.073
67097abe946c8cc105b55b0cbea726e0199a4527,159,352,280,349,11,167,2262,0.095
bcd16c89a8eeb14859cc38325d62ad122d61e069,204,59,143,33,1,0,893,0.102
4b0e075689e6199719ae4e5dcdaf8f6814e535ec,239,346,561,310,2,8,2,0.119
2091e716ac35fdef3dace2aa849ae33d3f4751de,335,689,569,375,2,152,1006,0.119
ed59e768496cad0f4ee09fabd64b79ca2df9e6fb,-1,-1,-1,-1,-1,-1,-1,0.120
05db823969b4e3c590dae5f505fbb5ccfbfffa87,-1,-1,-1,-1,-1,-1,-1,0.127
d40d347d7451044b9091bffd2b58d5943a55bf67,-1,-1,-1,-1,-1,-1,-1,0.128
b770c0b81233b1cd8a828637a2ba978e01b78730,81,53,785,59,5,0,146,0.147
4728d2370eb91883df411be8f98eae99d671c363,-1,-1,-1,-1,-1,-1,-1,0.150
c97dcc160737165176c3904be15062947d8389b4,-1,-1,-1,-1,-1,-1,-1,0.151
1b815eb2f5b724ae8ed461dfd5858f34974e6f56,-1,-1,-1,-1,-1,-1,-1,0.156
fc894f830362230206bb5bbd737b23d2dcff8fbd,493,167,51,191,3,56,1797,0.156
3b18c0528dd13d365eb418232a24b020a791247f,299,19,2,24,5,50,53,0.158
951851e984de20030665f1f1dddb5afa99ccc152,-1,-1,-1,-1,-1,-1,-1,0.161
73aeb7837d8cda694f08bc661e326a1c5dd89a69,8228,322,86,181,2,51,27564,0.179
ddea8fc15cbf42c70ae233d82632e1750505a0e3,9920,27,3976,25,2,57,2487,0.179
011967f05e257f58df9a81a8d16f0651017a1800,30,1,32,3,0,0,0,0.180
5cdc12b7ab1aeea089b4961f2aa840ee0a966e35,62,69,119,51,1,0,841,0.195
63c69ad3bb198464a530a21e03ca8e4de72cbc6e,-1,-1,-1,-1,-1,-1,-1,0.196
6ea633217fd7fc8560d93c3a0c4e2aa806dae5d3,360,128,149,124,1,15,613,0.204
731c940cd591ac6cf7118c01da83c474aea36c44,166,7,7,17,0,0,25,0.211
7c919e74dec9f09b8691634dd91f971ffe6b1b2a,206,62,534,59,2,7,199,0.218
1927e3660c9e510c5742eb75fe6dde57eedb8007,-1,-1,-1,-1,-1,-1,-1,0.218
0b5f1303c276caafbf41ced3156b2ca4a22f11ec,40,21,16,19,0,0,12,0.221
7673f06fccf5c05fe280d620692460e06490858d,189,63,179,35,0,0,4,0.221
3858a3b368f5a29134b425023e073d4b3a3744ee,108,106,209,64,0,0,64,0.224
2998f505271763bb97f912e32509158cfcf43ee7,-1,-1,-1,-1,-1,-1,-1,0.225
ec5e2d0df788c15b4c6e3e489fd0e4d923313ae5,62,24,24,15,2,7,285,0.227
9791aeedec7ae63e54679949b538ef89625dd996,-1,-1,-1,-1,-1,-1,-1,0.228
f2f6135ad31a55ed0a3c832fcf2b666a37aa6383,4,0,0,0,0,0,2,0.229
9adbdeb6119a99d628958e594d828f32c044418a,-1,-1,-1,-1,-1,-1,-1,0.232
d9576daedf1d47ae7d90243f0db8b11bfae665bf,118,65,146,62,0,0,284,0.234
1b22f86ec2517ecf6b95d50ac9f653013f1ffa6b,-1,-1,-1,-1,-1,-1,-1,0.235
26755a42137524df39b433251b2e691e0d78419e,785,252,69,260,1,13,205,0.242
f5cd58dc900b46d7b26215eebc23b47f0b24a83e,281,681,93,256,6,0,499,0.247
b875fb5da6046066c5f3f28cb76342aec84410b3,-1,-1,-1,-1,-1,-1,-1,0.249
18a226f9945902fb9530916b34acb07f7a338ebe,66,72,31,63,0,0,3,0.250
be3ffb23f591921fc43267bb8154e82cac2a5759,74,65,4,22,2,49,197,0.250
5dcb6465cb7d6eee377e879f2a39fdd41f4af33f,527,196,32,1244,8,167,2177,0.253
b979c8951cbb35eecdb4e11205254df1a3f9e041,-1,-1,-1,-1,-1,-1,-1,0.259
15e76e82bddcda8d0cd1acf6e1371b9f197891b6,185,114,75,51,5,57,190,0.263
ef98c323d7fcdbf76bd57939c29d4e9f9dc23df6,-1,-1,-1,-1,-1,-1,-1,0.264
9ca61cafc8d013f89e0a1ec761da0a569206075a,311,246,57,131,14,22,858,0.280
56566d554f34bb01f0df3571827d7b3758ca942f,1946,976,185,1344,6,40,6018,0.288
81941121b9d0a859b4b382f00741e7f39204c4a4,-1,-1,-1,-1,-1,-1,-1,0.292
47da6e756f3b644b2e7d37415eba389876e8ed7e,-1,-1,-1,-1,-1,-1,-1,0.298
f35c72d2326d475533b3cff8634e034fabec57fd,270,663,850,597,8,3,879,0.304
31047a0c6f1c235e9bf62ab56149e97ebfa4aaeb,40,127,9,124,2,7,191,0.310
ebe2b97ea5bdce0bfeddb2212e6f2bcd7a809e08,-1,-1,-1,-1,-1,-1,-1,0.312
c1698b93640ea3e88ce26fbc74a9a3f7e0bae679,42,27,31,18,4,5,128,0.327
ac91f3cb9d373ba20dfe459830019ef5a9d985f7,-1,-1,-1,-1,-1,-1,-1,0.329
eb93a72662aba8db2d1e3cb49cc8c6f98fa78995,-1,-1,-1,-1,-1,-1,-1,0.329
5be43b449873bb25391312cb7102fa45d31ddaf8,365,313,382,58,0,0,153,0.349
fcd12a07c19862af6e93c186eaec377a72587c4b,142,24,63,24,0,0,161,0.359
c526c2101d7e9f3623bee09071ef8bb0d71eba18,224,53,211,58,0,0,381,0.370
be4fd737fb2acf7ee7edf91ffdaf03dfc2eac995,17,15,9,12,0,0,587,0.390
479413e7da177c9c860f52634c2e19fb10d47d0d,-1,-1,-1,-1,-1,-1,-1,0.394
250c4273439f5de4a23caf0820450805b1bb8a76,43,52,8,29,8,29,93,0.411
54a4cc3d13f0674fa06ef4674f554bfa7686b832,-1,-1,-1,-1,-1,-1,-1,0.417
d5a2c1e63778b1716a86b9380aad264ee6797d2c,94,49,670,48,0,0,2,0.422
c61802264a21b5156f8b6a1d87fe17e82b1b2dbe,91,63,80,53,1,10,8,0.427
be3d95abffc4e72abb2fbc9a3a1d1cf50af9bc85,-1,-1,-1,-1,-1,-1,-1,0.432
f3133adf9859d5152d67b22fd6886a7f4b4454c5,29,12,1,32,0,0,9,0.435
3f6750b54ff71c896dbda0ea5d689b42acb594e4,-1,-1,-1,-1,-1,-1,-1,0.439
e61042d987b55eadb965caf81975276207a60d20,78,96,179,108,1,0,5,0.446
03bd60c429d7f41e1f7da65b45ea496ddcfa5a5c,56,54,29,52,1,2,0,0.456
15157c485cdc639aa54fb59a86db967025e0b001,64,39,15,34,1,0,77,0.466
3f25e1894f5addc55779df109f13d70564121ea7,5,8,4,9,0,0,2,0.489
4aabd9daa90daa2ddb6ee02c7561405a9871a59d,57,40,132,35,0,0,30,0.490
86dd6757a5b7d236ca5e72ef5b27c94301652566,-1,-1,-1,-1,-1,-1,-1,0.496
2ffee9d2f712a04bbc100214d0bc2c81b45e4951,-1,-1,-1,-1,-1,-1,-1,0.505
5564bc40d405598d68cdecd7b9892d2b7702f3f1,-1,-1,-1,-1,-1,-1,-1,0.535
8abb9afd745aaff543932ca2747d1f24bda7944b,-1,-1,-1,-1,-1,-1,-1,0.536
74ba7b0d512520066e5b2c66edecc5f370c8a47e,-1,-1,-1,-1,-1,-1,-1,0.578
d7df18f6dff6f477283876307b76929ce989f194,13,7,3,5,0,0,8,0.579
5a5bb67b6e8bef8b5dfd1c362f613f841e46a2a6,304,23,0,32,0,0,323,0.586
8e1f08548a40d7f90d4b6b9f4a7a90858387df39,68,3,57,3,5,0,3,0.596
c264540731ea84f547b0ce7e786c4a8d777ae946,60,5,6,4,1,1,0,0.636
63590f471e5dca7fdbb59aac107787dc8f588ce8,55,68,14,51,1,0,36,0.639
b6c7486e82f0241869e8544e627aafa13100c6b6,-1,-1,-1,-1,-1,-1,-1,0.660
76fa9d8dee5503c97421b510033d599f8f277f11,1850,4,97,13,0,0,90,0.679
8dd48ba93c83b2b18d8d7c4583cfa71d6858f481,416,97,81,49,0,0,243,0.680
979e6b35eecd6e1e205a0c7b52d025ff8aaefcc6,62,214,7,184,0,0,75,0.684
c4bba852b1110096b7e18b5ecee72b684e75d3bb,7,8,1,9,0,0,2,0.687
71fb18fcfb9e098675078efdd39740cf4201bc8a,41,1,12,1,0,0,17,0.704
3151fdd2224e8eceb2e99fb8777d1d6c633ec1bd,84,30,28,25,0,0,5,0.711
b22e6e93c460b7dc5e4a73e317bb51b436669690,260,210,123,199,1,0,8,0.714
c851120d9d6f905e1175e5e92d17a6cc960e623c,12,31,98,30,0,0,0,0.717
7208d0de1b197d8ae9b77614f529cc603fa1846c,119,88,14,101,0,0,78,0.717
5817a2bc50aa00e2013c5b159a6a46edc963009b,121,134,82,126,0,0,6,0.731
55e6328f4bd04da24ad9964907dbc11fe7445a9c,5,16,1,62,0,0,9,0.741
81760c5bacf16dee6416b72433a68b00c4560f38,-1,-1,-1,-1,-1,-1,-1,0.746
e4bb25b46d269f2b173ffb6e914bc6e9735cd8d6,168,34,4,81,0,0,94,0.753
45df990ce9a472c53dd4544ca4a249251c045825,7464,20,44,54,0,0,2854,0.763
7079bffbbb42f84ea6579ac4a39c52e085d01347,-1,-1,-1,-1,-1,-1,-1,0.766
7c912a10f51ad0bfdf122f9b0479e766f96d54db,91,36,87,36,1,0,23,0.768
940bd745c2ad3771620c77e29d4551b8176a1f3f,-1,-1,-1,-1,-1,-1,-1,0.770
9303b0d96d85d27523ffa520b363dcbed3866ebb,16,1,5,1,0,0,81,0.772
54ef6260cd05b82c08e4ca9052a785afca7e15ad,-1,-1,-1,-1,-1,-1,-1,0.789
0485f1fc4e31573e882497439d3bd9cdfa184cbe,-1,-1,-1,-1,-1,-1,-1,0.794
fa7b4b4317919b82a5e2314989e295868746d2ab,58,76,58,62,1,1,44,0.798
86da8d30b4b889170f338b6c2fd57cb9e06c108e,-1,-1,-1,-1,-1,-1,-1,0.808
948877dac4a188b5c139bbed24719b1280131484,2694,137,162,612,0,0,4439,0.816
2dff77de32ac35a2cbf879035e90c5084e1abc19,140,48,21,46,0,0,36,0.881
037784e764952b8e777d56801eb7979b189d1d37,-1,-1,-1,-1,-1,-1,-1,0.888
1b900a33d04b42e32fb063216bb14ad68f2cd0aa,63,16,8,13,0,0,15,0.910
