id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
c3a2432d8b60fdfe9d827e128e05d0fef06285a3,-1,-1,-1,-1,-1,-1,-1,0.001
057ccf390adec83cfd266ec3c74eff2764065900,-1,-1,-1,-1,-1,-1,-1,0.002
75ed19d30dc6c5ba329067b99b2a218305bbf3d4,500,45,104,9,9,529,4116,0.002
0dc93b35ab736e675601f6370614b6378c1be6ab,127,14,32,13,1,55,175,0.002
d334410939127b8416b4b1d4497d270befb79597,-1,-1,-1,-1,-1,-1,-1,0.003
151821444a6ec3efe32e0f253c178d069a33eacf,38,3,5,0,3,58,2,0.003
4474ba291fb925cab9da51883e6f12d072af6251,64,9,22,0,9,187,74,0.004
5eb5ac04f6a0413b4e4e866d4f02bda59dff2260,15,13,2,1,0,0,34,0.007
e3f46a5860c714b9c04207678434231cdaa5a85d,64,6,10,5,2,17,3,0.008
de7a36a7e3e9b7540b52c698bfb026feca7a7da2,111,14,25,13,2,0,1,0.009
4aced693313f9f71bd6f39b80ffc648da0f04200,-1,-1,-1,-1,-1,-1,-1,0.009
441df3633a53c90ce4e6654aab3f1d5c7103dc7a,91,25,9,13,0,0,575,0.010
de09369417bddcdb2535fefed2599eb61b3e6840,40,0,12,0,22,241,5,0.010
4901385d5f2a58550a060150a53c822c80bfb1cf,240,7,14,9,20,180,230,0.014
7d2cbaf3d21489c2c6b940cd8bdf88f456541722,112,20,27,21,55,1474,245,0.018
cf9ed2311f60c3967b6f66d8f85a041a389bccad,81,6,8,0,0,0,37,0.055
902e7b2a8367897b4a0807aca88de6588fc08d1e,164,127,165,119,10,971,3208,0.064
473cf9eb7fec240971d389396842129b83f0be60,60,12,34,14,1,18,210,0.101
e3cd039d515c6125df5b6fc9648eafd901243bec,143,28,51,28,0,0,725,0.183
1470607a33f235a7cd7f7b1d8e5593d6057812b0,19,8,5,2,1,74,65,0.271
b837f4153280e49c38eb56caf283ed608b349e3b,356,10,598,10,0,0,31,0.298
bd8240a61b31f14da23974c17016076d47541a41,34,51,32,28,0,0,78,0.440
87d15b7dd84d0efedea243b32a8c62cc8f80cb58,174,10,24,37,0,0,402,0.471
d71abc83adcdbdd523076c60bfcadecc82106128,-1,-1,-1,-1,-1,-1,-1,0.518
e7b8803780172dd09dfe201bb5003caa0d56bf02,-1,-1,-1,-1,-1,-1,-1,0.660
