id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
8bd2fb12897edb02834f011e6ee9312a2e8d15f1,779,325,72,48,3,17,699,0.000
7b8c4ea2df968cfe34fca1cd0ea97106f90cbc04,913,66,123,72,0,0,383,0.000
b2862e07ae4d857375e6d63cf163e953467bc9d3,5278,158,340,147,0,0,771,0.001
00073eaff8fc3dcdf89d9843b1e833945d54acd0,570,631,362,200,16,1021,3837,0.001
eb91af80cbb80f6fb051261b9eff8798b2392081,601,141,844,130,0,0,3840,0.001
0ca9e3db5355c059f4a125f91abeb4897e3ea59f,2960,698,314,207,162,7018,4762,0.001
9d076b7e82e9b8ad775e003e8dfc3e78249eb0aa,3961,28,1323,27,8,644,3133,0.001
65e296169001fe1d9d5156d12deab77ba8248113,2583,1000,575,211,7,348,2127,0.002
34f7f23166adc386cdfce449245676c82a063329,1487,40,217,51,1,16,1708,0.002
d9cf0481903e9d02bae02696b22c776e5fa44c19,696,352,108,71,9,185,3831,0.002
120719c65d96601b8424e5d4231124daaf3bbd6c,50,9,88,9,0,0,4,0.002
ad30d8e7d35549ddc3285774145c8287bfe2f608,138,18,570,23,0,0,62,0.002
c529fc3cdb683f9c082044cd6614ff25690ef161,9951,6,3408,6,1,160,2930,0.002
f29b542680e6d993421dc1adbe74fc7544ed9367,648,41,133,52,19,912,1043,0.002
88e465ee280e0ff76114d74d93881a4bb83a3064,5911,295,309,52,10,626,706,0.003
311a2ea48b926ab82a07e40e72f24ac6fe66e3b8,2589,17,629,87,16,3418,636,0.003
b1978cf8fca4e0b85e68e422d17aa0116aeeb70a,569,195,567,183,4,119,3248,0.003
56b1b7d0e56d4c0ed7de65dae5aa51814665871d,7972,119,888,370,38,3660,7682,0.003
a77e19865106b9b84d8f8ce2a50817231b2141bb,3280,1000,2372,340,28,3118,33388,0.003
e68626a4a0f266280ad992eca5a76da10d7c01a4,9890,146,6017,142,0,0,4027,0.004
a55985500aea89e2165f320e8cbc90e2e8ec7f16,1153,780,110,341,2,40,5783,0.005
08375a0da61c4c15a80783003231e93db8ff2e2a,753,333,236,324,5,226,5929,0.005
d1fc0deafaa52c5984fcd1939179650ed43dc8c1,903,39,119,47,1,0,336,0.005
04dc89cd97c178d9d60e0864ef614b67fae7559e,104,145,40,65,5,41,869,0.005
6b3605ca090ae097ac8a6328bedf2bf863a940d4,1223,61,741,34,5,145,1151,0.005
e3a095870c464f7455715c238d3c2fa5e7da6423,1380,73,210,79,4,102,356,0.005
048926cb6bb1cf429d2f3e6913c4c8baf0403d26,38,26,18,26,1,7,15,0.005
c4e62297036b3d6adf25152599b010d16e526802,502,92,170,94,1,2,476,0.005
4c778f1d0beec316e42001f88109e2b630301e29,795,60,1212,57,1,0,1169,0.005
cc472e95cc9f01b188bf61ace189409df4192076,1190,222,455,214,22,999,1405,0.006
1b971fcdabf16465b7633fa4e08e6578e1ebb9c3,742,62,117,18,5,47,716,0.006
68f9d483140770e816debdab4b652540bb7dd0cc,6198,213,546,272,20,1085,605,0.006
fd430905307ea7fa59ea5195c1b7beee33788f76,678,180,923,180,3,55,3431,0.006
5b51d66b3c5889a679f1689674d4fb2a90dc85f1,187,33,128,32,6,113,647,0.006
ec261972e571ca089140fc8114e5f9cf7e3c0052,427,10,22,517,10,28,31,0.006
c2a9a514d84911aa04e015a661c7d40afd32989d,282,138,223,128,1,1,1250,0.007
328ae8a3d1ffe6868d3fb8e434791784b047d923,707,27,74,25,0,0,63,0.007
a396fc5f0bbce0c585c7f87ea698cfb3fc13313f,406,401,107,108,6,171,1020,0.007
25ce8c530e52087ac48756001522e4a8cc1bca27,9120,17,495,16,21,1182,620,0.008
85a382960ac8b7ea868dd760a1e75c2ad2e71fd8,583,113,75,45,0,0,2133,0.008
690891de554716271b5f42bb9278adff2709f3bc,795,118,116,109,2,0,386,0.008
6a333f34d170cba07eb4708e0f44545953ef1b5e,376,771,167,106,3,56,337,0.008
264d1027d1e112548e0ee923579e4f92494c8bae,463,72,26,64,0,0,954,0.008
0521398f9d5f0b3c772e297d1af60b5de0e998a7,276,112,153,108,24,936,1696,0.008
dbc60c0c8e16c80b59ea104fc22ee4b70bba643e,1406,272,413,256,0,0,1817,0.009
d9d2698f16a6ad93fd55241dedbf03ad2321da22,282,867,247,450,20,1465,10543,0.009
a6861fee55772f733ba446d14d67307f48780ea6,243,41,204,41,3,719,266,0.009
07f634f0a6bd4d0b149232956b26a9e4ec3ddbf5,7274,82,1626,383,27,2622,5596,0.009
d6a96fbcb0b1ee3a6ca18a085300d050cb4a4a17,407,83,219,82,2,6,1727,0.009
6940e3b87f25feb53f6e04243351d1bbea1a3adc,274,339,183,31,0,0,1418,0.009
534c50efa797750c52458a5a4e9bf5b63b453642,1833,15,425,15,0,0,261,0.009
26704c4f15951a060242647f7ffac992ec7c352a,901,68,145,20,32,1217,803,0.010
25d5b284e66230be30642558d3886918812a01fa,989,191,768,196,10,70,2418,0.010
bab36aaca93cb9a1d765808bd8fcc3da6915b80b,1116,42,434,92,7,411,664,0.010
56d81cc9ef70cdcd25897f0384376bb0a7558e3d,298,23,395,27,1,0,248,0.010
5fd9ab77b1c16f7355a7a8367b0e4b9e66caae59,115,29,103,29,0,0,274,0.010
df89a08770ff010c23b26e9b8c9eccbfa8896c8f,294,71,118,18,13,1129,300,0.011
a24931caf1cf8da57714d09dd11f0f08b862d07c,3930,87,1264,81,10,984,7034,0.011
77811ce61f3577447b0b50741b375ad202df6edf,7650,144,60,374,3,54,350,0.011
a7b465f6562b0656652e188341f64a8538412b8f,1424,152,163,192,31,1207,5149,0.011
046651ab0ae6f00cea4699d0cb0e2e72387257d7,9997,404,2153,351,5,15,6343,0.011
1da5395b2a9dda8732d58ad1226809c22191842c,116,29,31,5,0,0,80,0.012
76bc153672bdc52fa91a2e5e171f95be7ad28788,154,30,101,6,165,4846,30,0.012
9056b9f3015cdbf5711b8eea41d86047ed551d70,307,54,141,16,8,107,189,0.013
34faaf8ab48eca86cfa91b4228d0df33eb3a9cb2,405,10,60,11,3,28,143,0.013
c12595e0096f77f91ee1ef9fdaa9939894251bc4,340,59,111,16,3,68,1037,0.013
712511e31fc7046ec5dfe95a9a32a41f6c0d05d0,621,110,79,28,1,0,932,0.013
5ae28024a23e7020db45320ad0dd8855ce0b16fb,215,56,33,11,0,0,66,0.013
2c1e073c401b86d2f7e70967f45db04edcafd1a6,788,616,1,65,1,0,402,0.013
2fef978d8a758b8eeff7ecdc40da6195c0b411c0,838,19,245,19,24,526,121,0.014
783fc1e252416a94218b88cb13b674848dfb38fb,3549,52,1427,49,18,567,4040,0.015
05cb581e475c84522cb240d36c4895a9b2755a7a,2910,290,1559,274,21,1456,988,0.015
1ebcb6bb0374c08b80de9ae24576d8cf5d3420ec,4798,30,26,318,0,0,302,0.015
ab5f7a24ebef0724944275dc0e8c73217d536323,851,60,131,60,15,1070,2920,0.015
48a8454f0be5c47f6112f181b846e269d7bfac65,3899,146,472,502,13,266,825,0.015
a13934cab79bb9ab2674d075ec4c7563b9489b13,459,167,24,57,4,71,429,0.016
f296a104d66fc1f0c0f25a2e510a044f1659c7c2,4663,700,551,230,3,388,4616,0.016
61512517cbff6aec7e529329a24515b2f2fdbe4e,1275,30,224,75,3,76,825,0.017
942944c7abb758fded74e2659c571a90c149a82f,139,75,134,32,22,986,907,0.017
a55c05d71a6e0b8b9068aa9566bc6e69709a1f98,9986,1000,3684,478,54,2780,8585,0.017
631408d90bc5d9e50f60c10f49f43e2b3b41f344,162,50,48,44,3,69,350,0.017
e40a1b3ea223c10e2a75e11d9a01603c8237ee83,1885,154,680,147,8,347,1937,0.018
bd2136004eaea4215251f4a2edcc1ae067530f37,475,259,175,49,0,0,931,0.018
d6e74751d9fb8bf84b8117293646cae7b61de4e1,521,77,42,77,84,3685,1413,0.019
75e1b5500907ec62017fcaec3480e4678777d166,348,38,202,52,2,4,525,0.019
8dae09e6b3bf2b5dd52ef0b4e17e0f722412e1aa,3955,102,158,179,7,285,1757,0.019
2df500b845ffcee0b426822ca707b7ea204fa59a,-1,-1,-1,-1,-1,-1,-1,0.019
114c431a5ca85d23b28eb7b0f70172a4a4b2f746,352,103,246,95,46,1337,440,0.019
bd85962d3ffb14d796eb785d8403a69ef63174aa,1091,211,259,197,1,0,813,0.019
05761aae1d6b0189ccd9f172f80730d68d7cbbed,918,409,1251,389,7,370,3275,0.020
9601e47dfa48a9183848b41f225d803df8156f60,4256,194,6,69,0,0,2562,0.021
5916de1b0422afed27acc446e29945eea6cec329,196,53,7,52,0,0,122,0.022
20a8a9d02608f8f47491a0a1e04bdd037233ca2f,274,-2,82,33,23,578,67,0.022
d6a8b7440ff2ed7122aaa7a298fb12429e09d5b9,686,86,72,104,6,410,1883,0.023
d079e8627bafd14e1e0d15e18a89cd672c2af72d,267,237,226,242,49,6231,4404,0.023
3ecdc0f7a50aa6366bf25fd18cc6d946f88f9f05,1058,151,263,158,13,617,1246,0.023
7aaf9177fb8241b75de4718227faf7beef6d3a7e,1005,94,85,93,1,9,348,0.023
1fcc292fee229f03fe5a4f53c4c1b2f54b2a1223,7538,100,1,99,0,0,1852,0.023
980339dff96a7f64e3ab3b12dda9c7c36e21fdab,434,58,97,19,26,1453,566,0.024
e7a049b34c4d56f98a5e85a01b80bc388c18628d,189,38,166,39,9,266,597,0.024
872cdf55d48d759eba1ee4025eb3a1256567e241,8824,276,1017,467,3,279,3033,0.025
07bda824514adf16118be03f94ac96cccfc549ea,55,9,19,3,2,14,27,0.026
b36aa131ed15b7926a48bddb2d174af685100aa7,246,9,438,15,27,3506,828,0.026
dfdc1144cb6be54243e6fb24f9f17e54c47dbcb0,3230,109,457,37,0,0,1233,0.026
a6339b4f29927cd80da8aeaeb4277b857c99f4be,755,28,202,50,0,0,110,0.026
ec70978a2384a82a7f58ce66d78b65b14a9dca2d,567,137,232,137,9,521,1465,0.027
92bfa2642c37897110c04ab972a099b8dc10de3c,500,13,349,18,19,1045,292,0.027
b2a91328c3b838dd2957b54225828e34ff884760,-1,-1,-1,-1,-1,-1,-1,0.028
1b333add37e7c71978f9702b226dc4bd5fc56e5e,559,21,1,152,1,0,2116,0.029
e39e3a2f9608d3a6d3afac7c8060053ec427ba6f,720,215,2840,208,20,853,78,0.029
5dac77d41cf02a03c6b6c625b0030f44110e98ea,107,52,225,51,0,0,1755,0.029
ed594f254cd30a6a6627fd7d97ac013116bd9d3d,5688,122,86,329,0,0,1545,0.029
954000107a8354294a48fe461cf803c9ddf9e204,220,49,77,47,11,771,67,0.029
a04d3499c4ea075c8320248e25d36f0a76a4cfc0,2109,667,364,234,11,722,1030,0.030
9058d7be268b30cf13e2545412bc68177ca5da1a,162,128,225,127,2,22,387,0.030
43cd8b4d90fb30c544a8e5a5b89112ba26f0bbfe,589,39,47,40,0,0,653,0.030
d234bbbf95da83a8807f95aca8d84fcfe744af6a,365,93,182,91,6,182,321,0.031
97892fe84c3508ef5ac6e2c8179df534bbdfb248,261,55,131,57,0,0,5,0.032
565affbe9e4171f70e7d2a18355c772151804504,929,146,221,170,0,0,2374,0.034
f0bad6c7a97fa356a6a7e2ec229b7f1ca4cc3cb2,479,69,183,86,8,222,1159,0.036
80f85e97804c254491caa6933018cdb6b7c18d24,640,90,155,87,1,3,904,0.036
4fd2d5d76f970ad68af74fab9d80088292d1f78d,3513,106,864,172,10,627,154475,0.036
324bfb2205a6d90233e0853bb8314ae1b6945924,1014,17,229,16,0,0,4,0.037
dc7b52fdfce99d60762f8f2d0eee34724dfae731,774,515,196,159,3,18,2597,0.037
e56b0f3846419e5c79d2745b9c4e4b7c0e2d1952,3369,380,69,356,16,615,2977,0.038
c0f48f3f928bce69d87e6c94e2eed13f7b591998,446,693,304,344,18,794,107460,0.038
13ac359c88752c88805313d3207a391dd4cf9fc6,195,115,57,48,5,314,27,0.038
1c50f59b69cd050eb7f6f97ac7bbb0b9cfd03a49,1009,20,64,39,7,27,400,0.039
