id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
08e665fa19951fad509112324197c40fc871d234,623,379,1298,358,13,512,2983,0.000
0ae297430bec9c7805f12c457a0957391a42c1de,336,275,93,114,5,33,2273,0.000
b5cc00baad69d5d5a07b933091df408a002dcf9e,-1,-1,-1,-1,-1,-1,-1,0.000
1bcb3a5f07ee25886d3ac06378152f4c5d86702a,85,296,25,95,0,0,1418,0.000
892a853b1d7be9dd4ba1a1c2d798adb5410ba493,292,56,318,59,26,740,118,0.000
204fb2a1dd6e92bdde948db303a468ce0ae8f47e,-1,-1,-1,-1,-1,-1,-1,0.000
68ccda8aa18a6b3469bf18c5ebdb41a3b8712aa4,123,45,31,44,6,80,32,0.001
27134e13ba2b215a971736dc91119da724e2ba84,-1,-1,-1,-1,-1,-1,-1,0.001
194f91aa5fe1cb1e409d8805382293e53f7401c3,236,20,23,20,3,161,35,0.001
0c611e733e1b9070f3ce7064b1542d5e40df6c83,1865,94,308,111,10,543,5083,0.001
9d902b11d7bbc740035c893c64000a96310f8b31,353,1,121,3,0,0,0,0.002
73b1e15c345f658204db49a84cff249c6f7ba9ca,240,11,49,19,0,0,114,0.002
399039345ab5f43db0f8c4514a63a3ecb3eb67e0,157,14,235,16,0,0,258,0.002
861381779527974d2184af6138cfb138a9c4a957,140,20,51,25,12,235,152,0.003
7c6b689eda0160e63e81e7e32860e6cb25009771,18,2,20,0,4,26,89,0.004
957c979d52d302773fe51e6c6cf68c31ede7b99c,92,22,21,23,1,0,12,0.004
802f2bf181ddb2e597c12df63b969bbe0d2689b5,-1,-1,-1,-1,-1,-1,-1,0.005
a316b93c8cebfed8f6503d172184744c19dd9afd,65,22,31,18,1,0,1760,0.006
cc5239066f9f4bda8bccdd36ef8e7c8a7c3c928e,-1,-1,-1,-1,-1,-1,-1,0.009
873c17f8d61d85a814e3f79d43c2cc6c80a70bd8,25,0,10,0,0,0,1,0.011
b396e7adf70fa29ca11afbb8da25ec6abcbebc3f,65,3,74,2,7,130,92,0.011
d7d226e02224f3477922fa39a03615dfab49388c,-1,-1,-1,-1,-1,-1,-1,0.013
386105103fefac03af17020f31777427786abba7,-1,-1,-1,-1,-1,-1,-1,0.014
c25ef7a046de5c32d77aef804f876d1dee9859a2,173,593,71,569,3,28,1169,0.015
e6cc1fd300c90fb2e07b70cf1bf9a6ec5f6dae1f,32,18,12,4,0,0,8,0.023
11615d89b93c08d27b30e10639ef66435d45b8ed,-1,-1,-1,-1,-1,-1,-1,0.027
fd674ee3eee338e19b17d8b1ca5f40cc37c6b66f,153,103,136,103,8,48,2724,0.050
ef6faf28824bf1f9373086826c979fd3f2c6a786,39,56,8,25,0,0,29,0.052
1f47226d3a18f4b52e27b32cee68b03cf265db60,60,0,5,0,0,0,4,0.074
c3360bd05431a83302f1189f85be93890ea267aa,4,0,4,0,1,0,0,0.082
7d068005b857959a919a89a0aeb6fc9e77f3cf4b,-1,-1,-1,-1,-1,-1,-1,0.088
f485d9bb14c9bae2fb1d74fa4cc0a2496c71a548,1153,1,5,111,5,249,38,0.119
0fb8c12b425ca3c5d75b8218582969047fdce20c,180,54,37,58,0,0,74,0.128
9edc0833a9967973722f415e4842348d3fc58048,2011,108,412,124,4,184,1598,0.139
1d5a761e3f4ee9fe7b6aad9fce50cae24d3c4a32,274,279,3,141,0,0,6950,0.142
579adefa4cf87b4ef71700796a308d3538715697,72,32,26,13,4,277,97,0.148
d169226dfdc00ee585a10b4d1d0eb852c3871427,26,0,5,0,3,106,62,0.153
471717714d52bb0b3c04af708c0629409ae3d3ac,28,16,15,16,28,4974,435,0.250
e09b43eec3bf763d0ef98f38deb9d6ea3ccbd987,20,0,13,0,0,0,53,0.263
3bc1ab5ccaee48a8ec3899dd7b0a044cb43e980b,5,0,0,0,0,0,62,0.305
d50ea08366dd0d2c27deb550c36f0ee815c540b0,48,88,25,45,0,0,165,0.328
65d3cf898f9183b956b5468b9380e12d8e210945,69,33,3,26,0,0,18,0.332
bfe78366949731dde6c543a85de1192daa416868,32,0,1,0,0,0,49,0.337
8169b3b556a3b5dd73d6888cde1e7b5f44248db9,9,59,1,21,0,0,16,0.370
760a64a480cdeb7503ce9ff96ff921d88dae1317,38,40,2,56,2,26,158,0.403
405326fff79cd9c704cee3c35db8c4dd1689ff13,52,137,28,99,1,16,112,0.637
66a0c0a8a1bc0b89fa18546b1a51205879b32d97,296,146,55,84,1,100,170,0.749
aa7c80388e49d2e3780973543b165b861d55287a,161,64,44,55,0,0,346,0.801
c22a77523c536afae9d1eeaec1384046976601fa,6906,5,0,69,0,0,101,0.853
b48ce71f8e1363e229c7d308239f864881edbb53,110,6,3,6,0,0,229,0.932
