id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
bfd90907a52e22f0854e7328d921d1d95702554b,1815,0,1405,0,2,41,995,0.000
b513bb5822228d417ad2693309d414db301bb2b3,364,115,2525,109,1,10,152,0.000
470a85422c24359504740ae6fc6d14612b4f9c2b,743,124,801,140,25,1979,1526,0.000
908a58b0df047d8c9b1871951279e7cf3a366d6a,201,41,145,40,0,0,525,0.000
0d5aa88c806a38e15bfc7dbf9aa551029c3a159d,-1,-1,-1,-1,-1,-1,-1,0.000
a7124e97a34f29fc5bcf6575bdd8e8144e220d8d,-1,-1,-1,-1,-1,-1,-1,0.000
0a595a561edabd2d14a6547c3b6f1568546f01b1,960,74,733,70,1,11,1322,0.000
d5d97c3d6afbdf6943b17f7eb29958eeb6fe95e1,6557,1347,2015,1876,2,226,1227,0.000
7c9290d9292387869dc6bb579221274142d03499,1750,106,1777,137,4,141,1955,0.000
842a40e674c8973a767f06628e9d46ab7ce1bb15,537,263,3470,252,0,0,912,0.000
5e2855842279d55ebb8203e60437039995be0494,280,0,146,0,0,0,4,0.000
8244f80210deb8f91578671af0da2d8c4cdf4b78,196,23,589,29,1,38,1436,0.000
39e4f6bd9d7d694e2737719f4220f6ffae76a474,4776,90,1578,185,94,7786,597,0.000
2a57441f5e7db8e78caf9ab88dd0fdd9edd81bbb,445,290,1122,276,11,151,1013,0.000
ef5780bad205c7da1af74fb986573a7ba53ce415,9999,1000,516,75,5,317,2210,0.000
121514a468e283a0462adab07e2ec7913e9b2883,-1,-1,-1,-1,-1,-1,-1,0.000
824d3d4d1b92303d37876bacd93753730fbc2f11,6466,269,3537,1381,1,49,146,0.000
b7b3307411f1ee4efba6ed59301390ba57a233a7,1020,44,28,42,0,0,21,0.000
99daae792df8f084659184ee7e7a056e21d52492,-1,-1,-1,-1,-1,-1,-1,0.000
076ed897c39dc6aa43460bf558ef02d79a6a6b64,905,8,57,14,3,286,1467,0.000
9bcdf1c7222b82db6f0fb67e7c1ee1ac58e925e7,725,154,312,153,7,159,1107,0.000
9bb1f3655b21b0eba689d06db834c5c60703ee62,-1,-1,-1,-1,-1,-1,-1,0.000
be89ec0444b13946dbe3f859b2a779776b5b7789,1022,1116,13528,1033,91,11030,8526,0.000
84bcf1fef9f0e2f6e74627660500613644ff1d67,4793,397,5021,405,2,19,1484,0.000
2065034b95556a65d4751eacb0ee6a9bb2c80322,265,19,79,20,0,0,244,0.000
17dd3f12cd026444603cc505ab4abe043a9fa566,1011,692,828,112,21,1013,1245,0.000
4e20c1be9c529cca431ca72804fcaba66b5f1867,-1,-1,-1,-1,-1,-1,-1,0.000
f0d714035573e8ceaa7da14a77f472bd31b6a86c,1767,262,1585,415,7,355,1081,0.000
b433d404b667837ae4e9cbc2c62c0c43d26e0f10,2977,322,848,421,83,6624,3305,0.000
f2e9fdd8a6833880ec6eb81b242f72c2f8976f04,49,50,24,6,1,1,943,0.000
1c81751d609b63273a94634c3b467ae3831c7d41,-1,-1,-1,-1,-1,-1,-1,0.000
6fd1af4e897690114ce9b7ada9255301411c5355,-1,-1,-1,-1,-1,-1,-1,0.000
9ab29cbf3387e1f36e2ed9076fa6700b33795481,1625,169,1620,184,11,694,657,0.000
677b70372fb5b6fcf46eceee9f6b7f5fc49d67c8,262,41,344,41,23,1196,2122,0.000
2e59ad046a7e08eb4aa4e40410801862c47ee50f,164,38,163,36,1,1,20,0.000
96e3f0ca11e062020ccc6065e1d110c876e24459,786,162,282,161,0,0,665,0.000
2dff65326c706c36e4b56281a849f08fb2a384bb,235,70,285,68,6,143,911,0.000
0d666e31bbb034f17e3f39f692efbb3bab09caa7,612,87,746,79,29,2871,1909,0.000
7ab69665124f20020186d0b934e55db56ecf9e84,-1,-1,-1,-1,-1,-1,-1,0.000
1e370c3d6355f967a67e85db951444f28dbc31bb,250,151,427,131,10,232,626,0.001
f4f17fded28bfdfe8ed13e9b5b30c15a131f0d5b,3855,250,103,740,31,1810,1584,0.001
b2862e07ae4d857375e6d63cf163e953467bc9d3,5280,158,337,147,0,0,770,0.001
62f8cdb38c31e797a252548dc7b90344b7dfc43d,2333,588,5672,542,11,1674,1531,0.001
c4945a6a9051392c13b3bdb09b6816266eebb0de,3719,689,524,537,30,1521,898,0.001
0dba884c233e5b357b1a2e468d6fd9ac1ccec2e3,6054,36,881,299,2,40,1458,0.001
778e0cd20a226fad94a7d4df568f239bcfdc04d2,1824,65,553,59,15,484,815,0.001
74fcf0b33758827c7b3110b064ebfec5ed881d98,728,307,469,285,1,23,414,0.001
87e8b80bca290d4b7cf444da0be1e9d9d90cbd48,830,206,221,195,8,128,1166,0.001
a70ecd3bee439fa2fb1cbf2cd84117a2a269e12f,33,129,71,123,5,31,1422,0.001
423a3f962137a11c72a67fc5767e8d2c0257dacf,1152,408,898,400,0,0,200,0.001
5741248e73fcfbe1e6ac3ced560609b6dee62df0,596,111,158,106,6,86,1337,0.001
7daf4ffafb7cd841aecb06b3b2adae37cc874dc6,131,29,85,29,0,0,1302,0.001
