id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
729c56a2cab25f9d5d43d7d6d8cd27644ec49a4c,412,264,129,152,10,252,23414,0.000
c411d739634f5641a1c460f24fda2a9eaef8949c,224,3,21,5,0,0,1,0.000
803b914fcd9120e15ed45799d8d726de50827036,223,103,274,97,2,75,320,0.000
fc7d112e87dc8670596acbbdc713505a40ea1d9d,371,20,213,20,0,0,0,0.000
51c2ddb00e834c8b718d233773db378c0d86e3ec,-1,-1,-1,-1,-1,-1,-1,0.000
0dbc49ee45ebf388213ee88082250c9f3a6a3f79,-1,-1,-1,-1,-1,-1,-1,0.001
010dc6f4a079eb162935daf292720b5e6dd86e3f,190,42,82,42,1,1,496,0.001
f6eeb40d5d65dfc1cf68d5bf3d47282c564b9dbf,-1,-1,-1,-1,-1,-1,-1,0.001
6755e3073c91ff14d8850a3bc72c8e0ab0c579d1,218,91,219,84,3,91,170,0.001
40c2c74990ce92416ea239ef5d7400a6f09dfdf4,209,59,119,54,1,26,480,0.001
bf2b00812c9fc1baaf572ce3e39c4f0ba4bbd3dc,386,77,125,75,0,0,365,0.001
73f441d627d6f7423f061f2f097ad36da826e743,258,91,442,95,11,519,1010,0.001
6c126f95745f47426071ca1f60a75be036bb9fb5,86,174,136,34,1,2,24,0.001
e2b7e65ea112b74036727bb8a066e959d9966fa4,-1,-1,-1,-1,-1,-1,-1,0.001
cf200a33db56195bfc6189a9db951cd2bcd360f9,85,3,14,2,4,53,63,0.001
79ea03c872de06c5677e825ea5e821e1c0e37ff1,-1,-1,-1,-1,-1,-1,-1,0.001
af15bfbb9ba343bbfab8bbcf82d7ab51afeec43b,233,216,214,211,1,95,941,0.001
138e55a71bac1cb70eda6792824a42f2bedb6cbd,48,4,20,4,1,14,86,0.001
bbd4201a491d6b5db66d57d188470a0b2720dd66,-1,-1,-1,-1,-1,-1,-1,0.001
dd5817a05b0cbcbc0710278e20910f07c78e2f95,191,214,112,125,16,78,517,0.001
237089d50d846fbf8c6a2808380bc674b9d99d4a,484,44,2,41,7,284,1011,0.001
faf68d85a40b0119d5a2ada9bf8b8eda5f7c46d7,-1,-1,-1,-1,-1,-1,-1,0.001
88c9fede28e9b4b51401246838996e8b29fde20d,2302,60,771,100,8,1502,697,0.001
89caafc48ecab3e30eb90154e4d3da5d4417e844,340,206,148,150,5,48,594,0.001
17c0bcd3d27140a78656ec18c61cf71299257adf,390,115,403,119,27,1179,1036,0.001
ef267d3892e0c72514e1156c5a495867d2ec9bcb,490,89,227,91,11,776,546,0.001
9ecc37ee54dd8a5a33149055e69399e3ce1ca9d6,328,41,2,45,9,300,145,0.001
c9171c5b713590dacffe7e6dcf57a7d5940fe266,188,20,31,19,1,1,41,0.001
a4c32612eb1007aa01300cb4b6902023db6afd12,554,8,22,96,4,116,4,0.002
52fae5d33bc69609a4cf50a5a4a37b8cf9f89009,-1,-1,-1,-1,-1,-1,-1,0.002
4a293e2b0d760a2d14e0d4d4494f61f498c5c1c4,91,2,12,2,0,0,3,0.002
0a1a5e00f7ac0c2f2b5e576ec8727f2b58b0bb01,213,118,43,39,0,0,427,0.002
ce48fee649ead4d8f5415dc0ee92abb326f348c0,153,76,13,38,6,141,4437,0.002
a058b76b1f9a64eebaee6b2f3d34f98b6ad07099,3584,9,1046,49,14,82,19,0.002
1c4d6ee7e9216c19e77a9449338ff2fc7af2bfff,440,207,210,29,9,1219,1133,0.002
0da6bbe8bdc10323b30e9a39e6642f673acbc1b4,199,13,255,20,4,29,816,0.002
5cbb91b23f0270477fc6b3a8b574ae113abfdf52,81,325,117,123,17,641,348,0.002
58d53277679d2bfd9f781f730e47e7ae8191e74c,196,76,24,14,0,0,717,0.002
b7a406511362797815b3f2c98e40641441e6b6f2,-1,-1,-1,-1,-1,-1,-1,0.002
c084875755713caf73d94713b463516789a2fb7e,-1,-1,-1,-1,-1,-1,-1,0.002
8469151a486d664991fa1fc2f630fc77a98431e1,409,285,241,294,1,11,593,0.002
18acef04abc3484eb98d57ab6149c0caae1c5f17,247,98,195,97,0,0,924,0.002
eb2bb3e5067b53e9da4c624a7ab4b2a76ba5ed82,511,135,803,128,0,0,5024,0.002
880c6bd155a21a26cf3850febd747637e14af979,256,343,178,80,36,7564,3408,0.002
dc65e63348af8d7885bbde1fa02af28d9218a616,953,139,157,136,0,0,540,0.002
296f5edd53549b37e28e00d9a4140f0f35ad2262,111,37,129,40,0,0,18,0.002
0dc9e2be76b5ee69a6e62c4ac42609c8719f8e8b,190,46,197,43,0,0,99,0.002
82970d4872d01b62bdc7cfff7e0ce5a8e7ccd845,210,21,15,1,0,0,301,0.002
a9cb71b0b8a77ad1effc65b9f1e66c7134b541b1,316,275,0,264,1,141,132,0.002
33bad0963f90f4f05a88aff2f81d68acb8932b8f,274,9,16,8,2,216,20,0.003
b2973303b622b642bdbd2bb203aecacd792e82dd,-1,-1,-1,-1,-1,-1,-1,0.003
731df370f7f7d02babc5f7c7090b39d153c80ed6,152,438,129,146,1,0,326,0.003
42900c615b47e487dc73d3a16d37ed1f7f5a456a,-1,-1,-1,-1,-1,-1,-1,0.003
cea7989f3457af104c66f60bc30df2e4acf77105,103,4,18,6,4,99,21,0.003
9b9d33b1c5ad054cf61629c0c499833abe280335,358,29,237,26,8,288,1534,0.003
7cccf69880f4b59a69f409222d5b683eb5595ab1,-1,-1,-1,-1,-1,-1,-1,0.003
ed0a3aa1c41e9dbbf246b0cc4acd9db63dba4e0f,-1,-1,-1,-1,-1,-1,-1,0.003
1660df25352a6551d3ffae48de12da7e4ba66522,-1,-1,-1,-1,-1,-1,-1,0.003
c9da89ae97cd65794d2de50036808bd7e2c4e9f4,454,526,146,91,3,101,893,0.003
7057d3c001383466671bf30a6cd4db0c5d3ee965,450,417,147,194,4,255,2080,0.003
53225e873616f26e2be17ef4313c1aac3085586c,97,35,40,35,0,0,23,0.003
fe02b91dcbd4177aadf64fb7c91d8b304fb9fbe2,212,6,64,10,1,4,6,0.003
cb55fd83004ca1e7b34db6a214a00e14f6a226cb,-1,-1,-1,-1,-1,-1,-1,0.004
