id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
9ce97dd44cbb21ff20a8f86ed6bd7d5f4083ea04,-1,-1,-1,-1,-1,-1,-1,0.000
1df932a78ec516d3eafde11cf1f515eb45232852,443,135,137,11,25,1711,522,0.000
5789dd94fb936a4aa3d6498360b0e8dc1d1411c0,237,94,314,87,15,1048,730,0.000
b7b3307411f1ee4efba6ed59301390ba57a233a7,1014,44,28,42,0,0,21,0.000
c77720c20818b7d2f90c04fc3d20240318f69d42,174,21,474,20,1,25,894,0.000
b43551e30f47ba760ff9335264786998ef6736bb,-1,-1,-1,-1,-1,-1,-1,0.000
28678da0856aa25e935a7e00095fdd39c85d57e3,644,1000,315,106,12,378,834,0.001
d93cdaa21fe5d1e05c0b16ff0866f106136fbf59,752,152,824,146,34,1789,2872,0.001
b3337c70a7378aa8a5901651ca230d195257051c,2365,42,514,156,10,303,1260,0.001
013bcfae36315ab5f553363b756b52d87558b006,540,641,81,139,34,2347,3053,0.001
e87e1e06c4050c72f411941a24ec64d4416c92e7,202,39,77,39,14,318,1354,0.001
0f9cbb0584a33f802c943751893bf8574372d485,1623,36,210,57,56,2393,292,0.001
f4607fcc3956a666bf4fc05e52ff35096bcb8130,184,17,57,16,22,1861,1190,0.001
5bb06bab8579f4d024d7f8c08588c8c897a70149,3025,440,148,541,5,73,6859,0.001
8c880f8ba18f9a5dae6036c757f214607333ead0,885,102,111,118,15,1147,1036,0.002
f1707f58b0e8e550bbffef96630c111fa2316f8e,686,23,11,17,39,1647,580,0.002
da7dd50c7f80a2e0784c87b6870e83a3d79418be,-1,-1,-1,-1,-1,-1,-1,0.002
ba830f88689ac955f7e536b536a477b462567068,203,190,207,179,12,765,692,0.002
5cdcc72e0b1417e89a4d0565f828e8aaa3f496f6,199,69,98,67,18,295,7922,0.002
8e81c398df3469cbbcb317bd4c3eb2e2015e439b,257,17,71,18,4,121,548,0.002
b9674bcd044d5daf70610c4dd32fe08402f47742,162,26,446,29,13,1281,4089,0.003
396e7f4eb0da385490c45c7bef9e25ae05b2e619,245,102,85,12,21,1378,1238,0.003
