id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
c2a321b02bf38e4783215e20f6aacf15e942ed3c,217,0,351,6,0,0,1619,0.000
0961aa601fa0d050e04ae42d672ffecdfc45726e,420,22,2016,23,0,0,214,0.000
56611c938d4f2c73fa5c7f678dd23e2eaa6451be,4492,81,1755,98,17,1936,2422,0.000
b4a914c45607faaeb6f2a478249ae515a7ee80b7,677,42,519,61,13,501,1069,0.000
2d680fa5d08f515bb732d83f5fe61d83ccab8807,628,287,259,28,26,2019,401,0.000
2d02759a07d6e8b96329a01dc0732813b492eb12,34,11,25,12,0,0,9,0.000
5e3d5bf28e94a926ad79eceba7956a80021c6638,611,150,500,146,6,265,4294,0.000
c957c36e11e7b3fe5f3bcbafd51f191f0e1b2fdc,274,7,43,10,2,181,119,0.000
775ed6fcc6686ade7d3d8c950b36bb5fedca9453,-1,-1,-1,-1,-1,-1,-1,0.000
230c9547fc6a5c55c11a567aa36aedf673f68438,321,11,4,10,0,0,18,0.000
e0374821e89abbe702ed62916711c40978293301,189,40,96,4,9,112,666,0.000
fb7e3ce9218a03f4b8f18ce350f21a1510992810,460,257,429,32,15,707,2641,0.000
38e6fd23693dc307453127fd50cb615cbbb02650,751,155,196,10,31,1502,954,0.000
4512a443f56e413e4c57e0eef7d4b15775031aae,119,63,99,64,1,18,49,0.000
406fe9db787ce9ba92040ac64e86762108393ad3,188,178,288,174,0,0,23,0.000
d146c6ad0644d9f84788b9d0a15a98f4861ef975,2545,123,886,159,23,1428,1444,0.000
42303ee0349e8e4d82d4b817e9f27bc17457ee7a,253,50,54,12,0,0,627,0.000
9a24f87330edf9a1471e73d6ae0472bae5f8f370,616,59,608,60,14,1167,918,0.000
6ef5d0f402ea8ce2ad49773e70c9ac33048e4f03,345,335,351,331,1,0,1429,0.000
4f5dde38f32560dcf31dc2a33393b8d19b57460d,143,0,7,1,0,0,0,0.000
54488c923f5db7057a5ac4b19c76f540945a8022,400,57,60,56,0,0,3,0.000
618cab459789eef3013c0a92215be72e1afb25db,82,13,18,14,0,0,84,0.000
5f3746192ce1f258130ea09b903d5e015cc50012,259,100,175,37,3,152,1396,0.000
fa269a8537af2484454a1b5e3ca068fdf7b98d41,22,16,163,14,0,0,276,0.000
0c52b2a0a6cb0d111dcb9cdd5df2254a508f5317,335,78,65,33,8,311,1264,0.000
7ef058884d21f2db52cd01118ebda35aff2541bd,217,47,192,46,1,15,91,0.000
4993011e7be6756805fc2bc4680e4ea525a840f1,636,51,209,48,30,1126,1263,0.000
b3b5b8129be77bfb1ca1d4b27460c03fb7bc8b85,306,14,23,14,1,22,20,0.000
cadbbb8d13f4eac12baf19a1bdb36290bcb584de,2608,108,482,516,0,0,190,0.000
e23efdf14a7c6a072df0b23047970d48e90c548b,56,0,12,0,2,33,4,0.000
15879e4e9bd5d2b0c3c9504a6068a991b3284031,450,35,181,54,3,260,19,0.001
3a1d5314e13a18a7576ec4614bea7f4fdad3bbc7,-1,-1,-1,-1,-1,-1,-1,0.001
7b976cd393e17b83005fe7c84fa44bc14e509524,203,5,14,5,1,20,463,0.001
c03803c97b121af058edffe34353438f32645f3b,37,16,9,2,1,8,9,0.001
f832281753c111888a6963d3c34fbc392e91e8ff,263,43,71,46,2,67,121,0.001
389721d68142b7c18f58b895d8e3c72741ac8ea4,1408,345,403,341,5,128,939,0.001
395af6c08265be724ab3563c10a34e775f00d4ba,181,24,55,24,0,0,625,0.001
01742510f8eb7a6036fccc39dc637cf33dadce7f,388,132,336,123,0,0,907,0.001
0b77c7ff7118419065e7fcccbfe237df733b9b90,-1,-1,-1,-1,-1,-1,-1,0.001
79ec7a2e4ed7c9c942340009710708cf6e45b11e,180,10,65,11,4,2,101,0.001
7f72f695766dc888d5e491c220366e8447a78c20,220,39,143,38,3,37,109,0.001
1ae84783bcec8bff4b0d9591f430061a02a1d99b,1290,26,777,35,114,5350,2343,0.001
8ed39d812199936803504a776f0f9122c3d253f2,-1,-1,-1,-1,-1,-1,-1,0.001
231524cddabc7d2daab52cb95f7f9987356ebbd9,1653,26,573,31,12,1222,2918,0.001
c8f7c17144e576750c321c4de942df38b05bbad7,-1,-1,-1,-1,-1,-1,-1,0.001
c251a173477cd8e0223c9b6407128077b91a4032,869,141,654,144,1,1,1164,0.001
e924b8e8c077e1b93536a8b0c256336473defdae,1000,96,330,89,1,1,1007,0.001
863cf7ff6d28730becddd9e7acef0e060559139d,201,5,29,7,16,187,26,0.001
3409a88a5e0b10d379fca019639816eee18b01d5,2745,11,761,7,19,2461,937,0.001
e74c99c94b2ddba0d6bbd2120e52f79780da1747,333,11,69,13,3,107,27,0.001
f98e99fa28d0f9abf433e452a0e148f36a6e4fe8,163,26,69,27,10,299,32,0.001
be458c18110be0e6f4382ebc7a06bdc3e5d71d0e,646,48,208,44,7,215,446,0.001
65d4121b522021f79edc527c6785f60fecbe4f2b,410,222,224,73,13,614,1766,0.002
5745724089ec9832b8ab57876a33301c32f0eb84,-1,-1,-1,-1,-1,-1,-1,0.002
30a5ff6fc0414c875b40fb678ddb283e39823869,-1,-1,-1,-1,-1,-1,-1,0.002
dceb69f72c255d61c1722169c4faa60782e045ac,-1,-1,-1,-1,-1,-1,-1,0.002
bbf1789202a7a30ce9fe8e19282d13ba70678c77,-1,-1,-1,-1,-1,-1,-1,0.002
d906289910fd3112f2f0e02eaca8a76809b0dcb3,251,4,88,4,33,3687,1224,0.002
1d7b1b7d2a2b863101ae805246983522240bdd9c,188,10,0,10,2,25,6,0.002
b38ad6107f2a9b3afb4bd5960afd6a68bcbbbbc4,172,51,54,25,8,106,697,0.002
461f57a7704a88c265315347f9b2630a7f6eaf48,123,65,63,65,7,48,2032,0.002
23623054c04d4f78fa7d7e93919b8da11b8bbbf6,2350,83,523,205,4,685,915,0.002
3d61fc99975d2ba9e6086281acc35eca4d8f328b,618,309,505,96,8,249,816,0.003
4374df6ffe1a87a4dd40795f44baa1ca2c54a88d,103,2,18,2,2,55,7,0.003
dde81a9c6f1b6242932e9ef085027ebd30c2a8f8,147,16,226,16,6,199,44,0.003
d1bc4556f9e09eeee966ac9c4a58694c114f9f08,-1,-1,-1,-1,-1,-1,-1,0.003
752acb362dccd9bc3ef9f185cddc84ac1d1241bb,230,51,128,49,0,0,318,0.003
ec1cbee831ad6c414ced550864919bba8d7412b5,244,7,106,8,6,332,450,0.003
