id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
fe88d30c021aaae26832bca7662027fe13bf4cc1,1836,519,4074,484,1,42,1584,0.000
73eca7c4d6562ebac8fb66e8d75bc807918f9072,137,6,119,6,0,0,25,0.001
1d40bc3c20d6f4f81d755e56ad0ce18db6e2fb9d,520,480,2480,460,3,135,3579,0.002
b4f6e7b0ec9f32407350afd323647eba34573d03,2371,593,240,205,13,911,2446,0.002
2a80e9256c51aea02d837e6909820462c8dc6e26,9914,23,2251,23,17,973,567,0.002
73ba6fcf822643d1e5eb577e1c6ec05c5e9ce339,1115,295,712,65,13,577,4800,0.003
b509991316faef6a03af7d05a4bc51ac92abe29f,-1,-1,-1,-1,-1,-1,-1,0.003
9c1bfc78deb4072ce4ff490ed6a2e0e7454ecb32,-1,67,222,64,6,213,608,0.003
2e3ec37784aa13e0ce617233e3495bb50a7787c3,-1,-1,-1,-1,-1,-1,-1,0.003
5b66abd944639b1000af479cad03faacb938230a,962,229,195,102,7,377,1591,0.004
48eaf89c043171ca1c4bc75dcfb9b9a435212230,2052,202,954,234,6,374,1542,0.004
7de6f7861d2580c99ae6a7873c03f263db307b96,-1,-1,-1,-1,-1,-1,-1,0.004
27ecf3f1cac5b4c75a8a2343bd406aeb0d557b0a,117,27,76,27,0,0,127,0.005
9fd4c5fed310d65d482d186866e232519859bf38,-1,-1,-1,-1,-1,-1,-1,0.005
d60fb1bbe398aa4c6f83897d720adfa8408c8c40,1129,144,212,151,0,0,491,0.005
2bbe858b85ec6a1488ee04bdf56ac78dbbce4e43,289,6,41,4,0,0,5,0.005
5376e888bea62d36fc4e88002a5662bb8c25fba7,-1,-1,-1,-1,-1,-1,-1,0.005
f0408bddc695ba037953bfee1926f26d0892d1e5,-1,-1,-1,-1,-1,-1,-1,0.006
758f7c9b8519a77ceb895816101a244ba63e355c,151,14,80,14,0,0,88,0.006
d3c3eb4dd312027751d31bf4b08a47361ccd8f63,747,175,32,34,17,1515,2218,0.006
d760dc195fad1b834927878e94c3ea0b8ebb92a7,-1,-1,-1,-1,-1,-1,-1,0.006
77c88686bcb5919253e65375e77b3447af1bfc51,192,46,108,50,0,0,66,0.007
76f9bec6a727c5528c042a06d12d4413a0252755,1229,108,775,123,6,552,1569,0.007
8a1274b7af336836b017cb0ece4268bd382516fe,-1,-1,-1,-1,-1,-1,-1,0.007
f163058e3eec34b6e71a49c5f8a4da596ceb1f4e,342,50,300,45,2,146,2840,0.008
14f32b1cf227c41dade4fb6f46e3aeb5b759f3ae,1855,18,1,19,1,429,126,0.008
01a59d7380ef337556bdbb8b80a654b02a883bba,304,128,58,114,2,18,153,0.008
d2e3f6b95abf39f235a4dfed7cf8ed074d8f6bdc,441,66,448,63,2,51,297,0.008
87341cf634475ab6898399534647d4f09c21b484,122,33,68,33,2,427,704,0.008
430b9c07ff363c72c7c61a447267116286a4be72,326,44,174,45,0,0,1170,0.009
57ab68ed6d5373371bfb45aa4386a6cd7df6f1e5,94,36,153,27,1,13,18,0.009
bb76d240e8a09a12b44aa1bfb4a7e0e597b25d0a,487,355,125,58,2,36,497,0.009
597d196476f88f99cec1dabbe1ad17a953682eb5,-1,-1,-1,-1,-1,-1,-1,0.010
66537317f61a0e9e8981ac34834a47b33c3e1fa4,-1,-1,-1,-1,-1,-1,-1,0.010
5e9cbb37fe5d93c6312ea0aefb7eb18c59d38c30,180,61,117,57,0,0,531,0.010
4436a8f37683abcce50bc9309f500437fb187e6f,-1,-1,-1,-1,-1,-1,-1,0.010
b6fdbeab4c087decd1acfd0a6b16f12c1ce65a92,462,54,104,55,2,36,669,0.011
49d2a2bc2beeb2d781215c8d8ae843f2fa1c07a0,133,53,117,48,0,0,10,0.012
0f0215784e03fbed1e68cc379fb40314ea3ac808,-1,-1,-1,-1,-1,-1,-1,0.014
a0f716a98d79fd9e6cce86b4d0e61a12e5932f66,296,4,81,2,0,0,1,0.014
133cf906deeb909c112ce11e9cd48c7a37d259e6,1694,185,1,251,1,221,2380,0.015
d7d5c58ec44c3f94598db6926136f8337acba43c,467,16,198,15,4,102,205,0.017
e457ef2e74a13ab1cce32f57a516b5e3f0df72d6,-1,-1,-1,-1,-1,-1,-1,0.018
a3340f4447b722e51120f91285516c44aef49866,451,158,236,77,1,1,13,0.018
8a255a3d72566b7bccf6f99d19d5bd7f7cc6c539,-1,-1,-1,-1,-1,-1,-1,0.019
ac4c57fcedec69fda6d33d67107fbb3c2f0f598f,340,75,180,72,3,214,247,0.020
d8f844c8dd87f1b8924f3927b29ba21218950ede,996,55,216,55,0,0,417,0.020
cab35d75737d28c0ec92a7e0b3f6c9e3949f101f,24,68,831,64,0,0,24,0.021
0d316f26e282ae24d755e7de745a9a2eab4b008e,-1,-1,-1,-1,-1,-1,-1,0.021
c4969e29ad6f28e892fbea0c56be6d09fe0d78ff,190,74,115,71,0,0,4,0.022
175833f390c78bc6ad070ddfa78706d9b2c8ed35,193,1000,465,847,8,299,2871,0.022
d683ec1a6f89e2f2a3447c62909175cda47a63bf,1657,153,791,163,5,642,8636,0.022
82f01e912bf8a0a5603bbe46fdd637ebe5d77c52,8208,185,1038,233,22,2915,13507,0.025
