id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
b0bc391b5155caed39710c527fb9f35269db3584,537,89,342,89,29,2568,1394,0.000
58bde79d16c8be9acb29e3506f608b694eabde8b,84,126,113,66,34,1235,2379,0.001
ef1d4d76697354b8b334f6678b6bbd0bb8a081fa,465,45,55,41,20,787,4333,0.002
f154a33ab1c0c4738e88cf841c93f16e33365426,-1,-1,-1,-1,-1,-1,-1,0.002
2e2ad6c35f4ae5e8356f8afdee8333e8b0407c15,-1,-1,-1,-1,-1,-1,-1,0.003
2771b06c7e92e762b918b2a0387cdda02dc432bb,-1,-1,-1,-1,-1,-1,-1,0.004
1d38c349dd1141fca104f9ad5fa4f49c4f75e2de,624,523,145,106,48,2087,2409,0.004
858e2bbf7aef510b8cc7eaf759e17cd3ff9a485f,451,6,64,5,3,399,1387,0.004
75a853f38ead541454a2721facba8a97012f657f,620,49,50,48,10,117,106,0.004
b56d7cc56ca9ae59378c0a8e0d451c25e81db109,79,24,71,21,35,1451,495,0.004
4839dd40d6e523efc3e3bb8245a602dbcfd3aaa1,633,99,125,42,0,0,381,0.004
fa9bf0d66312ad34ab65b39652db434d99727fac,-1,-1,-1,-1,-1,-1,-1,0.004
913a53830f2007d8c20e2c2f66f865cc974047dc,7818,20,1141,140,0,0,1539,0.005
5edd3b8662ea400e435586df513ece7356c13cb2,398,62,19,61,22,562,103,0.005
f581827e74f6be5db077f5b7ad092e5c5a274dd8,-1,-1,-1,-1,-1,-1,-1,0.006
832422f0960722c87348d0060469536edb37e485,160,242,83,161,11,266,533,0.006
c9d2a848cba6fd8480c7b04a3bab2ba034bef36e,121,55,75,19,42,1214,776,0.006
b9c347a46e4da265c64d684c198d64b1e1979a25,36,50,8,47,48,3581,144,0.007
3bfc5334237b316286b2b7171bf98f053a9a06a5,928,34,38,100,57,3220,1932,0.007
efed20864e0d69efb06a31f6ef3183d43ad634a3,3870,152,922,268,0,0,14742,0.008
57d22989536e227d9d245ba24c4963bc5083fb92,-1,-1,-1,-1,-1,-1,-1,0.008
abd493731c0bb4f9e1062e0be7dc90c0343dc5bc,1274,60,111,111,13,621,928,0.008
29e83c985e98391c03b26c8177449eeb68bf9ab2,480,222,31,52,0,0,2055,0.008
341e30741ad3ba1408aa25ab71c0989c68170191,2243,237,494,232,12,549,5156,0.008
