id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
9ce97dd44cbb21ff20a8f86ed6bd7d5f4083ea04,-1,-1,-1,-1,-1,-1,-1,0.000
5174a475dedb06ae4f9963659a2f7f6c00487b4e,378,21,2,19,46,1026,1779,0.000
5789dd94fb936a4aa3d6498360b0e8dc1d1411c0,237,94,314,87,15,1048,730,0.000
39e4f6bd9d7d694e2737719f4220f6ffae76a474,4776,90,1579,185,94,7786,597,0.000
089b5b09f14fe7dc61b6a1803978d4ad0a4f469c,161,32,1,28,9,877,872,0.000
b7b3307411f1ee4efba6ed59301390ba57a233a7,1011,44,28,42,0,0,21,0.000
11b2738a26e69a9c2ab9f0cb2de714315520356f,-1,-1,-1,-1,-1,-1,-1,0.000
13fc376f80240cb2345c1fea032ccca5f8e9e86f,8257,1000,3433,1448,51,10864,9802,0.000
c77720c20818b7d2f90c04fc3d20240318f69d42,174,21,474,20,1,25,894,0.000
ebec978637c0afc11d2a29d707475aebec12cf10,773,54,366,54,7,549,756,0.000
23e98f2cf6bc1e6151d008d5d43744f24dcf1349,3760,62,496,66,1,14,2458,0.000
297704ea3c908b8a0d2fa8560857ba4e583041c8,-1,-1,-1,-1,-1,-1,-1,0.001
f3c32b9e2659dc47087c2f014b02fd7d19f63303,294,58,88,55,6,234,627,0.001
ec7966b3572300e032060365507d50d5ad97c02f,383,318,194,313,0,0,1337,0.001
d93cdaa21fe5d1e05c0b16ff0866f106136fbf59,752,152,824,146,34,1789,2872,0.001
d5570ab00d76a38f8ad224d7b8e3052232ebd380,3179,1000,2044,1452,15,342,24902,0.001
61a15d3d54dad5e835e06bc5fc8c4b54b1756cba,128,53,82,51,1,3,3,0.001
2ad1ee6dedb5a5c0bc837dc7f4fb87a67e616aba,848,210,207,202,8,115,8996,0.001
013bcfae36315ab5f553363b756b52d87558b006,540,641,81,139,34,2347,3053,0.001
0c736fcb30b2d8cd995066bd4a1f3b47eab80c90,712,6,60,13,3,110,224,0.001
deeafd9e866fe4566450a413b4152bad905296d8,249,40,57,40,14,558,186,0.001
fb18d2d327c9fac6e71330934739e0ce140fb672,4382,1000,1366,550,37,5196,7870,0.001
f7c5221dcb2d9ab271fb17a720992852f225367e,-1,-1,-1,-1,-1,-1,-1,0.001
ac716534b685dd36067434ad2516b000b3db2718,-1,-1,-1,-1,-1,-1,-1,0.002
f1707f58b0e8e550bbffef96630c111fa2316f8e,630,23,11,17,39,1647,580,0.002
da7dd50c7f80a2e0784c87b6870e83a3d79418be,-1,-1,-1,-1,-1,-1,-1,0.002
deb12b779455a520d485345eab4f9fef5294e79e,-1,-1,-1,-1,-1,-1,-1,0.002
dff7504b407464c26514362eb500db8cc4e0dbf8,380,455,1012,430,10,1961,4993,0.002
c47ae56a3121ef55fedb9d46fc60a33f5f70d12b,88,132,81,126,2,0,23,0.002
f52e7813cfc39b05bbc218f15a06454af12842f4,380,75,557,78,15,1792,850,0.002
87225bfdee74eabc64d13b188f32ef371712a783,758,39,427,43,32,384,1714,0.002
ed0c29ec5ae793dfaaa9b4d274231ea0f333adb5,398,196,234,188,0,0,1146,0.002
5cdcc72e0b1417e89a4d0565f828e8aaa3f496f6,199,69,98,67,18,295,7922,0.002
d2e7412fa326cb320847eb2ea3dda05c97df58f6,-1,-1,-1,-1,-1,-1,-1,0.002
adba6ba155e072fcc3c6948db172fd0b9f9b9788,212,91,46,85,1,0,975,0.003
ae03a6371ccd9f15f348b33be9c623eeeeb3a2aa,-1,-1,-1,-1,-1,-1,-1,0.003
aa5ab39a51477c82ef2514944df8f0429e26e33a,301,12,251,15,3,3,1478,0.003
df3894bc94abf240138dd36f3b3ffae18aaa0777,-1,-1,-1,-1,-1,-1,-1,0.003
7139b72968e013fdcc5f14d31fd263d5b83202a5,171,18,407,18,1,1,101,0.003
b8f30be1f880b24541f0bea77b9568617b11c3f8,268,211,521,187,4,91,1105,0.003
2f191fae95662cd19ac88440c776ff584d268d51,6475,136,1106,293,0,0,521,0.003
c1b74d4098ad3db6f1f6573f1e396ff0cf3b28a9,1187,93,343,105,36,4479,890,0.003
07e1e2ad74013cac4b5ea4317b7a744447b383d6,408,520,85,131,15,615,145,0.004
22418a0cfa07ba8ea733ad964d0518f328f13d32,3771,312,205,105,0,0,3568,0.004
e40538a63fb79f402cf4cc186ef600bc71ce8001,169,51,89,55,9,659,560,0.004
dfc85e084af616487649aa51a5517919a968d27c,1762,77,147,418,4,259,7239,0.004
6e78b4fda497259ebf76e29ee5e00a5663879d94,-1,-1,-1,-1,-1,-1,-1,0.004
41215da0b71deef5feb8e00617a8f6427847d481,378,191,184,178,0,0,261,0.005
6fca8c909ffac9e88a403c579e8c68b887dca66c,80,132,154,50,18,677,890,0.005
640f35953d05a04c09dfb4298c1c2e921169c43e,-1,-1,-1,-1,-1,-1,-1,0.005
7fca74dc22e61a239745f9d87bc1e60d1a3ae6b7,9998,6,21140,5,18,4776,18615,0.005
c862be558668074dcded99264c104c7bbb8aa07c,6642,57,1108,386,2,56,2281,0.005
81a40657335f660ff95c52147a9a5afc79750c56,1977,50,907,46,15,670,1497,0.005
ca855fc683f3da460dc6438b959c13d2f88a3bb0,-1,-1,-1,-1,-1,-1,-1,0.005
0790db07ffe1feb05923a84f81677f80b682c823,697,283,269,279,66,12009,1001,0.006
1be4176a58b216b86834d2d3c9ece32a59b70e4d,3506,72,344,123,27,1204,1403,0.006
5ad4cc97479e3464c2a792c83e4445fe912f85fc,400,186,211,113,2,111,506,0.006
ce62948f17b561a6ab5b9acd2928d7a80d84d1c0,-1,-1,-1,-1,-1,-1,-1,0.006
36df59ab90ce1b0e7a49cc7211a3534dd174074f,2391,191,645,174,2,113,990,0.007
7033147f7f566430382b42d526ef1b53844d275f,295,3,14,3,0,0,185,0.007
516f2c2f9bd24ba8d5d15258b1fa9b81fda6ef99,214,584,27,85,123,20535,2878,0.007
d5a7eb54a2c1d0d21ca17f25dea87ccc396f36ec,228,260,228,173,5,1190,1073,0.007
7981d6b2447fff9262b9915d60220fb08314db9e,309,40,20,35,3,14,319,0.007
37db072a12f3facd28b8523f2708ff3a3369b028,3686,482,345,368,1,16,326,0.007
4de823f8e35053bd5035165086bfeb34cad56dfb,972,38,374,37,1,35,1370,0.008
5093e05a9b3191818688a74f34ab91a7d700caf4,7614,297,789,289,1,1,14781,0.008
8dce69ea6bd869b59307b0875587ec106b839258,2968,1000,859,402,0,0,1351,0.009
5a43e0cba55fe829aa6a10ba17a8ef449811b277,-1,-1,-1,-1,-1,-1,-1,0.009
9cfb666f7ec54a2d1a69f62b125796873e63b38e,282,144,319,75,33,1596,2041,0.009
2219bcd6a8da0a944e76e91db175c42e7e23899d,-1,-1,-1,-1,-1,-1,-1,0.009
6684d087d71323a07b717c6e7a79db85f3c89bfa,186,177,51,209,11,1477,322,0.009
790396b5c880119246cf044a182ac98eede4d26a,-1,-1,-1,-1,-1,-1,-1,0.010
bf3fe699644a406eb054deb4b28c146d598ab186,-1,-1,-1,-1,-1,-1,-1,0.010
c5e78e264b6739ba347a6ad89b26997836b38225,196,107,128,108,21,1112,2585,0.010
668fe5fde64e21fd4ea3ed55c932a47609a34e1f,401,67,28,65,1,76,431,0.010
c40e34124433aab70a30d29a3add95a3610ac37f,-1,-1,-1,-1,-1,-1,-1,0.011
d257abb8eb3e8eb64759de873e1dfbc0b72c431e,95,82,39,29,12,236,563,0.011
ff79c6b5ae97e2b1edcfb667a375d809da0262e6,142,121,76,116,4,113,208,0.012
fbb2f1ed0d4228a4887c8d73d619b91e982763f8,107,71,374,72,0,0,151,0.012
f972164ce768eac83092ef8b12ee1e06d4532d39,129,4,7,4,0,0,6,0.012
693cd7602e7189365d5940a375f787b7a72a7d22,296,289,315,59,1,5,51,0.013
649e25d7511470dc618746f0d3297f1b430e27da,-1,-1,-1,-1,-1,-1,-1,0.013
5134aa5821023e9b37032599beca195fe49485ef,-1,-1,-1,-1,-1,-1,-1,0.013
3244fb2b886cc1252dd2e1658ecf4138905554b3,-1,-1,-1,-1,-1,-1,-1,0.014
a8ebd4851830e726a5315946f07b85911a795fd8,244,443,461,413,6,46,2256,0.014
a6766a0c2700fdd4a0e67ec14e8cc6f8adf55d77,168,314,173,294,1,44,3603,0.014
e87c2901cd29d319972a0cf30bb6105fe2351491,-1,-1,-1,-1,-1,-1,-1,0.015
2ddf50632b0b76d44e256aa11281744f1e73c7ee,200,133,39,15,26,1253,769,0.016
b588d0d1d47f4d3c574efea9c0a9a1e2c82f80d4,341,95,253,96,20,1295,353,0.017
50e5c68040beda0535b8484e3165e51b902a6ee9,6267,647,158,2472,2,8,771,0.017
307c24ab3a92b47e407b779472337692e7420957,442,71,351,73,0,0,927,0.017
531d72e76fc5886c4fb5010216ecf582e0ed793e,613,108,3167,106,2,2,4536,0.018
bdc0db11d28af45c2d1154bcf6d7436a624231d8,5624,50,9070,121,6,216,65799,0.018
02de21dceba1b3049e6b13d63bb163c2f5a0e606,-1,-1,-1,-1,-1,-1,-1,0.018
04c3d81d5347b72047e78f6e07ce56a150f22603,3088,252,100,306,1,98,116,0.018
c491120df67e6f97af1fd8110198720917a38452,-1,-1,-1,-1,-1,-1,-1,0.018
d960c9e023eec31de19c0a9d728660c3866ebecb,-1,-1,-1,-1,-1,-1,-1,0.019
0604baa2d887d86351c6413e689950c8974d4dbe,823,907,4719,842,2,1,10957,0.019
6852ab4b4e0e7958612387ed0363055fae3083c9,1451,132,285,140,1,3,745,0.020
b8d0894d1d20e80a8aaccc6d24be730d203ae575,218,123,394,119,0,0,710,0.020
813ef150311d74e47050f104ec31e051bfb936dd,81,44,24,17,2,49,120,0.021
916409a4fe6a0980a096e6db13b699f82dede0a1,220,134,290,128,0,0,328,0.023
34959da8f3e6264e48c0d5dc9a08cc674a923e2e,362,465,70,445,63,2207,3420,0.024
7197256f0ac3449569a23301ca4b8f07bdf8b6e3,-1,-1,-1,-1,-1,-1,-1,0.024
61a2a8e2fdbec184f0bb27dc8dc803cf52ede21e,170,37,84,36,0,0,399,0.024
d233eb1b7709d3f07e087a7d769f6e9103031038,289,99,53,92,15,2616,1540,0.026
edef04ae0a185090c790fe71e9ada93e283d8ce0,6506,776,365,769,123,2688,59909,0.026
0b3825bf1f7073430f9ea99a87a9c212b7f391df,1291,79,14,79,0,0,6133,0.027
b09761239009da91c2d5fa387b50ee9372cd3f14,122,8,37,9,4,67,81,0.028
7fa943a349d1d65f48da96eacec28861edd4b9ac,891,147,189,149,1,0,1772,0.028
69c1615d55cee093fd2c07e860c7b07ae534ce31,9629,11,356,11,4,50,16,0.028
3035deda2d13005753b0b89714bd93eccc52208e,1383,932,83,443,3,258,2364,0.028
a2a23e19ce54c26f83ab2f5ccb0db50f2e767665,1538,133,222,178,1,9,1209,0.029
c4fbf93f6854d7f8dacbc87907863470cabbcaf6,250,78,96,73,20,1933,1527,0.029
8485a38c67ced554dc38c4cba78d6c8ce666ade2,290,180,96,180,9,190,725,0.030
ae444e3aa7f06e9608ea5b1ab785eb983f047d4f,-1,-1,-1,-1,-1,-1,-1,0.030
fb6186517cdc815253a98485b63f7957d6bc1040,-1,-1,-1,-1,-1,-1,-1,0.031
b046b6523e7889c567ca870cb9df37f1aa8ee7ea,221,65,74,67,3,29,971,0.032
e586180200b2503635e08684758537273e14e466,294,179,299,167,12,734,1904,0.032
25896cddf426c8aaf4507b00accc9d9e403f878f,221,151,59,145,1,2,312,0.032
