id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
092a7f2f22c9cbbfebbbaabc3f5c06d611ed0e4e,598,28,1474,36,10,350,55,0.000
30c8d0c361654782d71b639d21f7076bab10e7ad,1489,144,563,194,10,447,9064,0.000
d87fe6a0710c823333ee98c8effdf444a3134788,-1,-1,-1,-1,-1,-1,-1,0.000
3714826752445f9da4c8654ea5efbb62f4db7d10,280,28,229,28,5,309,891,0.000
121514a468e283a0462adab07e2ec7913e9b2883,-1,-1,-1,-1,-1,-1,-1,0.000
f54a4dcc17e9b7abe77c8136f6e0c0e7b06b4094,3277,1,1116,1,0,0,2259,0.000
30109b0edd28c4c1e0e1443707d58c48a0561dff,1924,22,330,27,3,282,351,0.000
b54c3a07ec66b06985e444093756af68594de2c5,1261,68,7383,64,9,203,1335,0.000
95156cf1756ed9e1e0e48a4c7cfb7771f2a7d1ca,2603,47,190,148,4,46,74,0.000
d52b448d343278b9bed6b00ce0f2d72221cb4b64,1725,509,1117,160,45,4433,2438,0.001
fe0a49956ca234d0326d88cd1f8588c950ad2eef,-1,-1,-1,-1,-1,-1,-1,0.001
15e29de94064cf75fdc623c9f40bb37c00aeb445,1957,232,1008,342,1,53,2070,0.001
6df0b077a34f2ef5a7b3cce911a7ab7eee63ef3f,-1,-1,-1,-1,-1,-1,-1,0.001
46bb973bf6107185a4798d4b79a5356a03147b41,1035,306,674,277,19,283,2756,0.001
63102fb6e190d47251ecbd9c80c3ce7b7baba605,-1,-1,-1,-1,-1,-1,-1,0.001
b1076b73f71190e003ccd7f44a9d7eac49fdd447,626,129,304,137,4,115,143,0.001
d6444c25a01399271e68feaacae5f5c0cd604223,1006,129,868,137,7,165,1900,0.001
acd27cd766e4a6e70606b216e6c2361d439dfab7,468,925,551,291,2,61,3164,0.001
347d7b04bcc6a1e1aed095986106bf91e76188d9,1171,290,1029,288,8,92,3398,0.001
26d10c355673ae3becf215360d83e1338ddcfa7e,861,126,174,126,9,309,1555,0.001
3b5177262d69c9274d5c9cff4d38ac265ad370f3,2161,941,1092,1440,4,93,1872,0.001
0a2c7ac3498ba6bf3c308062ef16fc0cfb442bff,-1,305,29,1362,7,258,1380,0.001
bf03835f27bf0c2caa61ae495863bb4492ad508b,184,75,64,69,34,3353,924,0.001
51c0b319fd093e688854f1dc2efce91595e2b3fd,1166,114,29,297,2,5,194,0.002
b24fb0df7c3eedb78370dbc867b990d532677e01,1617,77,667,73,3,931,582,0.002
9ad2cafd2d2ab44693e767fcd99a0bb066d504a1,3153,736,2510,702,6,217,611,0.002
f11ff8bbc55687f31d9f17163ab8a404c444c2fd,686,181,202,183,1,5,12880,0.002
3f82089c194ee0f12bb9dde2df4b3b8f3fde160c,617,33,379,33,1,60,1221,0.002
e6a88da557659c04a1045f8b32a8f6b67bfebb01,31,30,29,28,0,0,394,0.002
