id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
536bbe95383abd094626ae4d9b107024a50d48f4,-1,-1,-1,-1,-1,-1,-1,0.000
c01f75dd9319ce8e2cdc8a4eade2acbf8990e3da,144,313,165,82,3,213,551,0.001
96687c8a24bef6a8a20f8ea48ad7424379933e43,119,156,52,86,1,6,5999,0.001
a5ffb8997e99c31344c0a1687e71075564675340,308,43,122,43,2,21,1276,0.002
2f5d677bdf6399192532189edf2803c10632dce3,-1,-1,-1,-1,-1,-1,-1,0.002
bc0a52126673eaf121aa4fbc7eb9082cec491cd5,-1,-1,-1,-1,-1,-1,-1,0.002
454472fd24236ab4abfbd3afd42aadf2524854d1,140,48,85,49,3,0,370,0.002
28885afe6e4dd22fe74081bf31404b7defc9445c,902,25,299,25,1,3,9,0.002
a1ceb36cbfc18bdc90d6148e67a18673e646d30e,-1,-1,-1,-1,-1,-1,-1,0.003
49c6b84dadfca844d013ddfead15a55651f816f7,313,176,434,175,3,184,1188,0.003
ddcecea01059cf4e5c68eefab0f4c9ff89a70c73,-1,-1,-1,-1,-1,-1,-1,0.003
0f786659c4d8a8aea02075f929168af7b29d1ef8,-1,-1,-1,-1,-1,-1,-1,0.003
2aed7ba76fe4272d17c89443f922eebff7136463,79,92,39,94,3,54,34,0.003
39be286d51ef79d697849bbd5e12d0d9d8a6e625,463,253,229,243,0,0,115,0.003
cdd0ffa2444fd2df3807eac846a3111ab97e360e,-1,-1,-1,-1,-1,-1,-1,0.004
ee7ad0e89504907d5b885ea0243b6586b9bc905f,103,55,115,63,10,142,1556,0.004
7784a7e1ff226d4e3c80fe35c1730dff423a8930,-1,-1,-1,-1,-1,-1,-1,0.004
b3c02bcc6466de3b0a222ef12770a7a3f9a1e325,45,34,40,33,2,1,119,0.005
5f66ff53431be1aa8525880c737dff5fe93dd14a,2872,78,1173,83,6,308,755,0.005
c862be558668074dcded99264c104c7bbb8aa07c,6642,57,1108,386,2,56,2281,0.005
ca855fc683f3da460dc6438b959c13d2f88a3bb0,-1,-1,-1,-1,-1,-1,-1,0.005
c486235fbbb17c7683b297f491e21f24082427d8,104,6,100,10,5,145,142,0.005
cfa8843c6bde5276f3f15db0659353e4e15ca407,9,4,1,1,0,0,2,0.006
af603e0be7a392a781d2c9678e1c5457bac08373,-1,-1,-1,-1,-1,-1,-1,0.006
3a9ca7d343f6a0c2a303a2a8c0e14605db126b5c,-1,-1,-1,-1,-1,-1,-1,0.006
7a6b1f33963a1a3a933ba90ce997ae8f9cd73446,-1,-1,-1,-1,-1,-1,-1,0.006
aec49be5623aa6110852ca9bcb4ed7c1aec8d065,1409,138,26,63,3,176,264,0.007
dddd31df8f18d3b5902bbab450e4f270126c546d,-1,-1,-1,-1,-1,-1,-1,0.007
e5f2f9c66c4d2d2be96eb008ad412742cb108af6,126,17,97,0,1,9,383,0.008
614a0a9851147b69398088ffd0133144e746e788,390,83,101,92,1,55,666,0.008
d902d76e9d878cb12e0f4f82cea64a8b0c979ac2,-1,-1,-1,-1,-1,-1,-1,0.008
8b9992dbad9ce011ee5d3c7cecc807ba11d94492,2187,485,412,185,29,2073,1117,0.010
727b4b3ec5bcaabba853b94b9b9e8243efca84c9,143,50,108,50,1,1,557,0.010
232553f3d2f0bd4585c2782e3c317091698e619b,59,13,90,25,4,18,283,0.011
4e1b9b2bc0fa7db052eca01b58f828e8ac21ccfa,111,117,50,56,6,53,290,0.011
e55dfe00b26898776bd62e61007223d2f010bc0c,184,125,85,53,312,20576,944,0.011
77811ce61f3577447b0b50741b375ad202df6edf,7650,144,60,374,3,54,350,0.011
4523eebe0bfa46d96aeb766c791299d4e31aabd2,591,137,25,69,46,1469,1851,0.013
c80f3c37de6d24ea62175e3700dab8fb3793c822,251,88,81,80,16,1865,1505,0.013
479eb36115b2129c08acb9b9e377d7a639d36f00,80,37,40,16,3,54,86,0.013
0c0bbc12a312d9dde4041e09785bbcd3d9a8aa85,211,27,275,25,0,0,1457,0.013
f72acf620924d63eec7adac29cc449369f127583,1244,605,116,215,12,463,1212,0.013
66c117d93ad2ca2f809556821cc9a928287b538e,-1,-1,-1,-1,-1,-1,-1,0.014
1ca7942217f510f47e3fad4251e14e50eb8f598e,2264,140,572,241,12,174,1358,0.014
18da3333c37915fe8c0f6ba5f01132f6b27c7402,918,51,238,71,17,732,30,0.015
3400db7f58d475ee7d2e0addc19e860b8f9bc3e6,-1,-1,-1,-1,-1,-1,-1,0.015
7e9ad22ef148e5b5f9e264415ab21c3db0e4eb51,-1,-1,-1,-1,-1,-1,-1,0.015
0f694e12bf26b38284c13c17bc1a57f86f54b46b,-1,-1,-1,-1,-1,-1,-1,0.015
2782dbff50e1750791f324620b726965c6aff438,1771,80,15,400,6,154,313,0.016
4e2cf133e528a2fc3461098bae48abfce5562fac,-1,-1,-1,-1,-1,-1,-1,0.018
04c3d81d5347b72047e78f6e07ce56a150f22603,3088,252,100,306,1,98,116,0.018
371a15e6c82c6d0ed345ac871d98700a9c5ad237,93,29,10,0,1,35,216,0.018
8111bf720fb3a435064e8e0a611489a8ceb652ac,194,65,155,28,1,0,759,0.018
977e15457bcfc8e1423596d1fa24b757b191592f,213,20,25,41,4,41,34,0.020
5a89f9cf821a945f4f7a552562035af284d70367,-1,-1,-1,-1,-1,-1,-1,0.020
8e01def4232c7d1baf5a9fe5cf315e790bafeb92,1755,48,85,123,0,0,11,0.021
d17c61958d9c8dada41f815c1e223d0bb2f917bd,3110,29,331,102,6,99,1672,0.021
ea22f4fda2519d431ed4295b8e26845b2ce351fc,906,226,595,266,6,380,1504,0.022
5e05a81d94b0ddd6fbd51dbe02d2cdc395675415,170,23,715,22,15,935,712,0.024
1bec23ac9e4c63006c34222ba5ccff527116ce28,-1,-1,-1,-1,-1,-1,-1,0.026
feac75e18f53e128780ed971929e4cf4a3029aa3,598,27,298,24,1,5,98,0.027
6f839f49f348c00430feadaf533e7989563f89f1,31,20,13,19,1,0,2,0.028
cbf9bdd514cd978c92b71d6c05ff5544123f9e22,2727,203,125,92,4,62,845,0.028
69c1615d55cee093fd2c07e860c7b07ae534ce31,9629,11,356,11,4,50,16,0.028
ad915cb353aeb1347de03dabc985e523b2414077,-1,-1,-1,-1,-1,-1,-1,0.029
27cf0baa2cce9ac79a4b4bec2b70fdea04edcb3e,-1,-1,-1,-1,-1,-1,-1,0.032
2db1a99906e6b6e54d4050d80bea55226a7e3b75,367,112,154,105,49,4525,3209,0.032
b07e40e56d8ea80b355ab3573da1c949c9457a4c,-1,-1,-1,-1,-1,-1,-1,0.033
28aba6ff4c1afcdc89c747f99cc0e8e266162e9c,903,774,794,740,0,0,69,0.036
1dadb61909c57dea78aab2d7e1110c6fd281b3c6,503,48,198,7,35,2270,509,0.038
16301f2dabd78dca0d3faf6341a3f44b307f8861,168,89,138,84,13,44,450,0.040
99bc8ec8d730491ca47b0690d92e9482956a0075,-1,-1,-1,-1,-1,-1,-1,0.041
59e09f39697a6f7ed1777df19da928d6f8fb5170,216,66,93,64,10,298,193,0.041
0aea8ca8b3e94f7b988822ea1d41d5e110259794,565,26,20,74,1,3,262,0.042
c5c777d95643c37392728af4e28a4112dbe96279,154,163,122,45,1,0,799,0.043
588fabe3fc100511901f913515102d875544b9b9,3754,1255,297,1159,43,458,3354,0.044
ebbc6e72829beebec694f509fedcd07bec989b8a,-1,-1,-1,-1,-1,-1,-1,0.045
91a8b6ecb2268e297b66cfeddc8a20c3208690d3,617,246,169,129,3,76,1135,0.045
23d3115a8176202b1844649a78a40c3ddd910a62,6229,49,242,58,12,418,310,0.052
b3b5687038960b6ef786e9d70028a5912a626382,-1,-1,-1,-1,-1,-1,-1,0.054
783ddd9b400991d831950059ac05df4bdf355e50,130,21,28,20,0,0,254,0.062
cff827923558bbda3f58337fcd8c480a9974b18a,222,8,223,65,1,5,35,0.062
e773f22394a6202df8b535c65224a29c031b8589,395,5,376,4,1,1116,3136,0.064
0022bc7aa2b2003cd221ce7caec5bb4e64903dd4,969,18,11,34,6,170,1529,0.068
ef1c0e18e6977b09ace6c0a8a2822ddd371f9675,-1,-1,-1,-1,-1,-1,-1,0.069
cbe9d6df3d61d0e00b8c7c5a432962c12879f549,-1,-1,-1,-1,-1,-1,-1,0.069
8ed43731f9308d78ea9d13f66a28165219e6d03a,699,190,620,186,2,1,5550,0.075
d1a882e2b34507e250e91255b64d9cc8e124022e,259,25,85,29,2,43,300,0.077
24314c819b9b405446a8a0d8ebfb95de780cf452,51,2,20,2,1,49,1,0.077
78eec00590fedb650a9500694772f98bd190740b,730,391,129,376,4,224,9936,0.081
2ae14efed9abefa1fd99bcb7b416d10e8759cbbf,-1,-1,-1,-1,-1,-1,-1,0.083
