id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
64142fe9b98225285991881ace2dec2db8fbcb24,551,188,988,60,15,1587,4277,0.000
bc31ec6a2545c3fe20ebe3ef2cb3ce288a4434a7,330,23,205,21,0,0,402,0.000
bf78ccf73013f834198bbd2b268ac05456f22eb5,506,89,166,87,27,3414,4040,0.001
7629eaf7a92efac0dc5004e361bce751a6c91947,90,0,34,0,2,94,0,0.001
eed09607ffc09f47cdb4d28eb13270c3a90e7f18,540,82,529,79,1,5,476,0.001
79855a8b336b2602c2680d36d7cc2e313af14cdc,3597,218,431,542,0,0,777,0.001
f11785092dc74b2dcd06b61da74864d928651ed6,2212,164,594,173,8,588,3813,0.001
253215a42376bab009d5a5805bbd04b55c697499,1298,14,222,21,0,0,586,0.001
f6d08a8762972afeafd52890c91f47dfb4eaad61,1554,55,309,56,36,4024,1924,0.001
a07164a213487e0ad41214997ef753e1562ef462,336,15,588,2,12,747,1134,0.001
849fadefc554100858724e6fb1ad2dc84ba5c5f8,-1,70,213,72,4,125,216,0.001
f5074f162e5bfcf4b0c7cb8b852b820d29d86e0e,268,12,59,11,13,819,199,0.001
98ae6b98f7409d47a281644e1700decf24d963bf,82,130,470,123,5,34,841,0.001
3a114c26173dc565cd8e1783e530fb4b40f1f48b,568,47,168,150,3,12,757,0.001
6da00b27de87ba515da4afcea706a6a8d5904a71,841,704,20,96,29,838,1154,0.002
0ea5cf04e93de3dd8911789b0a9cf17d87bae58d,522,613,554,227,31,4631,3583,0.002
d6e2d7d63f078d105140ece75bdbcc626026784e,445,74,441,71,81,4413,6405,0.002
a14c914ff3cd2ae48a7df24a105f8c8de8db2388,70,102,907,101,0,0,1838,0.002
5431f9ff41e25ddf732e1f2bd81b4a32f9d50d72,356,228,114,74,0,0,112,0.002
956b23596d08cf41667efccc003c4b15072316ea,124,23,19,24,1,1,247,0.002
2760d7ea545142866286c76939985a5d45532171,3485,228,890,974,9,516,1086,0.002
1d442ef6ad53d705a2879a26d7641332013912c3,445,70,124,71,3,44,492,0.003
b5ac8169e72733377f6465b42d429ca368d13185,339,86,132,85,4,316,172,0.003
26382e52157ac80f577c8b28587f9aa3064098e4,112,18,39,19,0,0,1,0.003
c4ee63748a48a3e0a91abadfc9f095e857f18947,375,39,154,11,10,233,491,0.003
c367de093dbf6fe66a07be2f309054b1d4808f55,247,63,0,61,0,0,1,0.004
c7231945cc29ccd0dc371ba30ca8a8e75e0f5797,225,76,252,76,0,0,109,0.004
1b6e411e9b566d91c72bd68a991d248d7d3e94b1,64,4,19,5,0,0,166,0.004
18df82e4bf50df36c38e75b3ee82e0aec412bf11,168,60,86,58,36,527,715,0.004
14a3dee1b6b6863dfab4551dca557132c91ee525,240,0,0,0,14,809,173,0.004
779a999adae3ab1d00c598f72bf6b15f989d4fed,-1,-1,-1,-1,-1,-1,-1,0.005
7ab6a07b88d914882efede41229a797ba2965614,287,26,85,26,25,1825,234,0.005
555139353651dab7a5fb3c22f1b8c1c775bb003c,465,151,137,139,0,0,16,0.005
02f5114b815787c365bb464ea784351e383f51c4,-1,19,93,18,0,0,11,0.005
68cbe6f9a97683776fefc44733b6befc9c57b231,2690,79,101,534,8,259,1377,0.005
76a416e3e85d20f86fd7f1c1a906bf465706b362,192,72,106,73,7,164,518,0.005
3164c24d8f27afb916d3359f594d515af5ed9b49,93,26,14,7,0,0,23,0.005
