id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
c862be558668074dcded99264c104c7bbb8aa07c,6642,57,1108,386,2,56,2281,0.005
baa45fb130397f91a4b69b1fb5e27ffd6f4129fb,185,59,220,58,0,0,47,0.009
2d3f7a24a36c7663e99dcac167ab6936ce43c1d3,304,26,42,29,1,28,199,0.010
172cab0b42378fa355d3a86cda1c7d349bbb8c4f,300,136,187,89,14,403,452,0.010
1969bbce9530edd723eada3d1f15b99a297dc9e8,2112,114,38,245,1,0,280,0.012
d3b5b829f9e7010b0a1b7a48efe36eabc001ad33,-1,-1,-1,-1,-1,-1,-1,0.014
9aefa7790259521ccb4bcc5635a4cf619d7c62f9,-1,-1,-1,-1,-1,-1,-1,0.016
596eb85f5719c5d1cd513c6c62c98ec36d5ada2c,325,48,716,45,0,0,534,0.025
47ca0b6ae9e13c82bb3f5a64e292a81f2be5eabd,704,162,785,150,2,11,1911,0.029
823678f7870e346ad2a5d2d1724dd0f6a23affe8,614,109,982,102,0,0,2468,0.036
0f274d1c4c9288d380a60e5477e8f68b204d5171,2104,1000,477,85,26,1161,2141,0.041
9cec6906826b3c12bf94959f83de6441ea3f2920,96,9,53,8,11,473,0,0.056
a33aea0f6db4b3ec8f4e6a2aba355ada08831b25,44,0,3,0,2,35,42,0.056
4b58053d86f17d085e27303c015b1ff8f87d6330,80,10,64,17,4,0,276,0.071
079b30ae70134088757db0743c116c7500e7b66b,-1,-1,-1,-1,-1,-1,-1,0.093
f0a82816517b3c478701e0df06e1d7fdce97b090,106,112,91,101,0,0,57,0.104
46b5193bd5119235b297be921c1846574603a410,-1,-1,-1,-1,-1,-1,-1,0.109
f231cb2677379173e5cf42153a1df7c3639ececc,-1,-1,-1,-1,-1,-1,-1,0.129
9aaeb7fbdc015bb14b028e6d7e8a599c62c3dd87,-1,-1,-1,-1,-1,-1,-1,0.140
e1fa686c865f923d843508c6b71f15cfae99d0a7,-1,-1,-1,-1,-1,-1,-1,0.153
4bdc27d7c62a6f5566afc656cea6222da0d1bc2a,-1,-1,-1,-1,-1,-1,-1,0.154
d34120f3b2cc020b58c442123c08ef3e2e9d7836,1690,201,118,208,6,991,6381,0.161
a17f3a0b99e4a88df47a71ca732e0bd3809687b0,225,233,192,157,2,6,2,0.162
c1083d017bccbbf3e0b389af43f3725d6397b2a7,-1,-1,-1,-1,-1,-1,-1,0.199
8b0c1096bb091b9e9539692e5d194b7650a695f9,563,97,1573,92,0,0,2330,0.225
0ca306db44d8f0238ca316ca04a0ded4b6b02d70,29,9,2,9,0,0,1,0.231
5ecce6f2e5b60049fc98a0324211e5dcc3a69223,321,12,111,12,0,0,9336,0.232
e786593d220738f3fa47499d0ac4ad485fb10bef,77,118,242,114,3,81,11,0.254
51ff10d67fdad2ae6bcdfcee7aa357e490b18df4,122,341,125,284,3,48,75,0.255
5454e966697cfb4a9549b04332d64cc35d667ace,-1,-1,-1,-1,-1,-1,-1,0.261
f3e05e29ac90ab6658c1038b8fba7affeaf83846,331,33,85,31,14,3186,1462,0.261
7aa7228908239901adc74ea9f7f479734a0a3e4a,178,474,655,307,1,11,5916,0.262
29e68557ee3fe16e78b4c4167c0b833d515a2ac2,266,120,261,113,8,123,758,0.281
417763995c02d2af67ce6f48332fcb7dd3888ecb,136,82,80,80,1,1,797,0.285
ff9cce20269de6e761c4163492473b21fe96338a,139,64,907,41,3,54,73,0.289
0d85a062fc9fb9d9b02d04d6a9c9c00dd1e99673,15,56,6,20,0,0,81,0.303
5b78afc5f6bec74d5fe50cd1e0b8683a4b8fcb32,170,24,46,9,1,5,0,0.315
9bf030b9dbdf7d58bf7ad0031def11fae872b24b,-1,-1,-1,-1,-1,-1,-1,0.317
77673388ad1ab91d771acacd097cbec020e24a6b,-1,-1,-1,-1,-1,-1,-1,0.339
b319b44c9b7a79a612893286043eb82a6c03d70c,-1,-1,-1,-1,-1,-1,-1,0.395
d21c57aad7101094cad9a90ac2092787dbd29fd3,1990,7,80,83,0,0,694,0.404
1934090bc423eb91b734ba1e7f9ce4331d6f9364,79,12,78,12,0,0,10,0.408
7c5dad3f451877adf5695da6b7255e45bc4f0ffc,405,222,152,228,2,0,28,0.437
b17e5fce650994caf7aad82f9027dd1d6912067b,32,10,0,10,3,52,16,0.514
8bedd1a47f35fa9abfd1d77423938979bf60bcc7,3578,45,68,204,2,124,4008,0.553
1c73c9eb2b80259e13a1239e84dd6b8763894e53,154,59,270,53,1,0,7,0.576
c5c324a75d4936d2f2bb3bb82bffcdd0ad9deb67,3742,27,1045,286,0,0,870,0.580
85e11746af7f94c8884e9d17721a7dd9389ed1e9,179,68,239,29,0,0,40,0.702
253a7b76af43f30e813ec05667d6d5d78a4ebc05,-1,-1,-1,-1,-1,-1,-1,0.773
1f9cc0876f056b84b1edd181698013fabe919e1b,1724,13,225,18,3,378,106,0.793
9eb3ecd41286d65214ac1ef6e7035e2b87889d05,837,18,42,133,0,0,294,0.868
7918f83fbc9aee2f7d00a0fd0c7ea11e097f302f,19,0,17,0,1,2,23,0.881
