id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
5808f25e97acde804a26f88f15543c3be272ad9f,1495,42,51,73,2,22,406,0.002
05b799b3220bc049bf38c14f15fcfce500520560,1303,47,594,47,4,98,1913,0.002
91cea19256202c38cd11c729d1c7a52bb88462a9,212,388,303,386,9,615,6005,0.003
ba98493d957f083dcfba89168e71e6103d09a67a,2506,28,103,277,2,11,593,0.003
0baded6938ff1691a6e831b4405981bc10241754,503,27,46,28,0,0,476,0.006
a32eecf71546b85e2d53b67f9dbfdd7141d7bea7,246,40,137,48,2,83,117,0.006
5c598be4269e6dd4ef56d4af3185c99dafeeae02,1324,44,0,43,8,347,1794,0.007
91533abb85cc243b8a2f732296b08008743647d3,37,7,9,7,1,2,264,0.008
6f87bc60c66b676b638cc8706cc48b9f61bba7eb,3075,160,85,173,0,0,1403,0.008
674de23295bb85715afbecb598d178934ee49521,577,54,74,49,1,3,161,0.010
016d2e6d1668972ec1d2e2f70fb82dce4da738e5,-1,-1,-1,-1,-1,-1,-1,0.010
a62a250a4ce01a83eefc89e224d41fa03c0b82fb,-1,-1,-1,-1,-1,-1,-1,0.011
5f51a9650b7fd48798bf50cd031c7fcfa545b43e,1144,58,509,184,4,8,366,0.015
d28206e23f3727e50851be55f07d44d914df5dce,49,48,58,44,11,350,175,0.016
d25ef101709709344886673839dd7407240c7c48,1598,75,667,72,5,1014,3940,0.017
f5ff0cd42c2eecbece8fc3dda0b3877793efd4a6,-1,-1,-1,-1,-1,-1,-1,0.021
f3a0ccb7ae8ff5a1a6c99a93f0b76967acb752de,2181,236,1096,281,0,0,1156,0.023
4ae69bd51e472891c27c702cb4a0f00ecf6c136a,404,49,129,11,4,31,718,0.025
b991559de0da22c85bb8dbd12b803714f56f6aa4,1134,72,51,12,0,0,7553,0.027
fb07e33aa6c9495276808cd941549bdf6766b720,83,51,21,28,0,0,160,0.029
d73a6591c38241cc24b67844ef89ff48379f4021,2451,1000,387,517,3,44,1097,0.032
a936c1236752f9a66ecc421c62bd9669d6900855,-1,-1,-1,-1,-1,-1,-1,0.034
3be14296d7aa05e54db7af09d6ce6c552a34d742,78,38,75,37,0,0,33,0.035
5319ffe9c6231a81681714884a5d68f5bb2a2243,651,288,1257,267,0,0,454,0.035
9bd2902e7fce90eb6895013533c3faa0dd70e0ee,1120,333,108,627,6,438,3824,0.035
0a26badf532e5b58bb8f43be52b1d2e27c098844,183,17,37,19,6,824,15,0.036
1147ffc87e18e4a3656a3e3548ddd709c5d7c96f,2112,72,70,111,5,239,377,0.037
3ec9ce61b07221b28012ab5fb87cfff6fa4e0776,105,77,31,30,0,0,397,0.043
c0f73f9c24952bcda030eea3e86f8f99ce18f105,2027,290,2671,327,11,1078,2406,0.046
af53b831d1fdf2861b81f674903e58fdafc99bc8,315,113,110,110,0,0,271,0.053
61d26e356c0267226828af8522058b3fa556e5e3,150,52,63,10,2,60,135,0.053
87a2f264a73796cd74d771bc97dc8c27510f1ec2,-1,-1,-1,-1,-1,-1,-1,0.059
c1c1680f7ca07cbc449c7219ae26b80cd49c5e0b,8648,1000,1993,484,1,40,1800,0.067
708feef27f418c4e55dec78ce27ebc071782440c,1141,81,121,81,1,209,114,0.068
be5b2a12b08029affa70568d03f43a6c991e9f4a,1478,209,97,243,14,1388,13912,0.070
d1fb4e015b9e86e154ea2d5ca08db7ff2aab4ccd,-1,-1,-1,-1,-1,-1,-1,0.073
1008271eb980d923c2d3377945768cb0e3bfd3cd,4309,1859,890,2183,0,0,18505,0.076
d82c1e83f56c11118f385510be79e3b460991963,1218,287,22,111,2,6,636,0.078
28a86c6b9db7bff596d47b916be00ed1e929101e,987,50,106,206,5,490,1215,0.084
299e127d255039a7c3c5e6d9327eb825078fa1dc,2303,63,163,110,1,0,330,0.086
c7ae922f7d31e437908752718fab9a11a0f32bf5,176,72,79,43,9,235,205,0.089
8de3d08cfed767c410679864da56f1bc8fe84b65,253,81,69,48,0,0,210,0.095
03ef6ae8cacf6739aa51087690d020ff123fde46,856,1000,168,257,1,1,1439,0.097
96de1c1e7906174e85d68e243ab8273cbd8402f8,700,2,338,0,3,54,217,0.098
57d09a65458cae0f0d6073806241ea0beb4586df,5707,286,136,701,10,602,1871,0.122
cdd51a0d9bfa49513ace5dc03bae71ed9794518e,8518,496,5073,483,41,8246,17116,0.126
8af663fdfe103023114f142a14672e9f3b385d36,-1,-1,-1,-1,-1,-1,-1,0.137
51e0e29dd864690985d27fc8faf5839dc16bd526,-1,-1,-1,-1,-1,-1,-1,0.155
ac9bc2a9c6060c2e1b3eb7919ab6c146ac9d74af,1627,287,98,261,3,430,684,0.185
78e1c5976e194b2ef181a74f768bbef6084c77ac,469,94,295,41,3,74,552,0.185
921c6f588345425641a1cdeefcd271fe8649ada2,-1,-1,-1,-1,-1,-1,-1,0.215
e20fb0630f3fdfc8710914818e603ff67ec90447,59,24,9,24,1,1,77,0.218
e1dc36c8fa565b1bf99c865b203e461f7c2bb97a,874,61,282,58,3,881,230,0.219
bd842d5851e6be63179de68336363dd53ddcb913,-1,-1,-1,-1,-1,-1,-1,0.221
9b25f4e13cdf7ddf8bac9ccfbf4e47fb05173cd9,4006,722,143,1362,1,19,1270,0.221
85b1fd9c9c5b41eaccc898ea168d990cf1347985,-1,-1,-1,-1,-1,-1,-1,0.237
03b21ae2487e0f45f8f24cb7e44169ac891dff0e,6637,323,125,381,6,55,2527,0.240
8e7ef66621a908e78eb8919240f4db255e7f5c3b,145,20,4,25,0,0,534,0.248
436a5d3a90111445f3115a06dab873d42b4f09a7,-1,-1,-1,-1,-1,-1,-1,0.249
a933aaac22f9ddf194a134b2434cd3e756e2f7fd,185,160,37,160,14,991,331,0.252
11df5460146ad9e886da042938fcc286759fb739,3333,1,145,16,13,453,584,0.253
ba63beec6505a92c25ccc6c4a312103aaad9e32f,100,256,98,242,0,0,4217,0.255
5c5ed6c9eabeba0ce0b20ef4a976703bc123eae7,36,4,82,12,4,10,98,0.272
ccf3a603f9366331db86a869ec35217858e934e7,76,14,48,9,2,2,5,0.272
3c36f9c1321ca7283be5d4b73387db298a1c7391,1819,14,381,14,2,19,65,0.278
e4f3874833fa4fbd7abe666202fa8650e985e22e,5395,486,1050,892,40,9391,15837,0.286
82d894f8bfc16c1069766aa09f625cd3574da275,2237,138,8,380,3,172,624,0.290
85815f898af41b38bf8f851de097a73d10b5c20e,61,28,65,25,0,0,21,0.293
3cd964c9808e4cd944d4418feb85ed82a8c4080d,77,12,9,12,1,52,25,0.297
3c50ba39eb29a4f2c36f016647e99183dd39e680,967,336,494,368,1,3,3865,0.299
a1fbe89a60d91fef30d83d079bfca914840b62d3,95,46,31,34,4,36,398,0.302
acaf1d5d9040bf1068725b7faa4ce76a96870a0d,42,99,39,94,0,0,125,0.306
c1a68bedf9d3c221249403a726d0bcf1cacdbd09,3747,232,42,342,3,24,630,0.308
4c5604d817dfaffa074e62e71d97ae19af08c3f5,33,106,42,84,1,16,691,0.314
68e96a084f6cd833687f1e6f58564202478bc5f0,499,18,99,21,1,7,98,0.326
64cc4aba0d0027bd24c089b2e392c79055e5cf55,-1,-1,-1,-1,-1,-1,-1,0.336
8cd85f599e3bc50a403a15f58df12b71263a70d4,325,65,93,62,1,29,502,0.342
68780e2ee151bb64bb85d4654e4a6fed1d245918,-1,-1,-1,-1,-1,-1,-1,0.345
19ad5b5ba88e95df96ba01977278f8b88e37032e,37,18,8,12,0,0,18,0.373
2c45514effc26a4df5f3bfc445ae4dcb61b5fdb2,-1,-1,-1,-1,-1,-1,-1,0.374
da6c21e3df01b079474a24cef88bc2b7eefcd9c3,54,52,12,52,0,0,46,0.394
ba4c1a98a016797a4f73baa63b1c625aed932255,526,31,69,30,0,0,246,0.396
