id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
b9d5e147bc85e43a65163363620ecfe917469439,241,99,179,89,1,0,1459,0.028
2d022e69786270dd1756a8ea9d0abb6e6c54c5c4,652,565,718,543,0,0,256,0.053
64a536e4d8584b4abca701a1b72f7b37b8d28962,45,63,21,49,1,0,4799,0.079
f0c34b459f7c90e98781222402483267c5522cbb,109,45,23,11,0,0,96,0.094
1b6505bc53afee7f1ff66b9f62071b8f5b58512a,98,126,997,121,0,0,3,0.156
1ab8125905aa1c2e23c96b88ea40bf7703f3f1d7,-1,-1,-1,-1,-1,-1,-1,0.167
8662cfcd8e4ee2eed0e0ef82f36170bf0480b802,196,49,206,48,0,0,22,0.219
928fd22a5b8850e22ee3dfd861a26325ed6f6a7e,101,136,241,131,1,0,3,0.219
18307fbd44bcd37512eb59a000173865b60d4077,113,47,44,47,1,0,1,0.240
1835f9a4e7a5da7359d34507919cedc22157233e,437,250,309,241,1,0,160,0.265
f462714e5c4b492c208ae166f579e5f60be279cd,262,203,252,207,1,1,37,0.280
2c3d01300a05458df6243072116f534811797caf,100,244,255,230,0,0,2,0.291
29a157721419d2932234b456a28330dc0b13951f,85,85,178,79,0,0,1,0.300
cfdb9e8a591e421cef708a351095629a88940204,184,6,39,7,1,1,269,0.304
1cf145020f7e9bae0740379a1896fa29093c3514,326,145,192,117,0,0,8,0.305
1e329b98efde5d3d31704f8599a80a0ae5a9cbb7,69,319,56,306,0,0,1716,0.316
bf14e2782e6a95558a5809765b43131f3544fe8b,58,39,36,39,2,0,2,0.318
df3b572b47923be46b55fa7183d4924faac097d6,733,145,264,152,0,0,29,0.362
816140cffa12dc82dd3eb1a59caf7f1fcdbdb832,333,32,66,32,0,0,7,0.363
74fdb97ac9859161c2d5a644df6d0f4fa3bce193,155,147,137,119,1,0,276,0.378
f18005a04a8eb7027e0f8a130a31695a7485a95b,-1,-1,-1,-1,-1,-1,-1,0.435
3cd2c2ec29443ac1c106e17d3feda45bc7df0f00,-1,-1,-1,-1,-1,-1,-1,0.512
5dba411ebe019a9f21119506a50cd1302938421b,-1,-1,-1,-1,-1,-1,-1,0.523
1127ffd2a6cb84959ab248c883dfa1273276daad,221,84,358,83,1,0,6,0.543
010f21d8fb41f7ded17509571f9f7a2cc4d17bd4,327,579,176,582,1,0,28,0.602
029b236a5e0ac0fd128623e21898b015bb356249,50,133,160,128,0,0,3,0.665
21c7d6e9362fd64869483b5605ea88f29f90a26f,90,128,193,127,0,0,1,0.759
5849cba6365d89acd71890ef71d4a8b1a302bb54,290,3,107,3,0,0,4,0.792
8515799a832d6db1d5829d09b2ca12c0eec274ce,192,22,32,19,1,0,0,0.826
6c1306c165ab1f9ed208116ac1a9affbcbff0939,85,17,66,16,0,0,12,0.826
b1e63977d1fa6094ac02b8a9db0cd65d32740d7a,-1,-1,-1,-1,-1,-1,-1,0.853
544664b3f7ada559ac6e768c07342c1b1775e7a2,-1,-1,-1,-1,-1,-1,-1,0.909
33f98b12a6755947e7cd106fe0e87cbf6eb0467c,41,18,6,18,0,0,13,0.928
