id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
2a1b4a638f09939c60ed11455272c2e69c608b5f,-1,-1,-1,-1,-1,-1,-1,0.001
5faaa545c03172be29c3184ebe252530f5809352,-1,-1,-1,-1,-1,-1,-1,0.003
f9675e1a37778670c1c2774a834863afaf082baa,229,322,499,302,3,61,164,0.004
ca70e32a1812b80c7bba7a5219334f3fe8d352b3,2640,167,668,161,12,247,463,0.005
f78ed090f9682275f4b77fb0ca4f8eeeff6b2915,-1,-1,-1,-1,-1,-1,-1,0.007
943da1d8587ece6a5d47a107448e71ee804af7d2,393,73,481,71,2,14,5390,0.008
1cbc07a877ee14911805b4d3b44b328c3d25d234,-1,-1,-1,-1,-1,-1,-1,0.011
f6c7cb33713c212ab1e4c8891215446f1a34f935,-1,-1,-1,-1,-1,-1,-1,0.011
091f03cc972607188082b31b77c9c882d5748886,318,7,199,9,1,25,56,0.019
ad56d8b08e48158aece4a61f737ececfc185c0e1,162,136,564,63,11,217,4880,0.019
ecc0dc30a732562b9242ceba735c8aa52e3185f2,361,225,1509,217,10,333,7143,0.020
fe76bc59bda16bc0f44fef9ab7da32f05f5c1977,144,138,189,137,29,3677,18785,0.020
63c4a3b59a29571b0bc1a60ca0219638dadbe09f,-1,-1,-1,-1,-1,-1,-1,0.023
796ded090f6fe76b5cfdcfcbf2729c3e27544243,-1,-1,-1,-1,-1,-1,-1,0.027
b16eb26d314f671d29e5485484669cb5836f8d84,3228,243,519,233,13,1400,3711,0.033
9feb2c4720587b402d03bf69603f8fbfbdbd7ee7,1415,490,61,78,45,3628,20787,0.034
db24eaa901aee81a4c5cdefffcb825aa396d21f9,185,25,279,26,0,0,30,0.037
8f0d3ce3d227f8322e30dfb95bfd8d85a308f02c,-1,-1,-1,-1,-1,-1,-1,0.045
943f8517b7bfd8ab7d0b5fdbdaf968a66fdf7da7,-1,-1,-1,-1,-1,-1,-1,0.050
248e2784a00e645d5781d7ab0356c549d3e3d5de,2330,527,907,497,33,2935,821,0.054
35f45c37206bacf0faaf123c7f525386967f3845,341,158,392,155,0,0,216,0.068
79cc4fc1f85cfc837e13bb361e4ddeb57f52bff2,132,27,102,27,5,139,8866,0.069
673e9c45eb8e06d6bf4cf77bc55b430f37bef8db,-1,-1,-1,-1,-1,-1,-1,0.071
fd5ebdb0f11af09a00507c7071549ca008d76f51,129,17,780,16,0,0,23,0.085
98b4431f47f2973b4cca4d22e9587486d9b11989,-1,-1,-1,-1,-1,-1,-1,0.098
6551d7514fc660629a9c2daae9bc666ef95cae4b,-1,-1,-1,-1,-1,-1,-1,0.099
ebeee050217c808d5fa313060e0b4ff5ad8bccaa,64,20,97,17,1,38,100,0.114
e3d527ebba332f4662c4d72b42adcc1e9e8da5ad,411,121,44,132,4,37,1045,0.130
eff48c1aa53a003db83665366870df1feff5b3a9,972,135,1161,129,27,2299,3803,0.135
86d3c4566d3e5fd97f371409e135ab6a62388ad5,485,64,371,58,2,180,216,0.137
99c402e4ab7afaa01247be28217ea86208bc6c0a,-1,-1,-1,-1,-1,-1,-1,0.146
bbb4853962e270779c81aaae5796c35b20b42133,234,120,577,114,0,0,68,0.150
3e0247228d1c0d2dbe2d60f36f38dc62f3c6b9a5,882,141,281,138,2,36,435,0.150
b17ca9718f56646a95652b28ba6e26c49ec06b84,500,174,227,173,6,265,3722,0.155
db237003c223e1fd7d344c5914b3a0410209c377,-1,-1,-1,-1,-1,-1,-1,0.161
