id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
dc9b02c164929848966be437c42beb0a96faf525,-1,-1,-1,-1,-1,-1,-1,0.000
8420445b79df538e858c156d597d38780d46f501,-1,-1,-1,-1,-1,-1,-1,0.000
5db203a9c050da5d56fe9f575d156c7ad31496bb,900,35,335,145,1,130,908,0.000
fad4e295d7132a6341ea5f832e74a48c66759cc7,458,408,592,378,4,248,1264,0.000
d93cdaa21fe5d1e05c0b16ff0866f106136fbf59,752,152,824,146,34,1789,2872,0.001
aa682ddb5dfa8eb6a3e7833d1c82fe6ae19278e2,174,45,159,43,0,0,47,0.001
296f242129b6ec1e71fdd18a67307537fc31ce72,154,3,18,3,5,106,27,0.001
ef6eff986283fe8b1aa552de21055c7a554e7bb6,-1,-1,-1,-1,-1,-1,-1,0.001
1bf9cff6950d9a3ac9f7d1436545b7fff227e6be,121,5,22,5,5,31,60,0.001
d9cb6ee22d8f8f4f90e130ee7ebf199edfd8fdb6,277,19,825,18,36,2334,1795,0.001
ecd4277b559bef88c384bf17ecab83f73637b99c,336,67,220,64,1,1,771,0.001
3d2b6b37ae208ad555987ed880e46a73888d9ad5,371,149,137,134,19,1035,323,0.001
6c16e10fce6beeddfc940f5d94cb255c0c625624,352,109,266,98,0,0,303,0.001
2b2ffa748c9e9e382521fa25a5ffd94d0224f438,-1,-1,-1,-1,-1,-1,-1,0.002
df27e6d61899f2fbc8b8c4862e056d4f8ed413e0,311,34,53,36,3,0,5,0.002
1825e502575896ec061afe7b2b6e40b5485e32a3,-1,-1,-1,-1,-1,-1,-1,0.002
c924461f0cfe6ae463e71f36d8a4b74d43afa221,101,16,21,1,8,155,223,0.002
ebd4ccea6d0c8f99d5bc79babf8783a8249fb57d,139,18,33,6,2,11,511,0.002
760faec01785d08fceefda54ec7cd40839b8ef19,217,8,21,10,0,0,261,0.002
9c2c7a0f2f848e432f3b34e75a62a4c05cdb4b56,295,247,84,31,4,147,230,0.002
ecf8d32c744fe07c7ab15ff76502270e0e82eb3f,86,9,24,1,18,1667,295,0.002
85a360effb11e1ac1c0f41bea4ca78d40f475562,94,51,53,1,9,10,14,0.003
63cfae4a9e4013dd0b4b063db93b263461a585ea,73,71,57,34,13,1545,2425,0.003
17f29002f717b6471cada6b89705d19c9b19c780,-1,-1,-1,-1,-1,-1,-1,0.003
a5aed59f170d88080024e9d61a7d3823582aefcb,114,8,47,6,1,7,57,0.003
048ddc531b4ed5790a91d1b924a5974417e1c0d5,-1,-1,-1,-1,-1,-1,-1,0.003
405cab127b22ab6d5e2838601c4784fae60648e2,-1,-1,-1,-1,-1,-1,-1,0.004
56a8758b13bd2a2dac3eae1a5b54ca569f339994,904,130,239,127,1,108,7593,0.005
e2adbc6597bacdd7a535a1a9348730ad5e48b9e8,138,10,34,7,18,485,70,0.005
6cbc6af5f517e83219693ef907258a3c0e1df9a9,315,62,510,60,48,4175,1500,0.005
980f1477ce5783ffa07bab6140f263657081fa54,48,5,4,8,3,220,138,0.006
02b728152329a45b6bba644c26eb127cddce63b9,172,13,81,14,8,336,159,0.007
c4a41c34d802d306dcc9ac7d2524022f11e8b4a9,163,178,782,168,0,0,2941,0.007
db86e4135e45614b91e2f4ce83697d02952eec2a,239,243,165,223,12,119,2158,0.008
2d58fc926bf5e96c68b1c468660cd17538989cd1,215,201,487,194,1,21,2578,0.008
b151a7906d64eddb2e012f3a73d6f59fc36a18e9,-1,-1,-1,-1,-1,-1,-1,0.012
b979c780b23924a4db57e068760b0185392d212b,105,38,38,7,2,30,532,0.012
