id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
7a0c9eadab429b6c26aceaa538cdb439810c1ae1,-1,-1,-1,-1,-1,-1,-1,0.020
c667a806a26a611fa73dfddc309fb62e14a6efd3,-1,-1,-1,-1,-1,-1,-1,0.020
f388819470c8603a4f28fa8281c9f29d7cfa6faa,1431,69,462,69,2,68,1216,0.021
cca9197860c5aef135d535215ad42ee71c9f7eb8,244,51,73,4,7,390,483,0.026
b0d58210fbc69f7319ea10bc2511c62820087075,-1,-1,-1,-1,-1,-1,-1,0.027
a5e0307491a7a84bd549f394b7075ec0fe67772c,87,97,153,93,0,0,20,0.035
8e9a8a26fcd2ac1d7e32c50b2cb0cd9ce31d3c4d,231,5,36,6,2,22,56,0.044
0a71278f4a56f241b80fda3d866bf1d91c5e56f6,527,271,354,273,2,26,629,0.051
3e1fa6f62bb69e8fd7aff972bdff1137bf53ae55,-1,-1,-1,-1,-1,-1,-1,0.052
f546e1bc3ddf87e11b328e307d904635fb0c8933,1201,128,1409,125,0,0,1144,0.054
48b770362b7f8a2aa860d1eb06a3e9130d2f4e93,597,175,153,18,12,711,1199,0.072
1fa4d6263bb8817de22bb5bf4c4b12d38e112296,300,59,266,62,0,0,523,0.094
6189a3b73b6aae7acdc77e0ac5c77ed314747e86,158,112,69,107,3,11,1538,0.128
537a4cea4108134fa4b2ebe3bd76f385bfbc51aa,314,31,87,30,4,56,247,0.136
aa92f30f2c12a83405ab93aebb7c1c6b143e8770,-1,-1,-1,-1,-1,-1,-1,0.137
3fb157842b5c07f83a376f393baadaa914cb2e90,282,125,849,123,7,254,2390,0.144
5f8eb52742ce078c32aa2392cc097361df7ce671,83,55,243,55,1,0,22,0.171
efe8c09a3d1becc856a72b4ac72b8da2f93ed12a,418,57,108,46,0,0,197,0.177
77d56b515ef77022704b023de0a48bdc42b25e77,198,72,245,69,1,0,8,0.180
3df3a08533f1100e2ad74b301c193cc26230aa47,800,207,133,211,1,19,355,0.192
055cb7ca37b2614a51cd753d0c1b5bf959878055,235,50,373,45,1,0,14,0.196
e4295bffea85a66effd60aa63fdb5189132e58a5,-1,-1,-1,-1,-1,-1,-1,0.198
4a7a0b1ee923dcd919b454187efcce6174c817fa,316,59,215,57,1,184,150,0.203
2b72e1ac67868e230b9935553757e64172e957f4,33,9,77,9,0,0,0,0.215
ea6f014813f1a3c442c31136ebf0f6bccf88f8f9,238,32,305,32,0,0,803,0.216
f0b54156d86a03a6f674c7e8b01418afa23cf03a,82,229,189,197,2,37,0,0.223
6137eabecb5d81762982e5717b8d4c6dd621b65c,-1,-1,-1,-1,-1,-1,-1,0.234
20b4b5610f5593d998de940f0fb8ebfe74b9d512,510,209,43,204,11,30,484,0.238
311556fdb9d23518b62440c1c09f93ef6e5fc370,56,283,359,266,0,0,9,0.239
6ce004c209090ad24582f3c3fecf24928370311f,192,123,236,118,1,0,196,0.249
e18869c1517a339fad9bfb8b8567913f87398b38,43,14,49,34,0,0,2,0.252
b10a0698999df3d7e732931448a4cb5cb6eb755b,376,237,288,232,1,0,8,0.254
072b40a09e5c6c6abca4d1c463cd28174ba76a9c,109,76,390,71,1,0,1,0.263
5e63a29e57067a8b8a32d4eccf8b700d942634c0,95,191,64,175,4,21,575,0.267
9862e07e35862c88c803f79c7dcf706a54f4e0e3,148,96,166,78,2,1,778,0.288
ff25af9a342cf857338b2b7cda11aa1cb0054754,-1,-1,-1,-1,-1,-1,-1,0.288
b736c94110a39fbcdf19351f3e9e65ee22c0a757,389,204,78,126,3,49,188,0.291
3351404d26bf9a1330e09f31aaaecee3f9e6e2dc,-1,-1,-1,-1,-1,-1,-1,0.295
a52a71c1df44aa29d3fadfd5caf1b9a942f56221,-1,-1,-1,-1,-1,-1,-1,0.296
7c5931df31904cbda2ff6f398c4aafe0a553aa6f,225,200,187,187,23,0,47,0.309
c2c0336d182d9e0a60b96fca0e77b2d882ec3001,-1,-1,-1,-1,-1,-1,-1,0.311
a6c44a98404d6a14fdd92fa3fb9f2febce2fd818,-1,-1,-1,-1,-1,-1,-1,0.314
4a805055b41e4d9a2cff59fe51b536f4ec239592,153,10,91,0,4,517,0,0.317
b943917a9db071a65538eb1d4c712d01194f257d,111,34,27,32,0,0,2,0.325
5a21d6e92220f46083026ea9c7eead83c8dc5a95,152,220,341,216,0,0,0,0.357
416659dd6ed6cdf5e256686a7cec6e4153ac984f,331,209,484,195,0,0,5,0.405
e18f2ee8cd011a45a9d385cfb6eb83527409bf58,546,79,18,74,5,35,178,0.440
95034bde0c65934b542f957aeca14d8320c9bd7a,255,136,215,92,3,35,26,0.457
737a34616d8557589cae444c6343ec313cb8dfcc,46,258,186,229,0,0,6,0.459
cb367417fe819eddc8774b1a3c18983ec1d71e05,43,118,154,114,0,0,0,0.476
8f85b22bcf5a14298ba7a60374376a23ad7b635b,199,220,145,211,0,0,5,0.482
2dab49c3393c4e4710068107afd8fcc6bc7ea914,96,59,184,58,0,0,38,0.490
ecf5099789796f49bfd31bdc4ba6b0c34e8f6ef3,66,28,395,26,0,0,0,0.493
bf25c805a0684f94ebc90eda6ad3c85eb8e85fa4,-1,-1,-1,-1,-1,-1,-1,0.513
c48909c19d72b575154a14dee3ae302360e0fb3c,-1,-1,-1,-1,-1,-1,-1,0.528
22d2ebd1fb327287099a13a8d57640f3fbfded8e,96,324,276,201,1,2,242,0.535
3fee3a1be90f82b7f27c17cef45d0f458b96f1e6,75,329,195,300,0,0,21,0.540
a73f9171a97741cd1a5ece3d3fe23ef6bf19ac38,242,45,59,29,2,4,41,0.542
