id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
896f5dcdd11890e9ab1a28f2b969db6b0bad529c,144,17,199,20,16,360,1586,0.000
399eeb1b1d7f760a7f552e3d1c92990716f028ef,2608,35,289,135,5,161,623,0.000
5d42cf56f9057d5447e9470eedac0d09eaa73773,-1,-1,-1,-1,-1,-1,-1,0.000
fd01ba0d80ab232a7d125d0b09868f6e60b58978,198,78,312,73,0,0,985,0.000
b26bcff6ab13751b1f6278494109d37f5ee396a8,565,217,550,208,11,2334,4916,0.001
0e0d3d5ddfea2e7ee63f4d73b2f5626273487c64,299,120,150,112,36,5104,1235,0.001
039f5058de2f88ed6f6744b927ce0b324528825c,726,81,1017,74,1,29,528,0.002
d4de74e10eda1a961a503b6de77d81dd908e97b7,134,87,281,83,2,77,3606,0.003
1bb827837744113d70c99a3b1930103837c9d907,-1,-1,-1,-1,-1,-1,-1,0.003
47397ff3ddced7156354059df58d27794363ac84,91,41,148,40,2,147,422,0.003
252f4398817562f4ba4f6da8d8761edf2261642d,4594,40,722,56,39,1181,935,0.003
355bd1135876388587521e31900d26b6730e0c42,330,209,299,205,1,7,34,0.004
e3f342f7f736982bbcc43642780622cdeaff7737,-1,-1,-1,-1,-1,-1,-1,0.004
adf9f3b4b5b75731b4daa1b12b83e32e2af30497,275,112,456,53,1,22,292,0.004
a7d02d506ddddc1e33b0bc80c2cdd749b39bbaef,132,54,48,18,0,0,1259,0.004
a7db6a665d49d92c9f5aea540c9cd8c53f84fef0,561,340,111,75,0,0,1677,0.004
1d03a2ca58bf2b1f998358be26a4aa669ef833bd,227,33,117,35,0,0,10,0.005
2cf52776b56f703931ef963a9bc690af924ef47e,-1,-1,-1,-1,-1,-1,-1,0.005
78183e0a0851f1bea68a4d5aa4470df5ded71315,160,78,0,74,0,0,2437,0.005
bb4e0afd1b0a4de03f4c144ba46285ab041ede5e,-1,-1,-1,-1,-1,-1,-1,0.005
02cef28df25b60d88758c05c75515f9b3d8e63f7,886,126,1022,181,3,328,2006,0.006
307ba64460b3184b3aa1da4c2e8702e9fc4c9727,346,311,600,295,0,0,2444,0.007
544490cd889a16b3ca2853007cdb22e3530de23c,185,84,90,73,0,0,1026,0.007
2a4aee760118c2c54703914419c872c43e56a507,132,146,196,143,1,7,3,0.007
