id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
e1be702f5abdd3d6fcaa0311aeda70cba11ebadf,636,29,290,29,39,3204,661,0.000
2829c1393d290c898ddf1c798035461e82ea367a,307,36,111,42,5,877,665,0.000
c9fda22244fd4e5924d22d6a70120310abbcd510,-1,-1,-1,-1,-1,-1,-1,0.000
df8264e0c7645f6880dcbb090ddd8aa3fafdfad1,-1,-1,-1,-1,-1,-1,-1,0.001
36b3918c16b1a97398e5259856f69ab781b99c63,379,306,273,68,7,407,6519,0.001
1fd2d597fa5908ff7ef3cf3020b43433b9eda2e8,625,350,399,334,43,1522,6516,0.001
6c105b0643b6a490174da581aacd6a7573ced314,1777,225,1033,321,8,2239,1185,0.001
92d2c40641a06a94a6e62b20bc13e5bebac76393,1772,47,522,54,0,0,1123,0.001
2b09b3b699f34f9178f7af019d52849fdb8fcd0c,-1,-1,-1,-1,-1,-1,-1,0.002
00c1732e5721380f33bea912a2ca8247912e46e6,874,469,272,93,13,417,2293,0.002
0ace194433b598071d8448270af5f2cd08590fe6,735,260,826,270,6,251,1401,0.002
4ef2c3a3ffbc4d3ceb79818a7ae249e788dd56bc,-1,-1,-1,-1,-1,-1,-1,0.002
31df676bec53e9046f99cfbec347cab501337ab0,1550,154,662,244,4,69,2166,0.002
aaf2f4a60c5b563d931d49fce2e38a2259145a1b,145,28,104,28,1,72,501,0.002
01308a14a78ba2365fdfa4303ee07f6bb948c955,609,225,311,215,17,558,2323,0.002
0924522defbc077a897fcd8fe91a0f5d21405272,328,38,14,59,7,57,235,0.002
9eafc9b1a48a10f607b900730a7314e57a2ad394,133,65,96,63,3,299,2850,0.002
b46265736e1eaead5d9609d9c9a0c6d43d678a3a,-1,-1,-1,-1,-1,-1,-1,0.003
8a08d8eabb1c4f7194b150c6e9a4cd6154620ded,-1,-1,-1,-1,-1,-1,-1,0.003
f2d933ad9c4369eff1831e550e3b49ed599da716,232,4,52,5,4,43,174,0.003
b4bed5e170aa5d3e39df8902311ba497cfd0fb22,360,19,54,67,3,30,443,0.003
c97dd0e42ec5c00ee865e22f8364df21a0bd45db,1761,286,686,264,6,70,2713,0.003
be33da162c35ebc81801eb159356bf5571a9485f,-1,-1,-1,-1,-1,-1,-1,0.003
16ab7f3e7fc631bb7b9ada04221a02b5a6e562bb,-1,-1,-1,-1,-1,-1,-1,0.003
733d42cb6ac87e7ce84ea36d202aa057d0e7bff4,158,7,279,7,11,233,1658,0.003
24d18daa33603ba04fd78435ffd73b93ae3cadbd,157,41,105,42,0,0,184,0.003
0a1711c74cdf7f0ddf5dc61d7914be243b29d9d9,2495,803,141,327,3,95,5114,0.004
70403fb6fd65d40e739ad7bb18630d9243433cbe,130,190,141,107,28,2525,1877,0.004
81377edfc9ef0dc301bbd82acbe1d114ca8737c6,175,26,44,23,1,58,257,0.004
e4e9d1374da55339c32d50d45ff70c0e892757c1,-1,-1,-1,-1,-1,-1,-1,0.004
bfe12372aaac3e5306e37b57ecbd903214aab25c,202,55,113,55,0,0,1,0.004
84b8a054fb30358ec3de36270e96c8418d29ce63,383,298,170,12,11,95,642,0.004
de2aec65c25456c54864b4422f876b43e853b4c5,325,4,68,6,3,599,181,0.004
8cd90b357fb31598c6d9885c11f91c2a1f655b16,150,29,40,31,5,984,183,0.004
41a0d332260b1d739992ce613ab11a7cbaf39562,210,35,87,35,22,1400,50,0.005
6135a17e215cc5bb3d886a3c092da6bb10188bb2,386,77,110,77,1,0,612,0.005
f23fedbff4ddeb0a92ecae47763a51125a8e232e,-1,-1,-1,-1,-1,-1,-1,0.005
10bdfa8a3a3a0d5b4bb2e480f7eefdcd1a97e9db,137,64,222,61,9,290,1562,0.005
6ca8df6eb91bec7c5fdc700b7db430fac5852387,120,193,12,184,0,0,1563,0.005
5b5a606774e3199249dc11700df7bb38ad5314d0,385,125,101,128,2,31,1499,0.005
f6c008c516472febb95023ea0f569f8f03d1665a,1586,140,526,161,1,0,1249,0.005
729779574a4cc854c7b43e8f1d63f652911d340d,262,141,230,10,7,70,3118,0.006
d6fc9873ab6abb43dbac1690045176a302b338bc,59,55,31,54,7,41,1609,0.006
afa2f928a535870ba4eae51ff1cbeee0272b64da,511,194,659,203,34,2344,6602,0.007
86e84d0fb4d5d2a71c7ac42c32becec35f99952d,185,14,59,16,4,208,1205,0.007
ecc7d93409a0427e64844d4475ba3bddfa8e2943,1982,362,493,1075,6,392,759,0.007
74ef376e4ad5017ba1a869ff46c03812aaf1e0df,229,223,176,212,14,309,727,0.008
548124f7e1395d139e1aa57ce5bc3d63d15abf69,408,819,111,92,23,537,1423,0.009
756e4f2f105c8cc275e0798a656d8ccbcac370a7,434,58,72,64,2,40,138,0.009
83551088163d01e8e66cb1092d7a9c79fd5f91ac,31,8,40,9,1,9,20,0.009
8dbc3b9c2e7e56ad23a1d0a8839ea55616f60e8f,-1,-1,-1,-1,-1,-1,-1,0.010
b5590c70aba6c6110a2caf56ad88da37e4f9623a,92,21,115,21,4,99,207,0.010
2c89f04d7b879924337040156572a2ece1e50489,141,96,93,98,1,6,224,0.010
