id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
bcb21073997d5b67b7398f71548c517ebcb6ca7c,112,41,538,42,11,722,137,0.000
80b225ca8f618a90a984d411a3ebd4648c18d11e,988,186,874,209,1,0,7,0.000
0a595a561edabd2d14a6547c3b6f1568546f01b1,960,75,733,71,1,11,1322,0.000
c419381ee02b5d7772234bdcaa4c43eeaea82b04,7331,118,5464,196,4,126,3361,0.000
d376d2c7798bec5625185bf16eefa16606d0501e,460,50,1421,49,3,393,130,0.000
f14d2fb7f1ca78aaa9b39664f66a464649276611,249,101,430,43,42,2947,4197,0.000
89d9f146096c1b9b3e1f9d88c3ab8d7b742dc667,196,107,541,101,1,11,1909,0.000
b224853abd2f8d3f496df960efd27aee4ec7fa13,177,44,95,53,3,88,214,0.000
749b9ed61e4282070b0602f234f35124bd4ee778,460,160,217,154,1,25,1699,0.000
b7b3307411f1ee4efba6ed59301390ba57a233a7,1020,44,28,42,0,0,21,0.000
9fb71a18610959caab7a856c41b11085a2f8450b,207,372,421,71,7,189,3846,0.000
dd5c400be1bf4289c11ca30326beb2be44326bc2,666,123,701,116,9,1127,1739,0.000
c8c2fef5e77164f13c4036bb59157e0b5bf2ac42,464,19,162,28,36,2692,1300,0.000
7a2c54050f7d8d920e0f19c06effbe40d6a3569f,897,82,700,85,5,644,6775,0.000
e26fc9a507cd26f00fb38a11a6a3d1b0c2e7cf7e,138,18,135,21,19,1139,103,0.000
ebec978637c0afc11d2a29d707475aebec12cf10,773,54,366,54,7,549,756,0.000
b2b86728783754e0f5e2b1ddb3ce63202c630194,554,280,313,282,2,33,745,0.000
9addf78297be0d5956ee446049e46f92360200fe,2407,251,1799,272,4,187,3235,0.000
1b68e03a181046540e90e08124c962f30f103a4d,272,48,186,46,8,798,285,0.000
c71622e534b620f8180229c5daeaebc5dfe53c1d,2944,59,1295,62,3,170,2606,0.000
3e167b353348a2c18cdde329501b7544133c3bba,365,139,620,133,20,685,3334,0.000
81ac0e63c0652651478b733d20ed68a7fc4190e2,425,169,480,158,34,1325,516,0.000
82f32d6b6e533ce82fcc02959f47c8cc4ce4e906,412,42,309,43,1,168,634,0.000
edb076d86559b033c69f6f9fc7845ed9343bb271,-1,-1,-1,-1,-1,-1,-1,0.000
3bb5cc6181fa6ac10a6e35006bd5bb97c6781e84,563,130,310,121,32,4511,661,0.001
1ccf6fdebd2ba73ab219f5f35b7847274ad0fecd,219,1000,726,283,6,263,9676,0.001
a7657f2856d6169c5196d59e1e867e2b115ea236,475,107,408,104,0,0,460,0.001
37c3a14c6a9e04bac5b3c881178aeaa9935adc3d,3017,716,1977,718,1,86,884,0.001
cb630f8e4e29e1011a5c2c6f67d40526875042b9,-1,-1,-1,-1,-1,-1,-1,0.001
db01828bf28054fdb944d2c0a3f4a1437e450768,1090,104,538,108,17,1196,559,0.001
04a825774a30a1e173baa598c881b58402a6eecd,755,109,506,107,69,12991,4952,0.001
fc9127124fbb4592bd8ff30717f84e52197f9a98,2121,502,1135,617,2,13,1530,0.001
40293e616e8634e4e35178457de808ce9e02b28d,892,144,467,162,0,0,607,0.001
9f27eb0d3f6b2cc25091cad84a004529ff35e86b,643,195,206,198,1,110,209,0.001
13df58d1492a1a3fd4427337426e000156cc91ed,-1,-1,-1,-1,-1,-1,-1,0.002
5beed37756325ab64b92ab62864f712dfb151d57,858,31,35,34,2,28,4451,0.002
241d32df55d9c6f254927e391dda70d031ffcb9b,-1,-1,-1,-1,-1,-1,-1,0.002
e35926a9594cf9f1f56fffe474284093c91e14e9,134,72,448,69,0,0,5685,0.002
d7a5b6746356cd1f38a8b0149afd434510f66ff6,237,47,74,43,0,0,1079,0.002
df494c0dabc35a6299f95a884c85b9827298810e,400,107,355,40,3,35,983,0.002
17a34d79f4ebd1eac76591e268877250b26b6713,465,142,152,151,3,48,687,0.002
5f59ea45e325a4dc461d1ca4421f46ae425778a6,4165,30,1453,34,34,1852,1158,0.002
f05d567eba17d3b65927f5af7c8c4fd0a3dba39b,353,56,266,53,0,0,82,0.002
bae17d7bf580b06e02716b238ff166d221e36a04,443,236,299,224,30,999,2223,0.002
b26179f3ccb25e6dc0a8cba12eafa9fda21476b9,-1,-1,-1,-1,-1,-1,-1,0.002
42d3545a79f66f0cf96b5fcdaf31811091e38226,-1,-1,-1,-1,-1,-1,-1,0.003
71b282241032dc351b59361715173b090d8d31f3,76,93,93,94,1,19,268,0.003
ab1a3885bb08a2bdc1c060324227b3f5116b08ce,219,29,88,29,2,37,156,0.003
800413cb9a10debf3480cdff9008cb49ce971c9e,721,119,1120,117,3,210,2211,0.003
e6a38d16e0594b262fc6e8a8c64777dcb9446a27,705,287,517,271,5,155,2559,0.003
c5bf0bf60a0d9df438d21a6fad96c6d260baecbc,923,150,175,165,1,30,372,0.003
1d40a04951c3b5153fe46b33639cfa0892ea70d8,418,73,578,78,1,79,2192,0.003
fe71dc2efd51886a1656686abd6aeffcb8fca408,233,72,401,69,3,2,127,0.003
49a128dc6a36e92dc59581184096da8b006479a6,-1,-1,-1,-1,-1,-1,-1,0.003
1b79bb51138523354ca221edd7f98fc1ffa6ddd4,242,64,122,70,6,35,177,0.003
bd25b4ba4038b9620be8614cc0971eb080684957,661,32,147,32,1,0,3346,0.004
33419fc4501dc1b932d666a5810045d5bfdff484,1351,318,469,304,0,0,286,0.004
fb4ab6eff4b829962d9fa0e432ee08200caf4a63,1448,134,70,149,9,210,1228,0.004
fe1dcd9a32c94567da6e17d7a71e0eb0ee8a0f09,422,15,58,18,0,0,1017,0.004
ca42bdfcfeedc9881952715af48a2740876325fc,235,131,94,117,2,650,1589,0.004
