id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
8d8ef7f8fe61ca0937a27b23608f286029845cbe,420,21,868,26,14,1362,708,0.000
0687c68c630a589740e0e80b6fe35f6c071daa56,0,6,240,9,0,0,5,0.000
81013505e04fd22f7d5da3b4e9653c7e6183f93d,250,69,1215,68,7,535,2404,0.000
ad04459ae4c3e330055a623aa3eed2f321333754,627,3,335,3,0,0,26,0.000
8f53ae3faf780e3adf87eea18e7c991cdd0084f2,232,25,468,24,28,345,401,0.000
8902f89a1f70df4a298ee7f15f8132a6328416c6,987,76,6236,77,55,1851,3145,0.000
7dfd42cbb8b05053eb84479326aa6f9a30904fca,4739,956,5485,476,1,41,1712,0.000
ef65d2771afbe0bd03ced6d258e83107e55159bb,426,161,1196,154,34,2165,1407,0.000
0f20562c472d4cde7acb144bb254107fc1fb0df2,420,17,220,15,0,0,5,0.000
6653dd6a01055079593c1be8771b07fc1063ceb3,-1,-1,-1,-1,-1,-1,-1,0.000
166c95d685ede709012ff9999e5540ceb67e904f,261,14,584,15,33,1848,988,0.000
f5b91568c69c52c96c06f949c037ec936dc99e92,838,155,899,175,3,37,476,0.000
83484ddc1ad8612f61d40538fcd1ad8f5628e713,6319,184,1847,370,1,1,1446,0.000
18a4deb3d2766f365dd1f9968edf4dae6cd2dd9c,262,215,456,53,3,308,230,0.000
91485e02a72392cc50ea4250d96f30fa1540465f,401,96,909,97,11,110,2248,0.000
77d6d4c8a8f1bee9b5be63c20b22f6148ffcbc11,1778,508,2273,594,12,78,1486,0.000
d755a6abd2e4af7eaf048a64bcb82c89cfb829cc,122,45,205,43,1,2,184,0.000
45da2790f9cba1c1da3d8a39c5e4edc37d3bd95c,218,71,438,78,2,388,93,0.000
40a1601867c41edf92955b510464cdbbfbc91b4b,394,62,294,61,19,802,420,0.000
d7b42015bcf250e59d15367c76f18355e4374ae7,384,15,216,16,61,1830,997,0.000
4a1ce90b13c0ceb46a612f241dff24f7c66c6744,549,50,568,47,9,791,219,0.000
30a2c7583bf9580619432c4d972560e578221ca3,1168,172,1121,171,5,335,2387,0.000
c9018c37acb338734d9da84c1b5a2b3c0fc57cbe,-1,-1,-1,-1,-1,-1,-1,0.000
4481ea1f2f60536b7bfa6d535c0ff961fc94d3c9,564,189,736,194,0,0,584,0.000
fdffb83b570f1fa36bc300c8d85438328d201b2e,392,5,314,5,0,0,437,0.000
d00f48f0ab78a430bd299cddfc94c19733edd1ad,654,51,420,48,0,0,242,0.000
a9415ecadd402ddb248e75a47db02738a922e689,299,24,184,24,15,891,226,0.000
eb3de9ba06f16a5d755787689a07bd9e79e64ad4,-1,-1,-1,-1,-1,-1,-1,0.000
0537bc0b9a6bbaa43e488b310455ccac5b83d156,-1,-1,-1,-1,-1,-1,-1,0.000
8100282fbc7962396d3162480bb2bfa76cb3c612,344,9,260,11,0,0,0,0.000
796daf5c193edfd64be123338d7e84b2e2f946a6,-1,-1,-1,-1,-1,-1,-1,0.000
a859fe21658fcb06116184c596b686eb92369ace,-1,-1,-1,-1,-1,-1,-1,0.000
c986b8890c703caa684e531c301a32c78dde00fc,585,180,456,168,14,1691,3299,0.000
2048ca4170d04febdc7c57d473966dcc9077b9bc,297,166,166,37,36,646,320,0.000
d72cdff853498815234ccb4c4248665b25430b52,831,71,633,69,1,6,1001,0.000
11e912b02f034f41bce3c14639c88c1f99bacb5e,284,233,1295,228,3,3,686,0.000
96637e5aaec7fa56e3c9b183fe1bff840800f8a5,265,65,511,63,6,154,327,0.000
cb320fbba1afc2ac0b7b60e865451aaa37490461,2845,114,843,602,10,518,1394,0.000
39bb70732b5ef44acf5216f00f26cdb748c73e05,329,51,344,50,1,7,340,0.000
f8bd0b54bd06a5d744b95661b4c8ca59bdb3f5a1,271,167,630,157,14,1295,2552,0.000
5f3ad8adfeb63f4c1f9609d2da889548d5365acd,281,147,57,10,41,1712,685,0.000
64efbeb2f59233717adbdb00a94a47fa591918fc,129,2,18,2,2,6,213,0.000
f775d64f7275319d9d6a9cd56c3b6d1b23e485c2,573,43,206,55,1,67,95,0.000
1deaec566c5430f8e61ba96b811dd02a613e72b0,1253,259,1239,292,23,1530,1305,0.000
51d0e0b01384f75d8cd355e40417eac38c5c483b,-1,-1,-1,-1,-1,-1,-1,0.000
c6b036b6ff103e93dba08dbacd7d168424b448b0,369,30,346,26,14,419,542,0.000
7977bd1d522ce1138109c87feaf3e1ff318cb1b9,-1,-1,-1,-1,-1,-1,-1,0.000
bed197618f1c890cc3a3b0caf47d4b1b0e5dba44,234,23,28,22,43,873,198,0.000
9993bff88ca2125e63649c3fa52d89444ffa1f10,166,1,83,1,7,673,298,0.000
78296cbdc65c56a0fa5714a2510d90dd3fbc95bc,618,59,14,57,24,7058,1034,0.000
3749cfb5b697d33353fe9748e58228e6f4b11b77,141,60,159,60,28,1960,641,0.000
4c2717061c5489a453c6f16481328c5455db57dc,1112,968,768,136,15,303,3935,0.000
b6be7087bc2e23ccb064b391968016b5949a3f8d,-1,-1,-1,-1,-1,-1,-1,0.000
0c65879639bff7f52c218f41a84f521a6c4a7f21,390,168,271,158,6,1228,1717,0.000
5ad5deb21f9b11f0788e04095dd49eb99c59def0,369,48,359,55,1,1,1442,0.000
97294cf393790c909e8655e1b56747003abbca2f,578,154,810,152,8,310,1041,0.000
6323307e61b44a63be58518992beb65c76b9f881,226,2,162,3,2,16,2,0.000
1212ed1d510ffbbc52d80925657f5928e32d662e,361,35,334,33,5,88,1485,0.000
7e8468958b604d0e43c9143a62adca6c5f339453,201,32,267,29,0,0,180,0.000
809291596e5c34065c36e18f8ae5cb71c24cad99,-1,-1,-1,-1,-1,-1,-1,0.000
13096aea7c9ff148dac5932bda3b43243b7f6d02,554,46,185,47,22,624,621,0.000
1cb19b8cd305dcd4b0f524cd787cf9003680012d,-1,-1,-1,-1,-1,-1,-1,0.000
dea099d5179196572b325f0e3b336a0eb124f35b,259,240,934,226,0,0,34,0.000
03b5e978a6937db4641c39c5747f667fc915d674,8556,292,1435,379,122,5433,13106,0.000
4bfd3a7bedbe08df7c5cfcd0dd0da2d9df659d97,-1,-1,-1,-1,-1,-1,-1,0.000
e7bf760f3af89de24f2d65d2ded40ff09a67bb7b,1243,153,779,168,43,1069,1819,0.000
b7440cd0b630ae7dae9f648d87031bffdc862790,342,13,218,16,1,14,395,0.000
18dd0b7c453323678e7a1402cefe35c3f6ff9a25,281,58,302,54,1,11,2203,0.000
02bebd7cd12b44ed66942992ebfb01abe241c74b,-1,-1,-1,-1,-1,-1,-1,0.000
e35dcd533b542d75ffc2a21637acd1f9b24be16e,141,7,115,7,0,0,2,0.000
0317a92584da3209ead126ba2177c7e044be8300,355,10,66,11,9,118,264,0.000
6b53f99c5e32a133860038f25ecf7955b30cf932,327,134,959,124,1,24,6129,0.000
fc8ec769402ed21a3cb6cff67fe8475669390e68,405,147,179,141,0,0,587,0.000
ef8a5eb6667341a64942a067264deb3fad48407a,-1,-1,-1,-1,-1,-1,-1,0.000
231daefac2af80ece8785cb7d954e8cb054f8e1b,-1,-1,-1,-1,-1,-1,-1,0.000
3ce3ba427f260ec19ecc59fd4a6b434dd0387bf8,683,274,910,266,0,0,588,0.000
1718d4d7e9563c9d0fddaed731405ea28535bb97,450,28,75,26,0,0,12,0.000
0deaae6f952d285d686d6132922d941ce8880ede,-1,-1,-1,-1,-1,-1,-1,0.000
a05b0f20306fd022752fe7f8ae33ad8341a89cdf,471,19,269,18,0,0,85,0.000
d82367e15052ef99f5f137fcf5b1d5593ff42b0e,172,35,270,37,9,299,207,0.000
555a9be65b567f4fc0102b7567ed550013dea142,266,18,63,22,9,587,106,0.000
6f418bb4aa7b6a052e967ef5135bf30c0f9a1d22,237,32,78,33,14,363,916,0.000
4467cf597d14a913af19893d4c05ce6908dce633,-1,-1,-1,-1,-1,-1,-1,0.000
8e9014626cc7af5fe694783aa2f08e310e358b86,258,19,51,18,29,1877,89,0.000
0be8ddf5edfe72656eb5563f7996f3eaea5b2c54,-1,-1,-1,-1,-1,-1,-1,0.000
69544ed5f2a8cbbfc69bb0c69e10bcaeee15cf95,942,78,642,80,3,328,1352,0.000
7db40ac9556a71daa8c13f272f90ba858315319d,704,36,82,34,0,0,137,0.000
ca17e64628b7ba354a36d274a33fe5ccebe89fba,562,181,427,176,16,497,1752,0.000
962e9ad4ef0f8179047de3fa77d4539ee5fce9c7,203,440,1023,441,6,240,3016,0.000
86d45e697ae0e3773e18592cfec1a400ae0b2e55,-1,-1,-1,-1,-1,-1,-1,0.000
1b4e115e7b393e3ceed3e3063c1304be1dac56cc,163,10,208,12,1,59,2566,0.000
f7693e4586ec6194a7f313f12bb4bd233bd89bc5,187,40,38,14,1,18,33,0.000
70a3157d211e2dc22fc3bc6984c82de13a6878a5,519,70,241,70,0,0,293,0.000
2d8b98f6f168851d4f3735b341bc616759584936,339,44,85,51,16,113,119,0.000
d9aa5b0a3dedd0586ceca210b48aa8b12ddc8db1,-1,-1,-1,-1,-1,-1,-1,0.000
cc76c056f913bdb75495272b2d2c2b8caa768dbb,1121,16,709,31,0,0,329,0.001
44c0a0ef8a45ebf19a4087de875d193f0c0a34f3,407,34,134,31,18,813,1240,0.001
1c9d7fb100fd90840f5e88c48e2cc7f68bc85395,-1,-1,-1,-1,-1,-1,-1,0.001
d8bf56db07dbc2878f85231493c29b233281e525,249,9,38,11,0,0,25,0.001
2cca958bccfec044bf76c25575a6ecb677c7119e,175,26,188,8,0,0,6,0.001
b276ba5bbd0db37ee17cea62b1afed8cfa1a0a13,-1,-1,-1,-1,-1,-1,-1,0.001
a981de173c5b6f466bd0fe663bc71215c8bf3869,109,4,16,5,4,54,17,0.001
d5698c072aad9ae6e7329ac94c242fd195375d5a,428,9,53,7,1,96,83,0.001
d5645f156438dd053c8da39d722b9942b2809a38,362,181,258,191,1,75,246,0.001
e646223ecfa7dc710f0ce05cc52f14a09ed6e690,398,307,90,25,3,62,691,0.001
ab65edf1d77e97854b6804cc177b7024e89f4ae7,131,43,138,43,0,0,122,0.001
810bec1b10c81152203403a23aa6ca9416084b0d,-1,-1,-1,-1,-1,-1,-1,0.001
47aa43288cf7dccabd7a7fff6ffe789c477109a7,151,27,303,32,3,179,562,0.001
c3cd23971c9c218d6e6220773012957731c2df7e,235,124,536,118,8,340,850,0.001
ce99e900a1bf384982f59d2e1b5c112f1f956d16,86,12,0,13,18,977,954,0.001
0ab3b3bfb1cec0c6fbf83f110ae6c2304cbc9eb6,155,163,88,158,4,154,57,0.001
1e7462135fdd172888fda55e34ace4a620aa6edf,200,37,105,31,0,0,33,0.001
a4ede911639b8d8358d02f79250ec1d28f647203,-1,-1,-1,-1,-1,-1,-1,0.001
9b93167081d24732ac514b63beaf71ff05378b6f,173,22,212,23,0,0,6,0.001
b559ee4008b3ef70d28bcb1ba0a8b638d86120b4,337,21,213,33,11,149,483,0.001
15574a18eb8ad11ee1f97087ef2264377cb4a024,-1,-1,-1,-1,-1,-1,-1,0.001
57237be1b50328350492b7b36a5b679fd23d8edb,372,551,374,142,5,77,1788,0.001
458a8a78e1da739308e5b1bbdd29b0e1758feafd,328,13,54,13,4,232,23,0.001
3a5491a9bde31fd84c1b461064560e4dc7af57b3,349,37,211,37,1,37,108,0.001
8ec9330b8dc76ee55e4a4df0a45713e8884ba4eb,3908,864,1622,1240,53,7367,6393,0.001
d519ecbf1ee0f01902a4f5d9c0131f7ce509b9c9,-1,-1,-1,-1,-1,-1,-1,0.001
1416c778e60c997733d58ddf34abc0da044e3b65,710,285,1008,268,13,1432,1591,0.001
068839e3d5774827548e9889fa909666384176fa,-1,-1,-1,-1,-1,-1,-1,0.001
e1312810888502b4bac16419404413f90676bbd5,105,76,214,75,4,8,1305,0.001
d21a367679ea41156b56fc6f83eeae893128efdc,-1,-1,-1,-1,-1,-1,-1,0.001
77601a7fd73012dd2ab31f31f0ea49cd64e7b393,481,39,182,53,2,24,235,0.001
fdb8d9e410ed3cfbdc1042bfdd09d5d8366b884f,-1,-1,-1,-1,-1,-1,-1,0.001
d0011730fa95acaf83441ef3a2dae031548badc4,373,15,292,15,2,50,134,0.001
05fcdca6a33f694e00b4da3ce16e487de69f4b64,-1,-1,-1,-1,-1,-1,-1,0.001
53ecaf45257c99a8e8cf166112fae9fe17c59794,504,111,942,98,0,0,2005,0.001
1219e907fd142a11bdd555cbbe5b5fe0e2452311,507,251,187,249,14,1105,212,0.001
f1e1f604c7e085a482633bf3f3cb8d9e1008a1ea,155,120,28,123,1,100,2326,0.001
9b9d6ffe38caa44eff4ac269df2f164a09fcce1d,-1,-1,-1,-1,-1,-1,-1,0.001
c5b4efd2395e5a55eed8b0347604269d972d1c98,1712,539,358,158,0,0,2585,0.001
075c32e55480bb1c5b900cae50a269684e7d17e2,341,48,263,45,2,23,361,0.001
a43910872e9ca8191c47187b44a9c24cef37e80b,921,183,104,201,2,156,2040,0.001
b80e7295cdf5935d939fe452de6d712822785a8c,-1,-1,-1,-1,-1,-1,-1,0.001
d59ec0fe4d776e735742281175e992be6cd07419,-1,-1,-1,-1,-1,-1,-1,0.001
45e5e47ae7c870a6e6921f3966c0fe38365602a9,-1,-1,-1,-1,-1,-1,-1,0.001
57e998d81ceb1d70fa226322891e2f54e7bd1a42,1169,175,1576,219,7,308,2567,0.001
92d5013e34d52e87399766274ca35047faaad0a4,-1,-1,-1,-1,-1,-1,-1,0.001
9276b49e7e24a39f881756a0215fbb6da67bcd9d,248,48,61,44,0,0,2,0.001
4715338b110f0a3309a40e525861986c8552f175,53,174,119,158,8,46,153,0.001
8dd0f8a697a2d6d7f9287382467e834dd4f7abe8,-1,-1,-1,-1,-1,-1,-1,0.001
fc6fa6439110e1fe1e3920f99c8d5839a97ecac5,221,24,63,28,2,35,497,0.001
2ebba5cf6c8cdb727ade549d41f833315e41ee3e,138,8,15,8,4,70,10,0.001
7ae34bfe0c8e033f6d0d2f3697cb91b941499d6b,239,22,117,21,10,178,141,0.001
3c789ec8d25c352c6d877bf6726421e87604422f,236,38,229,38,24,773,696,0.001
75c12ed83680eb503446205385ee4783d571fe42,154,14,41,14,2,60,19,0.001
e6e26ea4c3c78476229e685683222f1ee6db8b4d,-1,-1,-1,-1,-1,-1,-1,0.001
99c79233ade74629c828873d7eb3017ddfe674e4,847,81,484,97,15,508,1617,0.001
d05a934a91c5b1dd4b06c9d27c0d01436e068b3e,-1,-1,-1,-1,-1,-1,-1,0.001
f8215beee23fb3f990ac9dcc71c50b65b7aa3760,504,81,179,91,11,1365,1973,0.001
262c922bf1f4947a372df1c69e9e0255cfc532e0,1689,108,911,152,12,295,1280,0.001
b7b27d385c6453590097890bb3c6f246e8bee812,157,11,17,2,1,11,23,0.001
022838ba0d09c8eb2b1ee6588c731bdc7cd186e9,679,10,504,10,1,137,4626,0.001
1fd62e03c83d49bdf0ae8454fac18368b9c8f2b8,146,187,96,168,1,1,301,0.001
b58003c466c2e85b1506b1418df058c0f01b49a3,2251,523,453,293,18,666,918,0.001
be9bcdc87ab393f2a7e0bad37c756b18af19a5dd,1727,364,516,407,8,347,157,0.001
6d9a936f3a2213ee633f27b5f43087c908e92323,-1,-1,-1,-1,-1,-1,-1,0.001
906ba0e5a7f5f261c8149160db94197065311120,810,35,378,45,26,3257,3917,0.001
284eb24272e4a93ffef34854ff54d1ec4a72a38e,267,22,74,22,8,956,302,0.001
d842bb2d4d04a7edc59fd74aa027cdc3cb41e0c0,255,20,87,20,8,366,58,0.001
95e8bd602b4c427e6e97b529b493a5d041b19130,217,4,34,4,7,180,286,0.001
a9a880352ceda77cd9e7a9dda0c07ad7a2429692,781,191,897,248,8,93,1794,0.001
2bb3b1fe954fbbfeea96828f0ffd5f52cc984d33,-1,-1,-1,-1,-1,-1,-1,0.001
062dc34871fa1ca48899067e5aea38e008266289,149,5,43,4,5,201,50,0.001
bd5c7131859fb1c0d8474edb4d06f33abb5e1c50,1511,208,444,245,1,21,4532,0.001
86a53fbeea8dff5ef69fec6874d902680d16a9d8,164,18,45,18,2,12,320,0.001
886627117dd6b36e18690b20ae382e20ab90fa17,290,96,160,89,3,48,373,0.001
dcb3a56bb7d5bcb29560ee067ed874b013c2076b,2340,205,1199,193,10,966,4858,0.001
a96d5aa2365ffa32f9efa6fbe380f10bdd3a5015,176,494,42,5,37,2369,154,0.001
ae97c199bb93b7ba426114c9e3f2ed731af67185,390,14,223,15,2,191,2,0.001
29984081495153a982245fc0baefc9e184bedf70,-1,-1,-1,-1,-1,-1,-1,0.001
71dc109e0f15b5ab33aa8d3fcbe867d69b3b9fa2,710,70,140,81,11,897,2511,0.001
3f01e3cec9059e9a314f5029ccf905e304615469,752,106,403,46,5,5,102,0.001
274c581e6fbd95233ebefb265a048ae0eecee49d,-1,-1,-1,-1,-1,-1,-1,0.001
f43f3f1f2944892202a60ad9382fb5d6ffe063a8,326,30,9,33,0,0,0,0.001
c31f31aad08f41e7bb3f5a878dc4b4286d97f5e8,-1,-1,-1,-1,-1,-1,-1,0.001
e31972ea7f75ed04c16d5178acd0e2c87aac63ac,737,2,643,1,19,2862,679,0.001
6e0133cd7f8249daeeecb562afb84f28bd8ec077,-1,-1,-1,-1,-1,-1,-1,0.001
097493923b2f2083b9f29173a14944269df7c949,-1,-1,-1,-1,-1,-1,-1,0.002
b1db7e4056eb4b852f806fb56987e8243b308d86,360,785,680,752,255,20759,13607,0.002
65d4121b522021f79edc527c6785f60fecbe4f2b,410,222,224,73,13,614,1766,0.002
bfece3b3d293a2e498e05d55cac8f0272c16e237,390,130,63,118,10,1277,322,0.002
49b8f9a70fe0f042fdf4bbbe633d52d47a5b2c7c,741,66,154,66,1,5,180,0.002
c602165951913d184ea11b7ca666ff62c1ce9dc1,554,51,111,54,38,1178,688,0.002
661ae7e39e61e38ead94158838d052368660ee89,277,135,140,127,0,0,263,0.002
754c6c05d13114ffb58f61130c627d212dc3b785,1634,128,922,213,3,30,1230,0.002
71812186895ded263826b3267ae77aaf05bb01e3,-1,-1,-1,-1,-1,-1,-1,0.002
1392dbef0c974894e66db8657f713777853a7542,55,0,39,7,1,12,8,0.002
4dd5058c6f5966bfe32ce3c1da1e3f928bffe907,349,27,102,29,0,0,48,0.002
8b51c7fcf2c08ef8fdd5fb78045f942138f3ed5c,511,191,437,325,4,17,114,0.002
63571f1fa3c9cb53ac4c92df79dc07a3c320dc3f,-1,-1,-1,-1,-1,-1,-1,0.002
d0b88516e7a240ff039be70138877611684dfd97,476,189,457,32,18,2168,1523,0.002
a62e863a00e333e106260dab3830efbf118e3523,2476,284,578,360,30,1097,5541,0.002
d8d07b7c511fa5ef3dd6e2d369a78e448b7db6e7,265,488,144,267,28,575,1587,0.002
48c4a14507fd41b7a5e0713a7953ceef8c367e9d,234,243,292,82,25,2817,1718,0.002
c00a507fc899c92874d7c044c63d9e3e9ec9f4e0,91,27,26,25,0,0,371,0.002
b8ea19b635fad950003396fdee9b9a8271970627,341,83,84,38,25,1539,398,0.002
c4abd042d657d3eb0e4b55322c362e6b9915b941,1014,61,185,94,18,855,1947,0.002
247ea7e44eac9c9758606adec123cb159dc73359,-1,-1,-1,-1,-1,-1,-1,0.002
bc7bb0623204e5051e531559c826884793497802,130,12,105,11,1,91,475,0.002
6e2a648042a2b84150f8ee9faaf4a7f0f99ea8a4,222,43,77,49,0,0,286,0.002
7ee92ae905890646a1323199c1fa292d3b02603a,-1,-1,-1,-1,-1,-1,-1,0.002
112113bae951873878bd5a50d30ccf7fe80dfde8,1157,66,75,281,6,98,218,0.002
ab4d4b2146f6de0f8840ad5a69a073a41df54c25,193,112,87,30,34,1981,356,0.002
1155ea64db0689669f8b44e44a996968e0144d9a,983,160,569,185,1,23,1977,0.002
1e00710f1bb65fa4bef5737df86f86d81eb8c503,-1,-1,-1,-1,-1,-1,-1,0.002
a9e1660118cc052f1220dbfabb49f4b002e35fd4,-1,-1,-1,-1,-1,-1,-1,0.002
5bd72feb3fb96d3327a0161fa341d4096e774fda,-1,-1,-1,-1,-1,-1,-1,0.002
81e8186ac2496d828d24fac9f6ff40c4ca590eb4,-1,-1,-1,-1,-1,-1,-1,0.002
71d830f68059ca93b6116bf37dfc68b9c0ec9edc,845,34,562,259,1,26,3102,0.002
0c9d1eed3da83cbd2281a6f94e0858aba2923271,89,63,32,26,19,908,323,0.002
445b813c8d7cc4e9ecdab35f61a875c416b0dc80,231,77,146,65,1,48,201,0.002
d3dc9d5a542af107747051f797edb196358761d7,-1,-1,-1,-1,-1,-1,-1,0.002
67818f41911bf97d5c706c88eba9efbaf0efc5d6,1652,14,266,17,1,33,653,0.002
73c4f2f4de1b4dffb8c225d27895984db87b3c93,-1,-1,-1,-1,-1,-1,-1,0.002
64be6b334d51b6c42beb34910d06c9f741cfe196,-1,-1,-1,-1,-1,-1,-1,0.002
ebccd48a9a5a8e300a4b1f8e374ccc1c34ae0b21,318,99,405,91,1,0,758,0.002
