id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
127c57cc0d6d27330d449b96212b4d619ea4ef6c,-1,-1,-1,-1,-1,-1,-1,0.000
55056d0de30014f93894752664e9487e0f084bb1,7647,1178,15464,1844,23,1443,6394,0.000
e3326c3a76354a242960b663fd7950e761a793fd,281,219,121,58,0,0,58,0.000
2c42f9ef34239a16ab1eeacb927c3f830c26eddc,-1,-1,-1,-1,-1,-1,-1,0.000
e46fcbe1b020082b00adb82a908bc4a1777aa41e,1418,217,2841,248,0,0,2004,0.000
abdd40e0c0514cea2c9809e59c15508456cf08a8,-1,-1,-1,-1,-1,-1,-1,0.000
f067f4aa700ad5de05e9f5894c95f002ec4cef32,-1,-1,-1,-1,-1,-1,-1,0.000
f0082e6a92edbd245aff52e91109f72f1f90a295,425,140,275,147,0,0,4138,0.000
44274d9800fc693f6b77b5814c15ecb213e44fd3,-1,-1,-1,-1,-1,-1,-1,0.000
3a3305d945e6234b1e1992da32640b8f3f6222fb,314,13,67,20,6,51,607,0.000
dc592e57c703ade3e086ef838da449d70aeeed61,304,1,105,5,5,78,1071,0.000
dccda24183278af83759e7efbd689e04fd7b2e39,-1,-1,-1,-1,-1,-1,-1,0.000
0cfcfde083f954cc2d2f305ef97156be6e6f8724,78,61,192,62,17,959,1329,0.000
f914df174a1c49ed7a148ee6194622251b65ce16,-1,-1,-1,-1,-1,-1,-1,0.000
501b209833383e0037382a7837113b2d9de344b0,-1,-1,-1,-1,-1,-1,-1,0.000
e8bf5a6eae9aa3f7ef4cb74b61eea54ff8ad8d7c,9997,17,6926,16,14,2456,2082,0.000
8bf43cc215f71a8076bb9414123faa20f9a3033b,805,57,442,54,3,103,1039,0.000
eae63e8d5eef6ed22b69a5b882f3959b4011dbd3,-1,-1,-1,-1,-1,-1,-1,0.000
8e9aed9176fc17695a8a9e47777dc58d14517767,-1,-1,-1,-1,-1,-1,-1,0.000
