id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
f81ef0a9f6013a4e22c39a38b0b6ae11b49fc0ae,-1,-1,-1,-1,-1,-1,-1,0.000
f7a53689ef943f314d9e5d512d744eeb3f92e36f,276,58,519,57,0,0,197,0.000
1f301eb368594837553394b6b5a8eb0dc307939e,266,117,658,112,2,72,96,0.000
258550723197226bc1a7497f02351ba36251fb8f,-1,-1,-1,-1,-1,-1,-1,0.000
b7b3307411f1ee4efba6ed59301390ba57a233a7,1011,44,28,42,0,0,21,0.000
32d25a38ef3ce74d4af074884b48273c518e729c,305,105,207,102,3,140,143,0.000
2759ff6c9139b116d642bc15d9387291535e1796,-1,-1,-1,-1,-1,-1,-1,0.000
977e72d31be3f40e595c8295dcebcb2b519957d9,8036,31,13363,30,3,395,3096,0.000
b36250b0123c6470a1c2d716f2788a14baae477c,67,77,354,73,4,126,1233,0.000
c613e28ec31dddb21082c4e7b27a316bcfc8bd5f,-1,-1,-1,-1,-1,-1,-1,0.000
2fcfafdca4303e0dea98aac75f4e576797e8559a,-1,-1,-1,-1,-1,-1,-1,0.000
40080359bbf56f59c95c64fbd17e57dc8da145cb,583,99,536,100,93,16054,4994,0.001
de515cfc004f2bc91960fd53ad3f228d9a4cdcd7,887,424,524,421,0,0,547,0.001
c72dcabcb8a1c8b4913c6eab583d606594f77d61,534,157,912,282,16,1308,2448,0.001
0206985d879c918d56bd3d5200e646d1807df29a,83,22,13,6,2,16,11,0.001
2d8e4316e714ed897ba50a5f9af1c452ebb59c08,-1,-1,-1,-1,-1,-1,-1,0.001
eafa6d880ad145dbca5e17b8b85e31e3d881da4c,642,130,557,127,26,915,3639,0.001
424167145a81e37f7c3940221a8f1cf0c63c07f4,110,221,127,211,2,22,527,0.001
b54ae1cef2a94439d037f6b25097e266e03f578d,-1,-1,-1,-1,-1,-1,-1,0.001
68a169961d14337327aad2cfbdc3014a41191373,262,162,218,161,29,1764,9586,0.001
328328f617e9b616dcbd5b8d63102f014d432765,1596,166,1492,207,12,412,2067,0.001
e643c4f2a9413fe761e7a9e9bd6ad4e02c2b288b,212,30,224,29,13,1144,1493,0.001
fc1ed04e6d864a9e79c35a36ec52dc7ea0b7da8b,-1,-1,-1,-1,-1,-1,-1,0.001
3685f06df648d7d868262dee9cc4e26d62365e14,810,200,135,202,2,21,9543,0.001
9c295ce93234eeb6974484199d18eb83d9c0d1dd,229,76,246,73,1,26,2488,0.002
3535855d1ea377b42d078ff842d1e9e67d0e0d21,-1,-1,-1,-1,-1,-1,-1,0.002
5943f55a90081993a1be4db9f90824ebf5b5bd40,-1,-1,-1,-1,-1,-1,-1,0.002
93972f95a6c93496fe0cde88dfc7aae567e9f410,-1,226,349,189,0,0,20,0.002
eb6cd324c69cca7ca08c4092dd91f63be6ad6537,47,134,187,131,2,12,189,0.002
cbbcd6207dcacf74d46b49843a3e5a266856b828,167,5,74,6,0,0,128,0.002
f37b7e21b317cd9e9e5a31af62b5b28830dce16b,812,85,225,85,377,5883,1795,0.002
3ea07c320da0baa6a419664c834c1982664629fa,-1,-1,-1,-1,-1,-1,-1,0.002
889d913566f81619d01d0cb01063da34c5abf710,339,76,164,40,6,141,990,0.002
54eae3e7dac73f9ecb03400ea0963c5afb6d2f98,131,13,29,12,7,252,144,0.002
f82072e3dad44337cb47da9d9475513ad5e55efc,-1,-1,-1,-1,-1,-1,-1,0.002
0102c57cdc0143a38f03876629ef4f6abe561aaa,856,106,731,106,76,10282,5600,0.002
140cd498400ca94218f85b6680901158e98adfc1,-1,-1,-1,-1,-1,-1,-1,0.002
079817a5efd96e7d061014901595e757be44f5b9,-1,-1,-1,-1,-1,-1,-1,0.002
a40c82c51e90509d4146a010a312cef3484a604c,2778,543,184,497,62,2036,8643,0.002
56500c2e58f61c352bfcbe6da37eb53e1a8ea52e,3730,386,1020,645,14,590,12245,0.002
8469753aa9463a47b52946a9aff31ce02fdf4613,-1,-1,-1,-1,-1,-1,-1,0.002
5fd781c41dadb8ec27441a23c5739c61026ffdf6,-1,-1,-1,-1,-1,-1,-1,0.002
70bf70f884e2cfbd5f47d350cdf12e7ac55efe92,90,4,31,5,7,91,51,0.002
6f1517f3fd49a8d11965bfbbb6ef88df2225b06c,82,4,63,4,1,7,33,0.003
eff031e28a6d698eb2d88895331063627459a1ee,439,56,97,59,0,0,467,0.003
9266006bf99916eac784a669448e45210b381dd0,262,90,14,85,0,0,1671,0.003
9ece776d5f56b7254b0873b105424753acffc508,219,50,280,50,0,0,4,0.003
3e57549b61a7319172eb6940243cd01cba6d2c0c,134,768,313,314,49,1348,3845,0.003
f5297e41c1cf6487f54600fcd0f8cd6db0382424,543,555,681,531,13,995,12554,0.003
5fdf822b4cd7a7dd5cc3282754695903f99485b7,3414,77,1525,206,13,351,898,0.003
33671b3253295042e0bb8a68db57de19456a30ef,-1,-1,-1,-1,-1,-1,-1,0.003
d4f8e57d45264b3196fe0363cbbb79bb2952c2c0,920,836,431,473,22,1380,40145,0.004
cdf5b988c4f68646d2447d6a45230391b05d6dcf,343,109,175,107,31,1064,8452,0.004
dff63c13881bd55bb67e726be0e8ac165d85d36a,-1,-1,-1,-1,-1,-1,-1,0.004
80dc6380288b93f9a4ed9c689fdf3b044fbf6221,4557,3,293,187,19,642,6811,0.004
19929fef6d745fc074a705e3ab5cf2665064fd5c,-1,-1,-1,-1,-1,-1,-1,0.004
b5ec1a48202da6b688a9a3a78c04eec8db3fdba3,-1,-1,-1,-1,-1,-1,-1,0.004
c6fb3624de56f85753c6055748432986cbe0305b,255,15,31,18,29,358,263,0.004
4070b4e896bc4d79ad97ab50b4dd81ba11463db4,120,283,146,279,1,0,47,0.004
d3d2f5776fa837e4326d50828accd2051717a58a,701,249,219,48,36,2931,1444,0.005
e465cc3ea004d32b9daefea10d9077462783aace,7143,81,658,90,4,40,7942,0.005
4fc5405a56745421aea5c66876a2bc12d5b57545,-1,-1,-1,-1,-1,-1,-1,0.005
8076b5ad4251f450f2211a7118dc89821df6be8f,9378,79,1569,92,1,19,652,0.005
84344c0d7aeca282457673624b83434be1a8851a,285,221,132,215,35,1752,1973,0.005
0746b8371c50f663e1fc54e05908bde4ca77d851,577,2059,393,2013,13,408,1722,0.005
e41567f4958f0c447795bec8ece34684e0ac7b34,111,8,30,6,0,0,139,0.005
aef45ab3864bd943420174caa18175aca389407f,139,142,199,30,3,24,1124,0.005
c862be558668074dcded99264c104c7bbb8aa07c,6665,57,1111,386,2,56,2281,0.005
1679eadf00601a1485b6f2e83abf6128abd110b3,959,42,197,67,69,3625,382,0.005
8a3d6a53ea4de291a63c7f94e68d5c8b7b1a9368,68,4,0,4,10,146,428,0.005
5223b99f29d10263d567a04def77d83b6f170295,76,4,30,12,5,74,2557,0.006
fd02aaf1d50389af475daabb294ddf87cddb279f,221,44,36,40,15,213,996,0.006
5152fef9026dd875689e0303b0104f6f34b00594,358,34,188,32,12,344,480,0.006
f14a1837eb604c97de3389076f46b34d00123075,593,108,425,104,31,2590,1961,0.006
dab46b46dac25cb98b74b9c72020ea96c21e0aa5,76,104,34,19,23,189,9921,0.006
515b1b0711d172091a2304e43b1eb8825390b042,-1,-1,-1,-1,-1,-1,-1,0.006
04a11b385648194c22e66e7848ca2f1c28ee05c6,-1,-1,-1,-1,-1,-1,-1,0.007
0091494d795f8e0e520bafcc091207482f113fde,-1,-1,-1,-1,-1,-1,-1,0.007
5c9e502ed4e572b29a1b345ab686a8d76ce83437,-1,-1,-1,-1,-1,-1,-1,0.007
03d6c3eee1c55671189bb8d93aa8f0a8c6712817,917,76,306,84,0,0,316,0.007
3af603ea5e0feacb310feed3a0a05b2512ed8b12,457,144,244,140,31,1312,2833,0.007
727e6a86bac27001324371e99d5c59419b3df154,315,31,94,28,1,1,1275,0.008
fafaf63ce7bcd1cd8f0954674ce8c3b972dcff92,-1,-1,-1,-1,-1,-1,-1,0.008
63cac08e1af2da8ff43c839d4844593b90f6ed26,2829,126,1411,128,14,299,2527,0.008
ee5f41bd3f1f56f96bd0ea7a06fd4bbdfe8d17b4,3024,1000,47,667,13,263,115324,0.009
c6f77db9849881dae342eb73dec4d5925858a456,306,153,54,153,7,423,3611,0.009
ae4460159cf8a7553c04b700a82d903ebdc76e62,28,10,9,10,2,21,34,0.009
d316fcd1a319f61cf79478c0e43ee01d57107d28,3983,283,189,351,19,1072,1911,0.009
5f81a6dcac6b08334a77699aeaa5408fb7026921,216,1018,484,969,22,1508,936,0.009
535225a2a368753c73aebf3906d802ba6cdf3deb,64,34,67,31,3,2,5417,0.009
