id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
adbdd58a3ef02e033e369a79b2ece5ec7433e5f5,220,61,538,55,3,453,819,0.000
51fed42db63cb8ab3aa967c01b0b6105ab635b91,-1,-1,-1,-1,-1,-1,-1,0.000
75b8881ff99a3e5d5e17732a31bb772d022eae1a,2084,306,647,216,6,685,1216,0.000
e5478ffac0ca21376a038655bd886e38cfbc9024,501,438,1059,165,9,254,1345,0.000
1f3f828c7a1e06bd1e8f71a3e05704b546b67c6c,-1,-1,-1,-1,-1,-1,-1,0.000
ea9f19f9c3dcd53256bd902fb535610656dcfba7,338,18,124,21,0,0,109,0.000
e0f0185f16057c64390d1d50a7455e1f480872b3,3255,73,180,227,8,257,2921,0.000
0549640abc0c10111df1ae8df3d951e42ec9fcf0,375,77,133,52,7,233,6983,0.000
23e98f2cf6bc1e6151d008d5d43744f24dcf1349,3760,62,496,66,1,14,2458,0.000
f36978b3e5527fbb0e4ce687cf44b5cbd3bc5d13,-1,-1,-1,-1,-1,-1,-1,0.000
3268c19e91845bbbbdff8e64665d1ca004e701f9,4672,200,2948,623,16,226,1651,0.000
861666cbc325af1c4c093b785edf278fadbb0c64,-1,-1,-1,-1,-1,-1,-1,0.000
0b4e381588797d7c85e51457ce448cc04892d026,1209,81,285,72,0,0,351,0.000
075b87f43cec45655b6dd8d66e775c79219bc755,1235,569,365,198,19,1190,408,0.000
c3beb04aece9e2f07a45bcf84e10160984f435f7,4772,69,53,447,9,74,471,0.000
b50eb9016494861b75689be9ab3323b8664945af,214,108,570,26,20,484,1393,0.000
3f8ddaf9493143da01effdbe3d9c35138eb82fc7,1903,33,1492,31,39,4359,742,0.001
a80ec1851e9f5fa12b6760114ea54c000b61af87,773,201,328,197,10,495,4136,0.001
b3337c70a7378aa8a5901651ca230d195257051c,2365,42,514,156,10,303,1260,0.001
ccb8d9e55eae90ea5805db3238f07287ee2bfafb,70,104,239,101,3,3,103,0.001
f4b7299a71b72b4ba096b3a88a41e7bc5f3a45c4,1057,456,445,135,11,359,2018,0.001
788874ba3a649c144ca635efc4b8ccb3223e5de3,788,47,469,51,6,175,1925,0.001
90cb585802ac4d0082c5a2c45e673700fd4be025,328,476,162,256,0,0,401,0.001
9ac8de5e98670a52ee200a3609d1d8343b46bf26,163,3,190,2,2,196,1371,0.001
1ad99122cb9623a524fd3af55986386e3778df3e,5603,5,2323,353,31,871,1914,0.001
9a70544895cbedea945e20cac0bec7218f3be98c,533,120,335,127,0,0,159,0.001
490c12c643301d8d0b1b8c60ea9dbb6fcef4ebd7,615,202,115,198,8,1391,1922,0.001
077cdda2509ca103567032600107daccca076d9e,601,302,442,330,37,1946,3545,0.001
849c6015d53a6303aaca8e1c0197a8d4e480641d,8872,41,1624,104,15,310,2618,0.001
4959b5d56b44072e9ed3d0134d5da06d8692d2ac,3902,136,942,419,0,0,809,0.001
a9406db7db1ea658cd1ef95456823656032d7e69,247,111,297,114,2,24,2697,0.001
9df5b49c3d952ba603ca260c8c0f409ed269c9b8,240,152,173,149,1,0,1126,0.001
3916808c8fb3bf21768fda19c2091fdf91329595,154,60,192,53,0,0,2153,0.001
df82557cfd523a1a05e9e2b1f43b51d2fe6fb8b5,1511,96,1100,228,7,272,2609,0.001
e0aaf62acabaee618fbd1564d6ef9c4767032651,1666,105,236,67,15,3032,362,0.001
d6d0b9eb98f377ad3b2bdadaebd898d236dcce92,1929,91,186,390,9,176,213,0.001
3f2535c25273552345e655ae47607c8311b15c30,186,40,289,42,2,0,868,0.001
a90de4937b11528b9d206cac1f66b0a28fa96461,-1,-1,-1,-1,-1,-1,-1,0.001
efc7375a55a1927478e8b7895d76ad9101170b5c,264,61,183,66,1,70,1441,0.001
b72742b0a0271e0d596073617a47f56c38650ca3,334,43,191,48,4,9,281,0.001
04709847e3fc474ec2086546a8011193186a5474,486,23,156,39,1,28,143,0.001
4c188e4c6569d1bde62f67444dfd397f5da29e06,7498,34,1003,815,4,110,1028,0.001
044da17ca2f7ca5621050c1138cc86b0f505e25f,-1,-1,-1,-1,-1,-1,-1,0.001
3e8ab84461e20ad576fd14fa1774752006de6e8a,-1,-1,-1,-1,-1,-1,-1,0.001
ba49d805b59cd306a45bfee4721779990ba89076,828,132,206,168,6,577,1158,0.001
7f9ae75681a2d02d5177650e181727e43ef05adc,1288,39,168,58,10,295,98,0.001
c9f2c6bc99069cf473617f05bd500c9e71539613,909,236,737,223,1,1,341,0.001
c7fd66883d040df47ece779363d06809099015f7,472,146,277,152,6,109,525,0.001
a4e452134bcb1b89c9215c4cec2c19e3a2cd9aa4,829,433,299,102,28,1802,1642,0.001
3aa8b0c81ee91c36388dd11b5b00d9d1f7100252,9197,49,270,48,19,1957,134,0.001
71df9986f55c0c635b38d3d47b37c099d4a8a96e,2292,522,353,661,53,3034,305,0.001
64c607e60f105aa0c7297e546566a0971b66bd93,118,16,87,16,17,470,222,0.001
01bb7814b01dd4bc97e6b9972e6eb6521ead6faf,-1,-1,-1,-1,-1,-1,-1,0.001
e76981c0a9bd54a17e602022030be0e2fac304ef,222,8,68,12,2,24,196,0.001
2c2baa2a18dc2b4d1a599951e33320d8366d0a0f,181,137,28,137,0,0,212,0.001
197ab7874c46eb2e84943b471577b6df9377bbca,1988,293,1519,277,0,0,2468,0.001
28fbb80e1d9dd2b348602e1861b50bd9bbce6382,85,83,261,79,1,2,680,0.002
b80e7ded1fd04d7dc9a2a259b81adb0ca0ad6212,251,8,159,8,2,55,411,0.002
98ae0df6a6ec8412ec7b8f1f5627d50cdb5e0c6a,484,144,1303,136,5,2,2926,0.002
f3a1b0c6ac2bcaa749c2f632db17304cd404c74b,9648,73,2109,116,6,92,97,0.002
b77867f6ecd279bf0e37b6d881fa519212b9a89d,61,50,59,46,6,291,141,0.002
11e9341c4373161fe42aa1239db472613f7ba0f4,587,67,27,68,23,119,177,0.002
7267f58a5630b697641fa972b8a9270ca89cea45,1213,973,424,926,2,95,888,0.002
6cd8562c5d4664479f83fb6b865b2ca73a7aa89f,-1,-1,-1,-1,-1,-1,-1,0.002
dd033649b492df6188ffb628499d90dc554ccae1,237,127,202,141,1,5,750,0.002
a0592115cc8c64563ae70ab25c150b9912c8cf80,1431,88,788,91,6,152,2497,0.002
9bfc6ff73a41a938c7e97ae21bd85b66eb4bcb54,144,7,77,7,1,1,177,0.002
72dd64f0913ca3fa8283f3912ff3e3742c4fc832,491,11,48,26,4,11,48,0.002
2b7280e0d173a124f6d4ab710633c7813b1e25a0,798,326,1438,317,14,577,1957,0.002
71bdbf646db036187d1a18a797c4c224ee81b307,-1,-1,-1,-1,-1,-1,-1,0.002
46e8d324c8f84db915eca40e01eb9b997282bbe4,520,419,264,222,1,24,516,0.002
c6c9bc87a1082311e6f5a2d11c154105e9447fd3,456,40,131,39,9,158,1242,0.002
74d2358572a95fddf3495a553fa9b89285e91241,-1,-1,-1,-1,-1,-1,-1,0.002
4066325ac4318c7962b371a35a5e27437315645f,522,237,820,214,17,2158,1490,0.002
a58cafda800f1161cea8ff1a61f6052305f680c2,-1,-1,-1,-1,-1,-1,-1,0.002
cfdc53ac144ffd7183ff911214efc52eb7b70698,963,36,60,43,0,0,178,0.002
07f63395102fceb43fd4eef05dc5cf83abae9053,128,68,61,60,0,0,241,0.002
6e005156e85e9d021570951f23f4e52993be2810,6106,204,699,452,6,142,1104,0.002
851f8da1ef1014d58348c7aa0dc506439ab1ad07,1192,325,465,321,19,824,2328,0.002
2139a0b3440f27ca3e8a4dbfdea45a3fd7ef5461,197,62,155,68,0,0,112,0.002
fd0d78e58fdd25633e180cdcb429a03b992d9449,219,83,154,83,0,0,43,0.002
