id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
16200fc012eac7dad041c3165f224c0f853a3c8d,217,4,1028,8,2,56,202,0.000
330249d4a417fcc604c13d46830ce788cb471d41,-1,-1,-1,-1,-1,-1,-1,0.000
3ee76bd09dbc9444c30203999076e7adb37fda1a,778,95,222,89,9,428,703,0.000
3a0843e74e1011ad04af3725923a7edc9ff701d7,137,10,67,25,0,0,1415,0.000
5863240ac23c1499532972990ba92656dc5017a9,298,19,267,19,0,0,415,0.000
dd1ff38293a1e65997ddb0d102fa371e84b7bfec,150,10,157,13,0,0,44,0.000
9ce74706513bdfe5b4bf6b0f8e313fc19c98d1d3,445,157,93,9,81,15907,899,0.000
7885ab949b0bde7e8b059208967cb3a05d2c9889,-1,-1,-1,-1,-1,-1,-1,0.000
1f5ad25e5701844eeb5126584f8b7c37cc33ad25,136,20,10,5,0,0,161,0.000
e1a2147f3679c74214b31bb705d2ecc810bd286f,-1,-1,-1,-1,-1,-1,-1,0.000
39016dcd29816e49de8444cc52541be0f3c834fc,429,16,70,15,3,143,820,0.000
a8d0acc06b1ce7e52236e4ea21990b571109654a,-1,-1,-1,-1,-1,-1,-1,0.000
161ebff0ca7acaed54f0bb77d671ac44783307cc,96,12,27,13,0,0,33,0.001
d88da38f206116cf1e01c0950f8f78f6ca1ce6da,1001,64,620,93,8,456,912,0.001
f75b01b9750372b141bbb1fe0b1250842c263c36,-1,-1,-1,-1,-1,-1,-1,0.001
28e302ca7a5b82d4c6b96b41bf0844ed2e0809ee,182,3,16,4,1,0,0,0.001
41df9645800af3f6dfc860790011bcb1b02b670a,129,28,100,27,1,58,976,0.001
55dbf2220781c3272aaced14e75c62c1483b6dfd,659,95,709,88,16,633,3934,0.001
c04ab7a593e57984b0c8bdef344dfa058090508d,-1,-1,-1,-1,-1,-1,-1,0.001
847f2ddc340c5587fa44bb2ea8ee0a9bf5a38441,-1,-1,-1,-1,-1,-1,-1,0.001
4d9c00d4c1bfbdf3f3824e4c8f6a1253c10aa02a,162,71,81,8,2,102,197,0.001
c131b527d2d72ba9ccb3ad17b589bbcfcfe6b77f,-1,-1,-1,-1,-1,-1,-1,0.001
9215ace1130156d15dd3216b92dfcb1f668eff7b,-1,-1,-1,-1,-1,-1,-1,0.001
c5a50cf9c8b2a5445aaca549012ab4d00f29936a,153,88,136,46,1,146,757,0.001
c1baaf0442c94d8a40df4e440d58f68623352cdb,125,8,6,1,1,6,88,0.001
fde607af9b12ac804f4b2f28ac180dea240a2a83,151,27,60,26,1,71,128,0.001
a786ed24a7e07ebcf27bcfe6f40ca4f196034305,-1,-1,-1,-1,-1,-1,-1,0.001
122ca44d4f6d2ea5db9582adcb976b2417b14d01,376,239,226,221,7,231,2058,0.001
5efa71a4d21b874c3a6e6a874c1c368b18c0b55b,2438,644,241,323,59,1120,324,0.001
764addbc88c4c44e9bfc1ca7140d4a74582e7583,281,49,115,48,0,0,89,0.001
3446e6b8fafe2c9aef4af6f5f78f99bd5d088796,210,31,50,30,9,187,82,0.001
399a4fa9eb085c7cee82717073e3069b19fb8b19,-1,-1,-1,-1,-1,-1,-1,0.001
b15b6f4fd0e18a9d9176a673c26b66565da7f338,234,59,44,1,11,354,528,0.001
f51bc46808b7a4f371b58f75ea4fd4f11116a85c,167,68,60,63,8,178,380,0.001
