id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
37c17567b067b158b2052e037a064d3dc18f4680,279,28,210,25,1,3,620,0.001
c22a6b928c51931643d69b77830369f37f734a9a,1540,184,343,249,4,37,1741,0.001
348353f11380073330aecd5308477d3d235f2b36,365,1,80,71,1,22,13,0.001
bbd77b24c1b3c79a3bfcf5b0e2005ac0fbaad35b,2058,153,187,178,16,825,1787,0.001
769d718c770cb713211a36246a3f4efe38cbca0b,9808,91,5435,101,1,1,9289,0.001
208c359f4efcdb1c03f7ab622b37faff85e2c609,734,49,184,48,18,319,1223,0.001
97d1d8e5760e7d3d3dca3fd004d8c4294836bd4a,129,374,126,359,3,188,515,0.002
6392564d28809796f37ba7311b6b13e7e4a01e0c,4334,39,254,41,8,185,2583,0.002
e6ccaf5a95ca8a0affe60791178920bbd0af93d7,388,5,2339,7,78,7119,8207,0.003
fc74c81a846475c7ea7e21b1369172b2693a5f14,3524,547,1216,4558,40,3340,1962,0.003
fd9deb729def9ff2a3b260c28723bf97ce3291d4,2962,10,1125,10,0,0,4242,0.003
f0af9d80bbde371ba2b5758668e554c6d04b9a21,2432,218,249,441,8,144,3304,0.003
ec09f92b6411567f7435e150adc5c4be86e6140f,174,24,59,23,0,0,28,0.003
a9ab463aa61ac37efc29f9b9bfcc23933ab83831,-1,-1,-1,-1,-1,-1,-1,0.003
1749dc07f6895bf9dac83164d312a6e38c1e0607,8419,24,742,136,17,467,1256,0.003
e76b4bb1344e4afaddd23bee6876049b0c767df2,219,26,74,9,1,4,63,0.004
7a3689f8100acae2326883984763d341e1c89f33,-1,-1,-1,-1,-1,-1,-1,0.004
ec6d56606da6b1e3984def541113c001d5a587a2,9989,41,155,40,23,1804,1564,0.004
973ebd1f84a5e81cec1c5d67f1e89bdaff4bc8a9,2647,104,140,100,0,0,1248,0.005
179313917478bbc7ead556b2642ae0f9968c9c76,1913,316,1008,292,3,19,4834,0.005
0d2b7a849fa738ad39fd38307896aa1ce63174c8,368,467,480,446,11,119,4980,0.006
c854df502ee8441121b63b785774679ef8856dce,846,265,293,293,1,25,867,0.006
08a5d520dccfb3e465b708998598498ba7fe8c62,8437,202,14186,193,0,0,2837,0.006
870ad7503d32556039a1cbc2d18187ef16f9fb18,132,26,25,17,3,224,95,0.007
b7e470330ced735f003fada10177dde5fc8a0d4e,-1,-1,-1,-1,-1,-1,-1,0.007
91a9ea1f2c2e6cc6d1b780f651fa9f6c25074495,8926,77,102,339,0,0,1888,0.007
9aecb881beb3a52ddee479454ccb325c6f97e76a,713,674,266,108,7,129,3762,0.007
b3848a05ee1d69bddd4da1626bf74370a7638d86,25,0,13,0,3,65,11,0.008
c60f0fed881ea8041c30d64bdc24ebf16efb4a33,48,17,25,20,8,21,125,0.008
6cb2d355984774dbbe2761d0e016f8ad356d5820,900,41,95,42,7,82,1004,0.009
371e2314e861ab1ae54deb87aa3e4dd33129ad3d,413,366,127,137,5,354,1731,0.010
81146e8a6a5ddec6f8447cb178d46960757a5dec,1638,43,210,257,0,0,1064,0.010
eb191ae745fea5ec9d6a527bea41e318b64833fa,1173,94,155,95,1,9,1338,0.010
016d2e6d1668972ec1d2e2f70fb82dce4da738e5,-1,-1,-1,-1,-1,-1,-1,0.010
77424e4bc721ac1e4beccbc509b45b7e58173853,926,73,135,71,224,13078,3780,0.012
571807d31c604af22e26ce51fddd2a653e7a707b,159,40,104,38,3,27,42,0.013
245ed6469c9dae48823d37a59819e84771663b4c,491,196,84,107,1,2,1136,0.015
a08e1a7af138a02e9e96a1407bf1b87f1e5bb39a,102,48,33,23,13,168,141,0.015
85688b237618295114f641188e44bfda54a87425,334,87,444,86,0,0,4223,0.015
43d41e9780dc52b2801cd31c6521ac18fc3efcda,2571,706,344,184,4,646,932,0.015
304781066ad55690c461ef5777bc55b968b91183,358,47,195,49,0,0,1059,0.017
913386aa9330fd356dbc84270d378cc9e50977e5,168,43,47,47,4,124,299,0.017
8a255a3d72566b7bccf6f99d19d5bd7f7cc6c539,-1,-1,-1,-1,-1,-1,-1,0.019
049f5b5a5280907fad7a58bad1950aee993a8e39,-1,-1,-1,-1,-1,-1,-1,0.022
04077990c61f81d9b0b602c5ce2442321d208906,864,93,103,87,1,105,2109,0.023
6cced8e9c6f7e068e9e5b8849a2dc13867505eaa,161,42,57,72,5,26,252,0.023
530f71b5ddc1c6bd656c23325650ccfe68bb85ca,179,482,166,463,1,0,1224,0.024
8356480eb2ba9ecf4be132875a3c6c9d888c38d0,69,122,70,81,4,47,341,0.025
af3413993dca2e9f6ac53fffe011842de67d4095,313,86,380,62,2,45,947,0.026
57a46b695869cc103c26aef399881bb5284c1047,-1,-1,-1,-1,-1,-1,-1,0.028
3c26c8ef0fe936f58a5900b50a36b154d4569a54,437,157,46,69,1,3,198,0.029
77ef5d6e923c46d371c758353354dbd671a60325,325,3,79,189,1,3,143,0.029
bd88955fa996fb7078245e9db66dcc788a458574,427,273,245,264,13,712,265,0.029
5e8a826f73d35de6cb5edd3cc43363830d88eae0,-1,-1,-1,-1,-1,-1,-1,0.030
d4931cb92fee7eb1b532df8cd6fbd6eddf29ed38,658,80,423,237,3,32,1419,0.031
4f337c765f2551840b78f7b34e99a48452e5d9be,295,141,763,136,0,0,1429,0.034
5c1d55cd75dcb5112a0933cfc35d9cf762eabecd,195,60,195,55,0,0,2221,0.035
0a26badf532e5b58bb8f43be52b1d2e27c098844,183,17,37,19,6,824,15,0.036
51253838d5e0d1e2eff66808a2728adfc4762326,129,3,111,3,0,0,3,0.037
a5aa20d1bcd67e2173c524717185c6ea6523399d,-1,-1,-1,-1,-1,-1,-1,0.038
b7ece6cf261099570aa7e1315465fdfb5040f1eb,31,0,8,0,1,0,132,0.038
c0dde493ff1df618fed56643c2548dfe83bbe629,965,1000,1104,539,5,114,5508,0.039
0c7946076cc530e2e58b584d8a7cf3c7c2ff1de6,70,53,0,50,1,11,910,0.039
80c9ac2e5e2748c9eaf4ff4b67460c5574d6328f,322,130,661,125,9,339,3397,0.039
2b617f27bae05372f2342d72367071161e655fbf,201,8,89,7,9,353,80,0.042
005e2a5fe80b247fdf4623b69d47f786f8005412,-1,-1,-1,-1,-1,-1,-1,0.043
0fff67ff0c729130c7d325c664ec148d927a204a,329,212,13,81,2,3,183,0.043
61f5d709cf0275db1d3f941bd30f5699301af8f5,168,35,1090,94,1,36,1181,0.043
fc3f5a9a19f1caef872f4375855516ac8dd761ea,167,35,86,34,4,0,103,0.045
d3dc1f360941809194b81f024194c42259222da0,112,500,70,466,2,6,2034,0.046
ced6043c442df49e075ee64e6d46ab0dc2948fc2,146,44,152,41,0,0,71,0.049
3bb1bc2789da5cd00fe4d8848dedaa5b1f8288ca,324,12,39,15,19,1542,757,0.050
0d1fd6b3b29843fcd25cdbffa5d810fcd0afbce3,-1,-1,-1,-1,-1,-1,-1,0.050
3e695a0daf00a7c82c436b49d68e8f7e772a32ce,6757,168,456,230,15,545,1054,0.051
bc24a27bba10a7540e3a018c6bd765570e536b26,227,261,154,114,10,172,840,0.051
1452256a8d5b3734c8104fb6ca1ef24047e7db22,-1,-1,-1,-1,-1,-1,-1,0.051
1ad6e807a59b6e6fb5f0cfc4dd2ae509feccf569,40,193,360,198,1,42,3197,0.052
cb7f619191b2e26c2fff3847116b9048454e5d03,2123,323,70,122,19,2377,5844,0.054
e22ffe6277af5c2042307382d50d30cbf32f3bfd,323,92,245,88,1,247,2484,0.054
176e392f42fea3eb84052abefa41e3bd501852c0,381,61,284,61,0,0,127,0.055
ec4a134fc71e6a79e7bd41cd3f821384e8846b88,423,513,132,146,14,203,1140,0.056
184ac8448f4b91e61d09e91fa8ac8d875c636f75,5186,172,24,386,17,1562,487,0.056
c0c0f9793aac70e51982e35631d5f7c378f4646c,122,85,82,37,1,12,4279,0.057
6a03cdb88d7056e6627eadb01fa049ebdd5bdee4,435,36,191,42,16,897,310,0.057
f1cd8481be494aaca0f63b0cd6a91b64fb14e6cc,18,1,4,1,0,0,4,0.063
1ed12e6fc4334a063639de3ea7828e0b172091bc,49,80,43,82,1,18,1476,0.066
4431de7625272dd1265e3116514fd01f23550ac9,1836,10,21,83,0,0,906,0.068
d27af12460f0c9c2df9ac6f08fd9b1b34bf7ce15,127,44,3,16,0,0,101,0.070
20520f34bef207fea0682e17896c485b3bd34890,490,106,138,107,0,0,1628,0.073
045e20640e5163a3a837b988842d1101c2738cf4,-1,-1,-1,-1,-1,-1,-1,0.073
3c12831de2214c1d88e392a71a5687caf9ecf512,58,48,19,49,1,0,350,0.075
0ddad724d6b19bcc66ef7a7e11b50b23f7be0a12,194,39,667,37,0,0,7,0.079
415654a4a1ba7929a3817b4fcaddf1576996cc94,-1,-1,-1,-1,-1,-1,-1,0.079
5513e8d72d9917ae34d4909f0b1df3ae207c5298,1247,10,321,10,2,128,194,0.081
79f06da3cfeb5eba8f60aafd244ba33ae8787ae6,105,11,28,12,0,0,96,0.083
c807f42f1f1a7dbf5b57813f187e64819a534cf6,-1,-1,-1,-1,-1,-1,-1,0.086
fda50b951ad2aee08a614d6552a00d3bd658af5c,5929,65,977,314,0,0,7038,0.086
484213c810e9392931b2b70b64285c85005ecd8a,9794,241,1406,229,1,69,11979,0.093
a40cff594d39fdaad68bd18e5f0b2052b6b48361,235,200,108,194,0,0,194,0.097
7e7cc21d761c8c5a0face008bf98611f6c9f1b50,-1,-1,-1,-1,-1,-1,-1,0.097
f3db3c32a8d5678ed41286829eca08ce6191d67e,546,208,451,197,0,0,1517,0.099
c2ebde68b0857a8bd657386a97d9051829cd9aad,1362,23,259,72,0,0,912,0.099
cb74d0b7b742460370f5c3e62ef0d5802b01b4f1,148,26,192,30,11,345,5132,0.099
50fe8cd0e11306ff4d5eb864f56104e141853c01,40,21,101,19,4,0,213,0.102
be49aefd7b32d7df193cc81e9c9de1f586ba6ad8,283,259,265,239,2,315,1122,0.104
2cded67f914f0aab6c74103b94a36794da9e382b,-1,-1,-1,-1,-1,-1,-1,0.109
3cf53c021dbcf56e8cb2ea932c4e70cb6c109f34,-1,-1,-1,-1,-1,-1,-1,0.115
6c57eed15507783783923200479d8727a05c3531,537,1000,929,1604,33,4451,2902,0.117
2ea1cd77be39114b0043dd76fae744ef4ac207a7,867,8,6,26,5,112,436,0.119
f60084eb041c880b70981cc8bee58971673f0fb5,-1,-1,-1,-1,-1,-1,-1,0.125
c1d3c0e1e71f316a0917b7fa56ae4b1afa7204f0,149,30,63,28,1,15,2,0.126
fb76a667876c4acac536ff9056baf2b487609622,36,7,51,2,2,5,127,0.130
e5821d58601a36f7bf417a7db3f737d8026c2ea4,904,121,108,110,1,28,292,0.135
96eba6ad4a79e34d5a30e7de34df754f22320568,40,79,21,56,0,0,24,0.136
728fe419584a9317e6407d5fda6cd85da0c91137,77,60,55,56,0,0,317,0.138
c7057ec2ee4047abbb098c932d9aca49696170d3,670,445,448,390,5,65,1283,0.138
135184c7e8439d3f7baee140f1c6b59ccba42998,953,89,61,78,0,0,1254,0.142
060f752fbea3c2c55bf583aacab0d2a7e44cf0e5,143,12,52,12,1,6,20,0.143
18826ff3f3df4b7ab63e8e99b96dba81b6a0f3b6,119,7,14,7,4,445,1906,0.143
a19fed133528a1d70e6cfe53b0b1ad69ec5cf8c9,-1,-1,-1,-1,-1,-1,-1,0.148
df83c9000fc2797ac5b3249f89f8e7b7f011aa85,3737,299,2127,493,1,2,5252,0.153
2977514530e10c314ef2fead23b4dffb35ddd4a3,170,83,79,80,6,70,231,0.160
910e4c93308c414afa5510e8ff953e6bc7d39372,14,6,2,2,0,0,24,0.170
b4ff7c8f1a1f8a76a8d076515801463f380b23c4,4300,1000,194,671,10,721,5842,0.173
ac9bc2a9c6060c2e1b3eb7919ab6c146ac9d74af,1627,287,98,261,3,430,684,0.185
91138a80b31f5f3a441dfcc5ce93f7c7cc9172cb,6,1,12,0,1,48,1,0.185
6eb06e2c8c5b20bd20aa8718dec959c389a5df9b,3272,25,26,422,2,25,93,0.188
b308f99df3dd6886a2877e378efed2bb172e0c2d,178,32,70,29,61,109,2158,0.190
61b7ae199193118f141ea1a760b41a91281ff60a,9997,7,3766,7,1,26,138,0.193
b8ae08cc4481ad46c38a137763f2b01da3c14874,38,117,44,91,0,0,124,0.200
dbf268257b4bec47ce624ce0062ba7280a0e7fd5,3652,41,223,563,0,0,321,0.203
7b5882f0d8466047e40dee5e7d3fbf0947ac8fa6,567,185,97,70,11,2710,737,0.207
